model,T_NDH,T_ND,T_AltNI,T_LosOOA,N_Anc,N_AMH,N_Yor,N_Los,N_ND,N_Den,N_N,T_pHN,p_HN,p_NH,T_StuOOA,N_Stu,T_UstOOA,N_Ust,T_ChaNI,T_VinNI
alt_los_Bherer,775621.6147790169,717081.0821255764,110000.12798416248,47000.00000000094,16267.303894137245,25860.241904172744,139746.71319802955,1116.1527336862314,2033.5767412118232,4064.5359661323882,2639.59164196659,300595.87806039583,0.10550452096500029,0.021201890757932936,,,,,,
alt_stu_Bherer,796729.9394520412,729032.9960523432,223291.35198227284,,16065.924389343052,29083.207901607853,19294.233157568946,,2221.9831332579074,4166.097522791551,2871.212413048385,349999.99999992177,0.12640727891984332,1.0000000204223575e-08,47005.18184341236,2264.7674493787167,,,,
alt_ust_Bherer,777461.6274744514,707086.8557106905,110000.00000108282,,16259.05692422381,26202.181803182455,56522.34419929929,,2465.649045897947,4034.8853341379267,2593.2380654162735,295946.6807427904,0.10522641871766716,0.020295740198960053,,,55463.42531443584,630.4478134091852,,
cha_los_Bherer,776099.8353449503,687971.0796339919,,48753.9393538705,16255.719297276291,25820.887022730712,152470.56855241396,1160.7692186748848,3381.798255751573,3938.7728748772033,2196.4900314420756,228384.2390308296,0.07812386450539582,0.02132830203625853,,,,,80000.00159735276,
cha_stu_Bherer,755136.2437020957,690067.4227256147,,,16693.371968610256,26914.787270415727,27513.250040698527,,2383.9320777829184,3997.2262311119107,2252.455980700053,259344.03267800366,0.09567094034955478,1.000000021454275e-08,66499.46896764108,3419.1173670316125,,,259344.03264071653,
cha_ust_Bherer,780567.1568807241,685937.8397748632,,,16198.378840468733,26384.59046788404,55938.752287373354,,3634.177492355072,3935.3451354052586,2188.62342185353,228456.51160418172,0.07839078119500703,0.020906504378233836,,,54083.125970833775,541.7303229755051,80000.0000007247,
vin_los_Bherer,714410.8470884725,677539.5605157415,,47000.00000000002,17211.83600798887,24127.727785626976,128819.84439395268,1106.7520915525038,1418.5387745492749,3903.3625658281594,2492.7183087289573,234762.22273930293,0.0879839771010519,0.02331916923543514,,,,,,122289.15809901364
vin_stu_Bherer,555175.8171359338,496891.9458882757,,,19754.513132851174,21405.096651729375,15614.702924879895,,2437.0599460152685,3113.506470943619,2057.730254858636,222742.11877621632,0.11550306907655222,1.00000002083638e-08,47000.00001069477,2164.494628534662,,,,178969.8657170297
vin_ust_Bherer,767258.4275109101,689236.5959507124,,,16415.23361870506,25932.704948555143,58764.95785194193,,2973.442947731681,3940.6594623539763,2377.5726760612815,210942.3667325737,0.08164086597792905,0.02232750546898042,,,53313.059107506,487.55186083758105,,55000.00000005798
