ll,T_NH,T_OOA,T_OOAStu,N_Anc,N_Vin,N_AMH,N_Yor,N_OOA,N_Los,N_Stu,m_LosYor,m_StuYor,m_LosStu
-641.8861444382392,748855.4826774361,56664.66668135472,51073.59454550624,16476.347774164384,2230.2334768157266,28344.832594093386,10990.097551124756,487.99365324346877,739.1060961047067,4988.94733046344,0.00010247240604881402,1.0000000219761438e-08,0.0003478916990022107
-668.86718914421,809960.871874546,52053.088456258396,48680.90391654183,15526.412707827945,2249.393535113262,30072.829605341423,10885.410330593932,289.6266646329682,766.8933860316893,5178.974850984043,9.56660430453495e-05,1.0000000102436548e-08,0.0003368019496147549
-642.3245225611768,768180.153331258,56532.574316113234,50880.43722923832,16167.948061145791,2231.6196251931533,28840.681625851827,11241.793805795087,492.5538237628609,746.9068237800907,5096.1508384740355,0.00010029607167689013,1.0000000096427205e-08,0.0003442494099944679
