ll,T_NH,T_OOA,T_OOAStu,N_Anc,N_Vin,N_AMH,N_Yor,N_OOA,N_Los,N_Stu,m_LosYor,m_StuYor,m_LosStu
-636.2033437293048,774562.2194968396,60640.86530621367,53381.28704586247,16058.686497350176,2239.1447858723836,28878.255457266343,11778.004117586534,660.9161987256482,731.0761940080682,5060.713285534028,0.00010188936125214387,1.0000000000007834e-08,0.0003620155488702524
-631.2768340982043,770966.4886679467,68348.49262845288,56787.99102046978,16135.600060090672,2235.935494423882,28454.22363525222,13089.526730150945,1015.9141838734131,741.5934164467121,5475.246089736463,0.0001029415814227589,1.0000000014288748e-08,0.0003495250385418748
-652.0310319380756,869169.0036106501,55744.42453275052,50612.298832080065,14614.667500193096,2260.4152919199228,31730.238549895286,11341.395692860755,448.73289180414184,743.7627314719607,5219.8010503579835,0.0001021336652211596,1.0000000000078854e-08,0.0003508665750742172
-631.24099501198,774255.0385938627,67396.4529515887,56280.874773826356,16079.205005488631,2235.554784696655,28588.737082856158,12920.255165611828,976.0668176137112,740.7717029372384,5442.432452919344,0.00010345995689310227,1.0000000000004778e-08,0.00034877868016894596
