ll,T_NH,T_Basal,T_OOA,T_Stu,N_Anc,N_Vin,N_AMH,N_Yor,N_OOA,N_Los,N_Stu,p_Bas_Stu,m_LosYor,m_StuYor,m_LosStu
-554.0606825525745,799031.0780426146,720070.1903198382,55117.54648298547,33387.33645656944,15749.663513265092,2244.700048428799,27986.857613306714,10619.9621691812,449.2533976302046,1119.3124917765144,9073.149463838174,0.0868520569382113,9.828641714935239e-05,4.3272540949484224e-05,5.393317261625004e-05
-546.5594210812245,804120.4342544746,714040.0103136137,63419.96612416011,33252.1763059156,15678.3238307515,2246.273629371357,27490.578327248364,11582.105611009969,857.9955081985916,1107.2974132443894,9110.377486682468,0.09020551112506814,0.00010116930524700975,3.962689814399908e-05,5.841553646884382e-05
-551.7260284390624,746550.6548963333,572213.0539224667,69294.35739779167,33459.18106497735,16554.040169194803,2226.107744334901,25761.250229307283,12889.555765964347,1123.1695833137017,1073.6655261193469,8736.9858608391,0.10632531522178129,0.00010201632117442859,3.2156826572816386e-05,7.395720355185871e-05
-547.0821045684444,803113.6235564738,720742.0918950583,60552.7494992897,33264.824900598396,15692.478230500134,2246.245027149902,27686.44779510913,11104.320831578785,713.9626048751942,1106.5834237559995,8993.192269569663,0.08899844313166014,0.00010116695187595699,4.145652639629417e-05,5.783888435478778e-05
