ll,T_KhoYor,T_X,N_Anc,N_AMH,N_Yor,N_X,N_Kho,N_KhoBot,m_XYor,m_KhoYor,m_KhoX
-25.313783254030973,70430.60341810026,83593.19434775221,15173.507030793238,45908.52403681308,6707.0127603170295,2054.9162672447687,13642.305847798894,34.066192090762186,0.0001993782553895352,3.476755299351524e-05,1.0000000000148522e-08
-24.325864034810785,99738.69790422195,99738.69790310577,15079.29159652273,47963.97813364018,5911.112022614019,2208.077815180513,10288.230413125288,33.49300571011348,0.00019544674987849851,0.00010615851492548273,1.1086132004446513e-05
-24.479112779107915,89691.46169724468,89691.43092979175,15133.018382537097,46561.86709670289,5800.1027121802845,2088.4410914046607,10009.482293567538,34.694929236199215,0.00020413134007405938,9.992026075262436e-05,5.985342410652181e-06
-24.449827461695413,89338.17346891509,89338.17346340102,15152.310095100987,45797.608553213286,5953.093678325181,2129.6729068215873,10469.887910321106,34.44589277276884,0.0002001804117015162,9.507475322409462e-05,3.3549895318536558e-06
-24.7377694453396,84012.34846234352,83874.96912171239,15314.578319618542,44086.31855741421,5815.349896165811,2045.4788978601237,10568.877656615781,33.760392860418435,0.00020630468289112677,9.282764625362804e-05,1.0000000056487633e-08
-24.352931257978117,95179.18712047262,95385.75275260952,15063.675103271073,46863.72220419073,6145.340029643835,2228.655027804071,10631.717613622968,34.75806160355977,0.00019267312982893477,9.527892267090525e-05,5.993868142655617e-06
-24.327485541543723,97669.53942982684,97669.5394313465,15074.99707082128,47349.03812219023,6022.970054086267,2225.0222861347725,10676.395407125323,33.494791019978074,0.0001938801489756492,0.00010172259712410483,8.22666228777199e-06
