ll,T_KhoYor,T_X,N_Anc,N_AMH,N_Yor,N_X,N_Kho,N_KhoBot,m_XYor,m_KhoYor,m_KhoX
-21.929223917563334,115442.08037939473,51238.496235504164,14964.59043776418,47758.04862661179,8758.989321340607,805.215291554919,11402.245960329581,36.15914125736213,0.0001331334115319874,7.099234743601128e-05,5.042927604299271e-05
-23.449904845836066,221168.39568644573,54748.24965557983,14837.094569651157,51754.03615935232,11771.206264225146,947.5962499184652,14074.941370085313,37.36452776313119,9.29469443555464e-05,7.097849203139399e-05,4.9243163773000664e-05
-21.12740192837038,43224.90126115071,69915.2839163147,15099.71898668444,44378.698103135896,5356.040543911494,936.8091003357613,7905.951144080616,36.00872490146905,0.00019311892081892558,1.150763869987197e-05,1.0000000000572858e-08
-21.681032180033284,54455.39478472613,64832.401296361604,15242.870810512075,41791.482805555956,6713.564490329915,864.9347172565937,10280.521561825084,36.08417550739956,0.00018581781544323208,1.750330051340982e-07,2.1658763311900874e-05
-21.948526490922916,102605.59408228597,50619.15053263578,15005.45500996935,45822.36224267543,8728.090761206124,792.4163226913107,11782.032462966567,35.77836237957799,0.0001385420163850396,6.058477295078163e-05,4.667391006720561e-05
-21.526180602821317,112714.49176985386,62086.97135457647,14918.250521075413,49574.360233121166,8114.634756614782,907.9274917416269,10767.310856153901,35.494559429768174,0.00014173785936138434,7.83321158126597e-05,4.70650461434213e-05
-20.812577656174334,52363.076184048456,81329.46448698858,15044.032516187048,44923.51703376374,6066.186209257567,1070.8843697379991,8735.05853981456,36.5316259894219,0.00017012215661637564,2.8044550331022843e-05,8.44015332635298e-06
-20.880189916259596,50497.65827180697,74957.48068272034,15124.468902342001,43324.2872557724,6311.458848687636,1013.0168205673662,9078.847827855425,37.259071501950004,0.0001729380967946239,5.693655661739142e-06,8.751591297513548e-06
-22.102961672226343,86278.36921250889,49797.466561563444,15105.952606540535,43511.98179651982,8541.701881663326,769.9864559387111,11747.05520321116,36.679311628761,0.00014963304174882996,4.193206234898468e-05,4.052176409033126e-05
-21.71401820253535,74660.20997482457,60279.46708103972,15091.578772650704,41535.74420015456,9126.827624449683,908.6610692519879,13162.794946503018,38.177293986245225,0.0001521715756211978,2.9861597185118625e-06,2.33565536626906e-05
-21.55249213278097,86689.590968252,64383.421548010476,15086.21514906672,42715.6813237185,9003.021894778827,958.6327039215688,12973.511219287024,36.44505966477234,0.00014416382470730643,3.102005711120518e-05,2.9913248663878896e-05
-21.42854281790133,105937.46681574195,68439.37084722916,14957.868560044682,47609.629207982056,8236.108218106308,975.2925476396466,10938.315935773517,36.58468353523156,0.00014237627466202193,6.913202576165827e-05,4.117405386945128e-05
-21.5219088203794,79196.87523083824,62504.068110238615,15138.048439436718,42976.3262715241,8064.312383445441,893.1364192490563,11883.208005472396,35.80002526402257,0.00015971277772288772,3.531369907332444e-05,3.204108450447927e-05
-24.960543729533107,122484.89709159937,49639.163365135064,15056.46247988078,38718.49282621062,15350.656833745872,915.3157853016469,19599.037990229506,40.654044942416796,8.809015571542712e-05,7.427652056744701e-06,2.763081428398966e-05
-20.949024212388153,49171.61428185776,72238.36255640344,15048.149487140105,43662.53169784052,6276.6604551709,982.4526854820004,9407.071409072494,36.18584065637876,0.0001766962424590724,1.0000000000296955e-08,8.215054579291568e-06
-21.54398863986931,93420.34028023858,58856.93080782398,14982.204992987034,45133.1740501675,8619.161797288869,881.468161377543,11628.467650847333,37.02874817414506,0.0001456116002009979,5.0344134498904565e-05,3.866255490271974e-05
-21.481071093870387,96957.54833073475,70944.56686257107,15021.172731516745,44826.532862978886,8622.666609209065,1014.6945473407872,12149.968446275569,35.92045468907305,0.00014182462394243667,5.2418938079926135e-05,3.4341222318518164e-05
-22.419336721569547,60902.500788593934,55321.94995326024,15109.497768577492,42239.59342354562,7397.72134018027,773.9061810853068,11012.89952802873,37.5864682833535,0.00018872280980294974,1.0000000007246559e-08,2.5400178636922875e-05
-21.450879537353707,85769.75780683613,72463.45229052898,15018.705462662369,43890.383450778354,8429.976495161007,1010.8474498680919,12129.573569551205,36.71778270046998,0.00015013154586734936,3.866613570041664e-05,2.9591856157007328e-05
-21.41607225103853,100021.50830030882,68899.31691145811,14972.686841012752,46112.04404268654,8441.365918311572,987.0134323748631,11553.23208079425,36.27987654970116,0.0001426960010903029,5.9653697936421614e-05,3.753037765425428e-05
-20.80979939758832,47087.80606947687,78052.23666369704,15114.994059560564,44183.36967912572,5764.806439057654,1051.5796014532114,8600.920234645419,35.65410886923012,0.00017549535768340081,1.5708402911067475e-05,3.3154119147660595e-07
