ll,T_NDH,T_ND,T_pHN,N_Anc,N_Kho0,N_KhoBot,N_ND,N_Den,N_Alt,p_HN
-35.4096637422285,771875.6331928503,677798.4246187597,326662.67309871514,16237.56434007934,32997.7613469359,29.214476808421026,3270.449942861383,3940.9057345126357,2558.1650073488386,0.13960863095741646
-35.17852161492677,756511.4007024938,699855.6908962282,342733.96765295905,16473.10933673526,32258.542869658173,29.85730089826473,1924.3441706903,4023.483900962097,2644.957928176539,0.146964561462606
-145.93418102211285,524578.5317322226,475580.9013905065,272090.89471594186,19982.588545831288,33361.62625872652,16.1353512093741,1841.6811363615354,3019.132835475569,1718.8424432426457,0.19999999999999962
-35.09311976482273,751464.6478061765,701819.8162493522,316889.6702221532,16551.485657524456,33133.74576878962,27.359219491561134,1703.1466877772605,4030.0225929835415,2503.806388113127,0.1404551681148996
