ll,T_NDH,T_ND,T_pHN,N_Anc,N_Yor,N_ND,N_Den,N_Cha,p_HN
-51.423377430738356,725562.059892574,674029.7215045176,235327.386535218,17069.158245797862,25989.66513419336,2006.0684453268166,3898.116535985574,2173.3024437318177,0.0849833648868817
-50.14536278312024,761055.8936099546,664878.9611302807,220682.76328052764,16518.536011351724,27022.204605228922,3764.5008933167096,3856.1508893300775,2097.046003111136,0.07998127056749611
-49.20979618094192,768692.354260437,697942.8279816563,231177.82440159188,16398.802392506423,27221.392136126193,2695.921894665801,3978.2236976957497,2190.9624904117118,0.08122152828178368
-49.09631141601261,765724.6331925995,704186.1099289948,227375.67484729487,16444.385150182326,27140.92511137094,2338.003193732452,4000.367052265438,2168.9514329757685,0.08048439361930164
