ll,T_NDH,T_ND,T_pHN,N_Anc,N_Mbu,N_ND,N_Den,N_Cha,p_HN
-58.6575312312306,789298.2200512307,677307.5352815695,217500.88503437716,15991.366301511858,27623.830543799428,4341.293211776803,3937.3027256707173,2095.2414911224923,0.08413799261232972
-62.072427600989414,763628.5067604455,739235.4081713776,221111.79211946556,16374.947755387482,26947.25256240942,907.3919219225985,4146.047232832711,2137.1336327821014,0.08507416380611897
-59.23566650408134,780242.6801186705,697971.0681092864,218104.8565508426,16126.436243412125,27388.96761447991,3151.5147641261256,4011.1344679748263,2107.7399228148693,0.08415289765396192
-58.54743764253678,791682.3999084702,669808.2205374216,216976.15060781344,15954.808089072601,27687.76876281756,4747.7729748168,3909.0889666590733,2092.7146767686677,0.08367227951585064
