ll,T_NDH,T_ND,T_pHN,N_Anc,N_Yor,N_ND,N_Den,N_Vin,p_HN
-54.968367226480034,751782.696891358,638384.147703006,188278.10487185084,16577.75927560436,27254.510129549923,4568.907958885126,3786.702620133139,2176.4363268423535,0.07956408826955244
-53.63772502180586,740674.674866431,684711.7827737804,188659.58410912805,16744.11522092502,26922.901169613193,2187.0537045278343,3967.7462466605834,2195.291953469128,0.08005333954426805
-56.03120963746354,777535.1858552038,719166.9691337795,187844.19853730296,16174.263293571117,27962.681943042633,2211.726998298238,4081.3678906240157,2221.8071217227975,0.0783104927316862
-54.219946768496506,753380.7918361184,664908.2180443022,188834.24055980178,16550.50263978953,27294.668535953806,3500.2382055416433,3891.888171321084,2197.039654852534,0.07941692063647753
-53.64747558488083,740585.9960272943,683595.2433231302,188781.1937850489,16746.572020043746,26920.681833169347,2229.678165701499,3963.972797304234,2195.8351226415994,0.08007723079588903
