ll,T_NDH,T_ND,T_pHN,N_Anc,N_Mbu,N_ND,N_Den,N_Alt,p_HN
-62.73558779631399,767165.2670662911,701138.8106059089,283825.7796687175,16319.05251324402,27027.536406065898,2346.7061161005754,4028.15822440228,2456.6842704250116,0.10995520904446915
-62.01035096145156,776551.4022423965,703460.0345739125,272679.45629302476,16177.413766774973,27288.284311086834,2599.1592674437707,4034.7889524108787,2392.6382056806788,0.10670774309696568
-64.44264058558605,763275.1977677576,742653.1339809812,266705.1585650679,16372.442155338938,26942.468048432405,714.4769622991499,4157.421545358207,2371.762767920897,0.10519203660292045
-61.31783974155897,792317.9867272057,674486.8339769619,263406.0162346985,15939.982852223055,27706.458990611394,4274.355702742214,3931.462252517693,2317.961887057213,0.10388043592370108
-65.45685132775643,738253.1114653661,696116.1745150634,271636.7945363349,16753.16816996954,26239.50065834369,1516.5557971790247,4012.8288582414766,2362.708130271097,0.10818629769292062
-61.33230098133834,790555.908079029,676547.9134587392,263388.7028168992,15967.082134450739,27661.470398185924,4131.240533265947,3939.161280594837,2318.535706821086,0.10393639634815477
