ll,T_NDH,T_ND,T_pHN,N_Anc,N_Yor,N_ND,N_Den,N_Alt,p_HN
-43.75536746077785,774407.7416571131,675405.4389221125,304810.23799686285,16324.39649652753,27344.70705410368,3513.657942301072,3925.1270211083242,2575.7216466873647,0.112168359221864
-43.318125237178556,764015.7963085871,713157.7118238552,300895.4395600045,16479.15379444547,27043.863302678863,1763.8621120905616,4058.7888770969475,2585.4966889371026,0.11122663025413723
-43.921858595833555,780291.0519006705,673655.3336233285,314994.28809728223,16233.804192616726,27506.611305875216,3766.43398447338,3919.192135242109,2624.377652914421,0.1150135505871865
