ll,T_NDH,T_ND,T_pHN,N_Anc,N_Mbu,N_ND,N_Den,N_Alt,p_HN
-49.173985703751136,762280.5413021625,709471.756670151,286727.8342542054,16536.78218631274,26728.760626714145,1825.4283759898158,4039.9953933745755,2470.118673671839,0.11075925748422748
-47.062848298896796,799663.7155653635,699591.1368403011,294690.533295645,15963.030493192811,27724.19987897133,3452.8008436097025,4002.3525604630804,2529.594052227212,0.11049211777402675
-48.03358214740335,786771.7511936532,733885.5043254065,293771.7797170441,16160.241300651807,27392.835067792283,1784.4909590989014,4116.985252671732,2544.0418519031637,0.11073330212301334
-49.79560075229749,773176.7688436623,757762.8048924431,299004.33581184916,16368.596496510676,27035.076491290092,509.77390035350544,4188.614095650885,2584.831952522607,0.11223281554685462
-76.66938176937805,673687.8636156773,600014.708151391,349999.95683608117,17885.246538231597,24177.556085211454,2683.531129862593,3629.8217240065123,2595.481079430172,0.14135196812280787
-47.093179549058966,798247.252719931,701011.7632748425,293004.19932239834,15984.542026235484,27688.315409418705,3354.659417271411,4008.257840665628,2520.697797522271,0.11010647468574522
