ll,T_NDH,T_ND,T_pHN,N_Anc,N_Mbu,N_ND,N_Den,N_Vin,p_HN
-55.57629706196968,794387.2121012162,685663.2432020992,198164.60282919402,15918.038773543814,27791.839689073837,4169.249881631601,3961.9369148516953,2258.3426389605042,0.0826156105633902
-57.50824581338638,762389.5801605213,715596.682378588,198232.52400071727,16399.254525254048,26935.851506693987,1769.697437347407,4064.3981846279717,2263.8038362608972,0.08301753293343267
-57.566749517248496,773995.5338762171,740021.3916406375,198970.6085567146,16221.871615366275,27254.826076700916,1257.1787449949927,4141.259596611594,2276.21457142583,0.08311724242854017
-56.03718005892699,779675.0764127445,693342.9008714497,197333.68532439423,16138.793562344943,27399.619208153134,3306.9136314594357,3988.524653586614,2254.0863025650383,0.08256970009866965
-57.55929869922511,771758.5203943112,737422.391092178,195587.41698646988,16254.701165159593,27197.187668355673,1275.4951428560314,4132.580262035119,2252.7256386724684,0.08221673786904286
-55.83138174667416,783874.3706057568,689146.5380374235,197161.12929731677,16075.522967417728,27512.224981384425,3635.095539424265,3973.71514809659,2251.0458718644227,0.08250127113685368
