ll,T_NDH,T_ND,T_pHN,N_Anc,N_Kho0,N_KhoBot,N_ND,N_Den,N_Cha,p_HN
-51.19947892233206,714169.3497127312,649943.0913547368,349999.9691838465,17120.92702225507,36443.64730249241,20.60370412585442,2345.2268021024965,3838.0968176763768,2471.509010253789,0.15786170856902706
-52.819536827721336,703508.4894999844,646236.491252036,349999.9903033475,17290.94176291421,37354.036362531806,19.242629692648944,2071.005301308667,3831.6218875999098,2440.7216739430937,0.16713867437964733
-46.812471182210004,763057.5418073371,670859.43819415,262989.06247610383,16352.956641212462,32620.985408142333,29.446272835076343,3569.1496742084773,3884.0733817089695,2244.858724430005,0.1014945784207552
-47.44497727275028,786868.7912043204,693689.778422766,262674.0627353755,15976.41397480212,32634.101868574577,31.723630757919558,3562.5650124696785,3962.8170086867885,2305.858561025657,0.0951927135232818
-50.4312418771426,766163.2853919852,761208.8991180122,259067.53072955838,16256.93179926381,31697.56940372811,31.680152905684977,179.83702511893904,4121.446845536753,2287.714684044496,0.09664010831581604
-45.97997829508348,746683.1007473099,709704.0496277547,258924.5017919622,16603.280059293076,32125.912059180628,29.32916562131649,1400.0761899536562,4023.276027532986,2242.29907610677,0.10018253086548115
-46.90315610012577,746073.1719191022,674586.2327231582,281780.46304464934,16618.82566358944,33763.40398616485,25.734023325092647,2724.1891675504326,3905.7548992043394,2296.6914322061534,0.11316724720488457
-56.086561516664155,676022.4354540299,641922.3001602454,349999.7964783332,17694.23860100515,36751.02226586248,18.974553384288853,1231.7168108372753,3815.97671839039,2408.6820338871057,0.1729787641596926
-46.47156668268559,744729.1606390504,681733.5077386937,269776.98742374434,16636.40571113151,32816.33756527236,27.5292929500469,2414.984783668102,3928.1996778708826,2263.914818514211,0.1061962850611967
-49.8415362695184,723001.1300042185,674586.2171740374,349999.97561838094,16996.44938916963,36971.48920015051,20.464743089303326,1733.9218840841775,3933.961242508364,2491.8309063386782,0.15712865906198975
-46.79199753528338,779965.9995787338,697983.9426519744,253300.83136409946,16086.749577119801,32191.2995467787,32.318435049338404,3129.653558562339,3978.4395108663634,2240.516021010113,0.09494201752768633
-46.72238112664557,758513.8608822619,680668.945554991,237922.73767585764,16416.222680664145,31083.333453406492,33.675583528042665,3043.292585202844,3914.1557980215903,2140.160406021933,0.0912152687163791
-45.98667288182725,747070.8235024667,711635.0794742272,269513.9778430641,16596.121365500578,32430.922187923406,28.6279512981715,1330.7917664185438,4032.0722382888785,2290.963963875327,0.1042422113961987
