ll,T_0,T_1,N_Anc,N_AMH,N_Yor,N_Stu,N_Kho,N_KhoBot,m_StuYor,m_KhoYor,m_KhoStu
-25.21428851876069,176838.31370527486,176837.92361820844,14762.525155770809,60380.71808788394,6789.333452953362,2880.2605187078548,10713.680376293927,33.87162459148844,0.00015463327374765797,0.00011234161800125034,2.5201857174102017e-05
-24.472677372122583,93117.90381930792,58892.24492058892,15198.318387983012,43914.3636070647,4933.217609108095,2150.4806286903067,8380.827401565262,34.63998563632592,0.00022798668047041223,9.08069925237885e-05,2.551597915136393e-06
-24.224699660726685,106994.51623810428,72279.467560163,15079.290390303931,46142.437918119904,5260.476617607336,2293.7987561519553,8485.261618176059,35.261380547714104,0.0002085034732277465,0.0001053236076326083,1.0839555199865458e-05
-34.25470954905418,121441.24135053801,50000.00000026779,16271.087992339673,34552.115052841094,5697.5045271248055,2820.980510657664,34761.526065028665,23.186244730442034,0.00021162121624297388,3.3929084980733283e-06,1.3123570261881844e-05
-36.251397699729694,299999.99999994977,95648.45543451823,16541.615585625957,31929.182683081035,7347.8816476818365,3843.256853680728,15767.894521312664,28.9245022178483,0.00015149514390567172,6.270800958958455e-05,3.9823370144877735e-05
-24.144925242807933,115409.19223096174,85636.8161343592,15069.310279334459,46858.201831753344,5654.229050032522,2409.446434422412,9359.630492699533,34.14095966040895,0.00019283498338069495,0.00010810877687734105,1.2986701331508651e-05
