model,T_NDH,T_ND,T_pHN,N_Anc,N_Kho0,N_KhoBot,N_ND,N_Den,N_Alt,p_HN,N_Mbu,N_Yor,N_Cha,N_Vin
alt_kho_Bherer,766784.7656104312,708593.9470958454,306318.62689858564,16311.397584595903,32032.381349645504,31.461753521172202,2010.222929331972,4044.3956860101707,2490.8976453672003,0.13009787915394308,,,,
alt_mbu_Bherer,798091.7620451507,701806.3235314628,291949.7613241006,15987.304658625739,,,3318.9614951342433,4010.8376840872434,2512.252567999802,0.11018019955992445,27683.139206144122,,,
alt_yor_Bherer,773527.2374484931,722298.4201139231,301661.62190226855,16332.98728650155,,,1762.4710742746522,4086.98555131626,2604.1425939529736,0.11051714213765353,,27307.173931599857,,
cha_kho_Bherer,747070.8235024667,711635.0794742272,269513.9778430641,16596.121365500578,32430.922187923406,28.6279512981715,1330.7917664185438,4032.0722382888785,,0.1042422113961987,,,2290.963963875327,
cha_mbu_Bherer,806634.0729112686,667938.611806886,229778.30093526843,15846.396319771564,,,5306.209352508402,3862.031753134182,,0.08097781768802514,27892.303645809643,,2165.550752102125,
cha_yor_Bherer,765724.6331925995,704186.1099289948,227375.67484729487,16444.385150182326,,,2338.003193732452,4000.367052265438,,0.08048439361930164,,27140.92511137094,2168.9514329757685,
vin_kho_Bherer,753762.1684902482,692909.7445628811,231351.661680839,16514.286356644363,34171.1193293783,25.474288012297677,2284.7865046458087,3962.2882764691167,,0.10865833083924831,,,,2301.4236242969955
vin_mbu_Bherer,804371.4550939256,702586.8281564827,211914.32660715902,15891.267692795935,,,3768.0608784069946,3980.075789297876,,0.08434396588020898,27845.362613511363,,,2366.133340353892
vin_yor_Bherer,767484.930870621,716969.3806776339,210533.60607226135,16426.786474790904,,,1882.4117918703266,4036.4978703708257,,0.08364078811391393,,27142.21167946808,,2368.056206642076
