ll,T_NH,T_OOA,T_LosUst,N_Anc,N_Vin,N_AMH,N_OOA,N_Los,p_HN
-117.48549903504403,808150.2889204806,50000.000000014836,46057.080477472504,15906.934018059286,2297.5132632558475,26732.00612316395,286.8908342162,1754.4119424837208,0.10471675519103449
-118.43831283752448,826633.1195469709,50702.81693811035,46147.217934586726,15672.490595538071,2238.0563229556124,27028.71282025973,330.9317283814653,1761.3141264511028,0.11205527156335433
-117.82249765183354,840666.9958319099,50000.000000000895,46034.48242076049,15469.707976500282,2222.4862024251183,27351.85693738562,288.9780166595848,1759.4267351116987,0.11425410377287999
