ll,T_NDH,T_ND,T_LY,N_A,N_ND,N_Afr,N_Yor,N_Los,N_Nea,N_Den,p_N_Los
-274.8927329046463,777450.2982715762,621099.3895837533,77024.78773772232,16437.01223275755,9651.841848165375,27600.769059951108,37989.07370846393,2468.4083163437567,2915.7028216257927,2726.7081209062358,0.0263708911506421
-250.19318942855827,762375.6500780671,672925.6958339773,62676.515158107664,16710.85227667503,5588.830362165505,29743.3409347214,24460.589877650276,2079.427765312248,3052.220955231204,2881.453268197714,0.0194880043159299
-320.9343816404599,816913.5839590513,615139.6235718991,69331.79260670775,15505.243486621215,11475.957893384608,30238.67610024498,25691.91979855833,2426.8107182733734,2984.71460524393,2789.858365512088,0.0172618825246291
-390.6811752201703,799734.9872263422,692117.0014337052,69471.64149497621,15861.972723730314,6668.430832594348,29721.57662680863,24283.2770552551,2244.5731469444154,2936.417736423684,2959.141876385868,0.0289568275916774
-309.50940538874977,780617.0685959145,606596.9932373075,67818.93663602519,16333.95872742969,11249.75586185811,28174.044713496864,41960.01808506415,2452.267043154692,2818.249607913807,2739.926069519881,0.0265814958369409
-246.02760652694107,752212.8764773305,670831.70488619,60108.090205269305,16681.08782881922,5053.550208114259,28445.580571058887,26707.714712591045,2019.3160182450872,3045.5537882126696,2883.79693613424,0.0227573830404648
-398.6984492626491,791878.7494694368,569299.2883361165,71666.6038488168,15985.326293393293,13865.908600145567,29933.25679775444,20905.77682859563,2584.9906824959958,2644.727007976476,2656.2185381762206,0.0126921285673792
-239.52646877970483,816373.1892406057,640945.4099577832,169836.42830686027,15732.717252222285,10823.232403679449,24537.85873919797,102475.19955824522,5389.930355501754,3010.819813272401,2808.5460450464634,0.0280364309692485
-252.50329122252805,804681.1093929643,635790.4469198956,50000.07640215609,15864.318873833545,10613.114786348966,30437.64560737856,28373.729223565253,1731.2004501177723,3103.497395348142,2887.3332242132497,0.0196932427866046
-311.8240982580925,779011.0378761844,577625.5662276135,79323.86349820232,16288.807995566796,12886.57264301318,27859.78479999758,83354.21896893757,2485.069611570449,2804.4656438819843,2685.469526896385,0.0306468251095144
-289.6033484286504,812363.0056982461,619464.3548399458,74067.38931486572,15835.001243421122,11056.53295166686,30340.8466920502,78841.20535942436,2483.8175943686174,2916.856952075559,2899.851944979412,0.0293932484403088
-252.0235198091524,812112.9898503614,721551.8980312913,54024.44501670898,15754.192283411232,4968.631890429771,30615.269109775465,22437.167054620357,1668.3092433318725,2975.338991483168,2983.293362472737,0.0215782135937534
-245.5772159842534,782359.1568164666,582911.6545906625,62460.2259642025,16232.693136444192,13544.59238966121,28734.11489610032,31271.60181702638,2149.6419558555654,2765.348662838049,2709.098550189587,0.0190546654875278
-301.84045183222213,778382.2124411934,604710.4445894763,53206.2772050746,16391.53839501585,10960.921013507756,29914.48060766633,38266.57117966917,1577.9102427054963,2861.556739417246,2721.6755542848164,0.0305893299064356
-562.1495254799286,767789.7512035035,664724.6236972581,57922.37909429629,16559.503059426657,5582.770113206605,28125.032459903672,102068.90311857327,1964.446368179976,3000.722913698188,2867.2154808022574,0.0321722558496397
-318.6012207072286,749878.7355331007,657468.6548011567,63396.182959221645,16661.052700225806,5441.728819395949,29172.509036712785,46954.93775043746,2295.188917563941,3067.040801281418,2851.991211853374,0.0264997181967098
-447.1440365728701,858288.3066753173,659562.7611477544,66311.69345229612,14770.97181791855,11306.691532064644,31454.27165871805,41663.75181971287,2269.868772935757,2974.33841686126,2985.9233855141188,0.0291573896244894
-444.6772136204314,798618.1451646859,683956.0927356965,58508.01058595702,16009.816675158789,6490.695660771708,29859.178346299435,118701.37500777752,1925.518247355963,2988.149746345899,2952.566004734496,0.024082890480097
-401.3154158731514,803972.1263320128,603688.7586493939,69786.22393550535,16037.92329703266,11373.184695090436,28875.75038710697,54092.53503003527,2373.7531866669856,2829.549939806921,2757.3033205234115,0.0208981462012351
-252.6050580441556,769820.0365326506,632352.9471731402,70785.51580224732,16619.66543861208,7919.579513402601,27458.27373057688,48196.85808565096,2365.4924222249338,2906.5244506598065,2873.0852425586304,0.0261460317722028
-282.93488605346465,790054.408075706,644227.5108583136,50000.06611871435,16061.097081947748,8861.628441745012,30037.508949101528,49057.53268221833,1479.696111116365,2950.3513144105614,2816.813649870984,0.020416889577128
-266.36583771107126,772684.1890799989,699023.5604824928,82040.67959336746,16586.86728193539,4530.564255926681,27510.48960333272,83544.26648079566,2572.2492174435733,3129.37121225359,2955.704017686192,0.030414309603322
-204.1514982552067,796442.7206420643,673745.8728241177,62993.34154114604,15980.737801171696,8100.195104331062,29120.392318312748,34617.805244447634,2159.656779444557,3017.466234024246,2859.456796615042,0.019605384219141
-374.8476227917354,809388.895392544,668307.8936840054,53593.09079423102,15896.67747754521,8041.764138319731,29812.609334623845,25647.60746187453,1769.637208807782,2952.598916112323,2894.603502557825,0.0223682229070808
-409.59850129492577,845520.6451471364,701173.2387332944,71128.09264758638,15158.452821994046,7812.26958058205,30725.527404600198,67485.71066229563,2202.9291427429284,3093.006888465964,2968.582561963748,0.0336794665929097
-207.34183227275517,795211.5276023722,656648.7891299862,62011.30526825498,16127.867263660584,8632.875860085553,28657.32969984934,48160.57335160853,2033.672068453222,2925.4453806589195,2918.0991457306477,0.0296939299116443
-484.87997299777226,816048.5834175013,700917.3596126921,81163.5843911178,15681.128671450018,6089.855285396761,28523.349886583263,66449.35990507118,2712.7484952464024,3044.287872483118,2980.111239649664,0.017929594857127
-284.51747510027144,746422.3005237869,651069.7155942738,58600.78122907344,16970.746846602444,5975.002964340878,28392.346696510165,37789.25406484294,1926.863971210956,3029.286576236937,2902.3156684335595,0.0369843854921166
-482.5523524400733,788906.9882069399,591304.2197714454,75540.52008619929,16030.048457022056,11956.56426243658,29310.183712520837,31405.284156767448,2514.3761723874054,2771.7474379983028,2675.377442939114,0.0258892303010145
-332.182291428991,779000.7351569957,604673.0785248738,51502.00578614176,16218.347696714223,10687.81743463297,30532.54504827167,21191.348565172128,1619.7365176489757,2832.306972317372,2754.97114195272,0.0229867318184306
-379.25649839010487,796480.3332266579,644513.235732697,77965.3275209121,16056.990835108554,8611.204372864508,28718.549093646303,48347.25973835734,2594.202791387402,2957.4325224148165,2845.38728526798,0.0249673816804706
-238.26309090545735,753654.2861756412,636779.4110130314,79234.77792514412,16875.651954217465,7068.889282298735,26897.322844516653,45221.39649296903,2585.248394299728,2895.492122866172,2908.6418670828234,0.0239874411005866
-333.75451810939995,774048.2607133823,710075.6062486785,50000.48626644084,16273.902075534146,3471.9407311610244,30269.05730430909,46247.51109620043,1532.612948039924,3092.1427264506247,3009.665693860238,0.0243298026004937
