ll,T_NMH,T_MH_N,T_NI,T_OOA,T_SL,T_L_S,p_MH_N,p_N_OOA,p_L_S,N_Anc,N_N,N_MH,N_Yor,N_OOA,N_Stu,N_Ust,N_Los,m_SY,m_LY
-598.2732041443909,823684.3052628664,222808.6994877566,115000.00000000009,58270.49716762577,52902.19959365367,7000.000000000012,0.06130410920882721,0.02624361092577561,0.2525142445161,15282.101969742134,2499.3964336017107,29908.609820825026,15864.730950842762,457.14179640783874,7334.05411413423,1021.5630119111024,403.37814063423326,1.0000000129289665e-08,5.7005890055567776e-05
-512.8725370534171,803189.5663821062,223151.17593669478,115000.00000016065,57452.05145250741,56119.010666415656,7000.00000004219,0.05891782503135765,0.02812178008101721,0.28196517722589615,15627.602506949494,2519.8053454449646,30080.973289987578,13640.20376962019,295.53925336015726,6743.212568494122,1474.34750638354,100.00000000006773,1.0000000032357317e-08,7.129293169903272e-05
-454.21497298952755,848316.4248540569,221356.84589729217,115000.00000000009,62643.04331889562,61240.78353406943,7000.000000000347,0.05221975959893127,0.030998553917158184,0.3265221690329939,14941.274570349151,2655.791572969664,32662.44754770864,12145.977692611194,336.23727294748795,6332.79647411471,9541.099079451627,100.00000000040488,1.0000000004837713e-08,9.424297717082814e-05
-459.8941948615038,856841.9382385543,245833.40866575442,115000.00000000009,61652.604311972624,60267.27412385556,7000.000000044341,0.07807144669686583,0.030339011444169495,0.31986589573105856,14924.161140975018,2436.4683267240002,32208.999108698783,12375.190496722167,311.2849304336755,6389.357182016453,4822.933829217573,100.00000001940346,1.000000001070239e-08,9.052063657027545e-05
-450.0969054849849,830620.9503711752,228850.99387599938,115000.00000000009,65555.35510780677,61760.62209826411,7000.000000037055,0.06343042050165139,0.03129454815962704,0.33160351849649655,15269.969434862986,2487.7227656393597,32014.14675360775,12174.01122640549,477.9145440649176,6176.161348579918,9999.999999952455,266.3393970967714,1.0000000220596753e-08,9.578290455675683e-05
