model,ll,T_NDH,T_ND,N_Anc,N_Yor,N_ND,N_Den,N_Alt,T_H_N,p_H_N,N_Gho,MH_pulse,T_Gho,T_Gho_Den,p_Gho_Den,T_pHN,p_HN
26,-231.0146150885357,660425.2754263099,576207.5060344816,17715.91873402865,25121.549712140943,3766.045214890202,2722.1086174975208,3342.2028331218944,,,49996.89549379471,False,900000.0,200000.0,0.03,,
27,-215.7584214162287,665681.2719646196,541685.2575193295,17622.616985466957,25326.17881677708,5553.4332831147285,2447.8616145163382,3166.7661105952025,,,49999.99223102066,False,900000.0,200000.0,0.04,,
28,-205.50424718795148,647789.2218117105,549068.8563245115,17867.621973079495,24830.597742366077,4318.264838415468,2286.691053660866,3216.5658722608296,,,46081.92777512493,False,900000.0,200000.0,0.05,,
29,-198.1680373923699,657688.7635059167,569012.5337117293,17697.15614458376,25202.05304118142,3751.190404087472,2168.485936442512,3328.674221769513,,,33012.64443065564,False,900000.0,200000.0,0.06,,
30,-189.0143569816424,637986.5791536777,546393.1391836056,17968.290352243723,24635.73480307844,3850.482861006202,1995.3355699287265,3220.319246845434,,,31835.53318351164,False,900000.0,200000.0,0.07,,
31,-177.44127124375575,660277.6024521097,500000.00000000326,17629.496873530956,25350.9857883816,6799.433450801962,1856.9459661680264,2961.891937413842,,,26217.54707963747,False,900000.0,200000.0,0.08,,
32,-172.172580557608,660538.8013485812,500000.0695086061,17604.62194487275,25405.53184230698,6664.706703603854,1755.3497735127987,2968.422544942708,,,41226.91717461699,False,900000.0,200000.0,0.09,,
33,-168.27763344037507,664422.2500654487,500000.8984648648,17527.480160247735,25570.824239376936,6709.92237856416,1686.666379317901,2978.0461707116065,,,29354.156163616703,False,900000.0,200000.0,0.1,,
34,-265.9253530781508,764161.2162997469,631552.5777563587,16168.208621621658,28115.7323116038,5874.455932820874,3570.897537054668,3586.97758517407,,,500.000000016496,False,900000.0,250000.0,0.005,,
35,-259.591639379331,718203.5683460252,619768.8326999102,16867.22238933614,26791.033322104173,4406.864234328187,3427.706495386331,3538.2780397769943,,,500.0134578937664,False,900000.0,250000.0,0.01,,
36,-244.6682591548207,674804.5150091887,606755.4158567922,17513.45677858517,25522.01793983329,3038.8388758828146,3195.8867092916003,3487.2779195820526,,,49999.975368995416,False,900000.0,250000.0,0.02,,
37,-224.62835941406456,684370.300850311,573196.7612653103,17358.448854137456,25862.127592733952,4972.796327050322,2934.157406047036,3328.681923955179,,,48859.5545225364,False,900000.0,250000.0,0.03,,
38,-209.5126581037009,652298.6617892325,567598.0571729401,17822.299387410927,24926.305864498056,3741.233413069064,2768.987060314946,3310.906799754292,,,42732.35910904693,False,900000.0,250000.0,0.04,,
39,-193.930981025122,655135.7947200146,547286.1397572289,17764.57946689186,25064.19421851561,4729.768164986989,2597.81128040071,3211.415763015935,,,29002.34249297849,False,900000.0,250000.0,0.05,,
40,-181.65186023561685,634247.5955801406,540764.6335225784,18053.48551076972,24463.87536033778,4036.743682507121,2466.422324256514,3187.357144742402,,,29226.19432778549,False,900000.0,250000.0,0.06,,
41,-170.71755854902014,639057.6253089079,542952.3589381918,17961.823548694236,24673.659657886463,4059.5307272938608,2376.928496499956,3208.280065804093,,,24787.316276178623,False,900000.0,250000.0,0.07,,
42,-160.4115908427944,651072.6689966809,517724.8374847887,17771.160649254354,25093.35591696759,5604.141055129544,2257.5686627032005,3074.1497595552555,,,19908.881950646413,False,900000.0,250000.0,0.08,,
43,-154.73255868672763,646261.879028896,532973.4230776218,17818.425406955244,25008.237105197702,4619.848636987976,2202.26902353542,3171.6466209626738,,,20118.96825195799,False,900000.0,250000.0,0.09,,
44,-147.06616018471468,662129.9872434336,500061.8099102136,17573.721308033433,25522.872248703334,6615.070153438423,2095.5084284862032,2986.9752086512176,,,20632.45458780317,False,900000.0,250000.0,0.1,,
45,-261.49618000460634,774456.9609433024,573189.8611658401,16013.54342607938,28387.33798263737,9248.217789100478,3351.9632424233014,3308.3533608891107,,,500.00000000119934,False,900000.0,300000.0,0.005,,
46,-265.9759256550672,690796.7244611417,651320.0927657768,17276.320491585073,25960.23084747647,1737.270620958447,3595.466386386093,3680.281081146865,,,500.0000000000824,False,900000.0,300000.0,0.01,,
47,-242.52358953463408,685934.2191535395,612904.8029911858,17342.31722923858,25866.948140831024,3243.3833052118875,3325.147154688775,3517.2127647455814,,,500.0027169073957,False,900000.0,300000.0,0.02,,
48,-222.3845345778876,672281.3772553712,581284.3403012584,17538.683238329653,25495.32837458979,4057.213556243321,3102.9701652573976,3372.8316570669363,,,5455.931520185109,False,900000.0,300000.0,0.03,,
49,-216.34216295333152,579433.1274040891,551840.4377886292,18903.56741314096,22555.09662591922,1232.3730112256835,2882.8889691478425,3236.4517257324114,,,42282.667804438985,False,900000.0,300000.0,0.04,,
50,-188.42220186444027,630871.9216182632,553278.4431977477,18125.55549330233,24303.63843762368,3396.3185267759013,2817.5334567054656,3249.4562240639016,,,15979.22570961851,False,900000.0,300000.0,0.05,,
51,-172.69043787890826,637755.6659901359,543315.127357185,18006.53481623764,24576.75516571569,4075.729975511212,2714.947588908448,3204.3759932935627,,,14645.52106876434,False,900000.0,300000.0,0.06,,
