ll,T_KhoYor,T_X,N_Anc,N_AMH,N_Yor,N_X,N_Kho,N_KhoBot,m_XYor,m_KhoYor
-15.880101874502843,68856.32684277683,81492.07047986217,15170.543269077074,42292.4163386519,10825.238089397557,927.6414846513966,11945.519687807395,38.73080347872246,0.000625445961205302,6.4910425299569005e-06
-24.930801464706093,72762.23174745863,65543.56434229361,15470.081822062775,38292.56912119964,10924.542409512067,624.1945763624376,15262.807924909861,35.47053782288784,0.0008105698722451601,1.0000000017359998e-08
-23.445838988877505,77710.22485279539,65663.29340420663,15111.819855605308,40373.731646197586,11918.40095331706,664.5779186163512,13693.09645488081,42.325895431323026,0.0007593258920239603,1.000000000000087e-08
-33.04666744134859,151844.49889252425,50924.84078909728,15536.776715411324,32709.40861196793,21412.427398222757,332.7392938699999,27291.352529004904,42.886400058916585,0.0004297650895778143,1.0000000000320721e-08
-23.22260608657852,82360.93040195071,70836.89964720023,15028.924920798374,40598.52406773989,12534.75433601876,836.3107595058897,13822.109725831371,45.14910720281782,0.0006236709152894463,1.0000000000006449e-08
-16.806558564203392,63875.55328083824,78120.50591647386,14918.923233164578,49689.020648695354,8728.769851752448,695.2133016305496,8948.333477421897,37.50034450562206,0.0008766826440004489,4.6304955626942246e-05
-15.76168709108727,70149.74834368963,87702.05422568764,15100.119550994339,45223.14826599173,9955.2012505351,975.6610379110496,10444.715618155924,39.06397245130934,0.0006270181460854066,2.8037225287265496e-05
-23.131515838353174,75880.81957639214,69711.35282363159,14913.246149724127,41890.08064641717,11869.908346511487,754.7659565554213,12656.917077822058,45.4245432314523,0.0007050795503850614,1.000000000007665e-08
-24.026283976684713,85628.23851681185,62837.818957760785,15219.685904928654,39094.94600704987,12745.394868604159,634.5041788738283,15985.986954119806,40.04461057322186,0.000732296282134929,1.0000000000442828e-08
-15.915949860301938,68730.97269028914,81126.05215914272,15191.969081596906,42008.467486537345,10830.971840421164,923.2315834701695,12156.542909555686,38.23386288986918,0.0006257031557022669,5.367134666516679e-06
-16.636629788715133,72131.57881607323,85618.63415398618,14973.714711501598,42897.16221003638,11662.696845979679,1069.743586965916,11019.14043005307,49.020669170757564,0.0005459456610241081,1.0000000004887273e-08
-15.758811502606177,70519.2047150357,87218.7550432896,15071.15022942406,44654.51747505572,10283.500238804914,995.7597386392797,10767.191465509362,39.694056474096286,0.0006089528299483343,2.2037197000717415e-05
