ll,T_KhoYor,T_X,N_Anc,N_AMH,N_Yor,N_X,N_Kho,N_KhoBot,m_XYor,m_KhoYor,m_KhoX
-21.791224491521753,64207.786508606914,64207.78650659383,15170.074348741586,41699.01861315554,7611.485856901331,874.634423918568,11625.548581563371,37.17188886884434,0.00017910821259265543,2.7956918161688634e-06,2.2751212722993618e-05
-25.717318489995577,399999.6623992897,54439.96747715832,15777.617628002065,27513.22231722047,7831.8304900962,798.9513847495163,20894.08086800147,37.285206859670424,0.00016288587090367842,5.874857200347264e-05,4.222561614779713e-05
-22.03806344450017,66703.8613025017,62600.26229330793,15113.486275868741,42444.76637308041,7164.610768689673,835.3741489865093,11012.599596400696,38.281422175643996,0.00018771452836439673,1.3448653088880492e-05,2.5912168623109032e-05
-23.123395545679053,72820.95387356142,55215.78472564648,15399.99627718287,39419.647484218105,7026.158417086729,756.375950205794,13889.620877794807,35.87938203989533,0.00019748327358317847,1.0000017170619148e-08,2.517081877834047e-05
-21.69868854783651,99030.91305312359,73786.27790763798,15127.599576870682,42013.70589206503,7634.3322448962335,970.1447832669365,13912.965062420899,36.167565911265946,0.00016546615819563256,3.941410288805736e-05,2.9440589575185154e-05
-21.485590422728023,86589.73305822705,86586.85741767909,14983.041923093555,45555.01733021219,7594.320899965454,1070.8588271438841,10890.04662880318,37.01390277117137,0.00015751701390508683,5.4420962214032624e-05,3.0612416700647516e-05
-21.55238087705512,69289.23154520623,69237.86827649141,15098.115557283552,42318.71760041314,7877.84351113546,938.3514028462165,11851.38103962836,37.417221253326055,0.00016966541403604142,1.1782336419782912e-05,2.32795097088168e-05
-21.971529752592428,62579.7644737819,62253.39565731999,15211.681984747956,41390.47419006377,7474.469302273156,848.9947445965804,11574.895372800273,36.93407751981098,0.0001834518527954122,1.0000000000309708e-08,2.263738238527393e-05
-24.86202277664717,101098.84203554173,47277.87112733693,15264.013009936232,38247.91976778926,7078.110566253995,672.0763362269774,18539.27718875721,37.75571591116251,0.0002034602953197273,3.391000112631999e-07,2.796346373366109e-05
-21.918170289252608,64247.19141893398,62346.31842038667,15134.349659021107,41806.031659224434,7542.651179865847,852.3588686489842,11629.871854708575,37.78480407607388,0.0001824401657902351,1.0000001793245376e-08,2.252119003323925e-05
-21.525767347182416,77279.42991026441,77258.27978423925,14910.915068959139,45059.9657692334,7638.843044403729,997.723075324609,11229.733002153598,37.09926016804995,0.0001651873287219702,3.7959661167007814e-05,2.7819695622455616e-05
-22.113120769640116,81261.2598705561,62131.39672529208,15248.353244780614,40236.438821657895,7648.294618150802,858.7760422509903,14270.922637695056,36.938766103686206,0.0001778853573342197,8.579497230913326e-06,2.4443048285058904e-05
-24.789392006870045,349014.36966033024,57675.238361303345,15286.341965216727,34928.32641822235,6203.521155706606,737.4153283715661,16673.55608369086,43.31537624448496,0.0002039977190571956,6.599893937418006e-05,4.5876726140686886e-05
-21.868088933426066,87341.3639260017,69677.15986377803,15263.580396847457,41708.05480674169,7102.906724617079,901.1311677679563,12654.571924695716,35.5649937879564,0.00017761157004681763,4.045453783497166e-05,3.107973963889356e-05
-21.610746725367,82086.69025552997,82089.86872518974,15037.219644804072,43222.55876355923,8343.433905615573,1084.8575570545363,12349.78276506839,37.191327790126884,0.00015203575536387173,3.068987669154371e-05,2.4808178418426406e-05
-21.567369891740796,95523.33657171804,91674.2332643185,14938.894072623527,47063.247265155704,7365.052702691752,1089.8176419638958,10694.610436152998,36.74201137327015,0.0001566995570258316,6.706740119788648e-05,3.3504954815848826e-05
-21.695855914917573,66034.93220876784,65683.82936345325,15144.460760836282,41586.42282698411,7893.622778466204,905.803158386572,12294.392456997053,36.90664377852694,0.00017306930507384794,5.530104275739823e-08,2.135754046374871e-05
-21.809227985294143,65073.422124115714,65073.42308747432,15115.478008789709,42682.83564592044,7263.582572645869,864.410706606349,10910.43577371587,37.2360985490832,0.00018335317729836892,1.5801371171242145e-05,2.580706736338232e-05
-21.62316656959471,67017.42067772559,67017.12014839539,15105.28839955198,42041.45833030421,7898.021024482244,917.594049541657,11812.864919224055,37.897482305840555,0.00017193514139535556,4.615282652680002e-06,2.209610998496186e-05
-21.9402201856577,99053.05440794195,67992.75718231019,15213.247860874866,40551.61603373683,7673.4274508909875,919.8468478485687,14813.300332434444,36.76560853584664,0.00016958177894243974,2.9122027754317436e-05,2.8131311322135425e-05
-22.273603514115006,90256.64989060316,62789.64156330827,15282.956999851798,38998.434873779435,8339.130308421449,899.8530262188488,17073.484874013702,36.381439206690075,0.00016597311025024527,1.4678453196387506e-06,2.196858185821698e-05
-21.512261187359556,71155.28364783834,71155.4443698853,15085.703227389591,42877.17998587202,7679.630403296347,945.9191490827284,11690.448972773063,36.54534151881325,0.00017019472398968648,2.2054055432997076e-05,2.5389558852830044e-05
-21.979574655632188,64158.62265879675,62543.53904986215,15222.811855036169,41381.22903648931,7406.68078845097,847.6489891583471,11839.23954663494,36.30324683321486,0.00018388265800727262,3.7402650078090014e-06,2.371367615395636e-05
-21.773289886648747,64109.703176089184,64087.89088277863,15116.91791654632,41982.29848324309,7679.105307679672,876.8957039172117,11557.575049714944,37.75828219620698,0.00017850118852124998,9.448039226784177e-07,2.2129921359540008e-05
-21.55189893487098,69653.35259047133,69629.88333551078,15107.968651413035,42634.83583129194,7632.59250725372,929.0634118538127,11375.804177239675,37.39195656694766,0.00017244864551120394,1.8984530273499295e-05,2.505870668655644e-05
-21.6178395429545,68077.44457102941,68075.42247393871,15100.46967622582,42474.28969374375,7676.936903084175,915.6120626949114,11962.926012589325,36.121798257452205,0.00017369309810409548,1.374520974262986e-05,2.4401630910064873e-05
-21.628092475458384,68369.00248320552,68369.00248313398,15176.577551988572,41489.638369766755,7997.510404400392,936.2061784135736,12669.165140546245,36.00636137267733,0.00016879392346003677,5.755587228216794e-06,2.2173355336501606e-05
-21.68803172732894,66609.65451250745,68947.03880820516,15033.290173251478,43162.03616704574,7930.7690653974605,925.5671736269703,11720.13562637583,38.238687352017344,0.0001712233232244181,2.435832380147206e-06,2.5313947397943434e-05
-22.141220160332274,92159.33439148997,64479.04511097012,15172.283981468765,39788.117452036015,8385.248346050388,920.0319047816591,16702.592219678078,36.93128571560805,0.00016405469687516826,5.358993853314413e-06,2.229917394618091e-05
-21.758509014104877,66437.4512851181,66435.0430825999,15205.328755304481,41537.889372204976,7680.250615579003,900.6557655743314,12551.490007705981,35.00687685361336,0.00017515804786950306,8.269476049438576e-06,2.3431095230818907e-05
-21.696839649473816,66002.00903406563,65609.49862531439,15115.654406771187,42024.49995241424,7706.901669115013,894.3750164988313,11738.57207345298,37.44756541491064,0.00017592736815724632,5.115522291516697e-06,2.266542857836731e-05
-21.773524784688192,76346.24152597127,66178.82651080552,15161.713165501184,41633.18279031763,7562.214019676678,893.6293931531151,12976.192354590827,36.333659311421215,0.00017587673793634595,1.709816345369651e-05,2.5466052566377517e-05
-21.67999584995604,66459.08227978801,66410.59754059615,15151.447007815485,41521.511201715046,7997.531548856732,916.3834046012719,12740.290581520414,36.01981614815371,0.00017118468065740843,1.0000000037386645e-08,2.1234154113846264e-05
-21.764813581582253,64399.39023580828,64399.39023559505,15091.975606054459,42257.55853831191,7636.219104239464,877.664831486178,11375.286032682328,38.02684107540393,0.0001788191460034224,3.26109722200168e-06,2.265216552294046e-05
