ll,T_NDH,T_ND,T_ChaNI,T_UstOOA,N_Anc,N_AMH,N_Yor,N_Ust,N_ND,N_Den,N_N,T_pHN,p_HN,p_NH
-71.33041709771086,802397.6019226209,762250.6897008368,80000.00000062877,56372.32014650396,15851.808063050627,26860.594064425146,59542.8681384657,694.7264458033281,1451.6961579978442,4179.7009358068,2253.630130383575,229561.3531530582,0.07638156296338355,0.020809812550021723
-68.80660501727614,780753.0808191352,682803.2499623148,80000.00000059411,52512.55459795792,16197.95071705628,26452.431826069158,54716.63979659379,443.0998106565523,3762.7741314474792,3926.096191853282,2209.931572280384,232906.0204608326,0.07973551952236423,0.021011605438839502
-68.54845718317137,780567.1568807241,685937.8397748632,80000.0000007247,54083.125970833775,16198.378840468733,26384.59046788404,55938.752287373354,541.7303229755051,3634.177492355072,3935.3451354052586,2188.62342185353,228456.51160418172,0.07839078119500703,0.020906504378233836
