ll,T_NDH,T_ND,T_VinNI,T_UstOOA,N_Anc,N_AMH,N_Yor,N_Ust,N_ND,N_Den,N_N,T_pHN,p_HN,p_NH
-97.40475835163173,710520.0272008993,614390.9505857618,55000.075229241986,57200.33644918442,17184.366288651512,24032.379207522914,138709.0362214512,744.3323600750667,3868.472825295746,3685.066597445671,2750.50686032634,303293.2191534698,0.0997967707098539,0.0229904545105163
-85.90529552788882,721072.9040497431,648843.0683820406,55000.00000000005,53416.53480365396,17016.82368206333,24583.149675256893,116153.00555671619,504.08266924567886,2954.091453369835,3809.7654281188265,2010.5329023952763,167175.01215021557,0.07514298706169988,0.02233922678531949
-108.42401940861377,654497.4299237885,560963.319498818,55000.00000000005,56706.57507111504,18028.91269697157,22488.120653861228,109578.52049308973,694.6754334689766,4060.5857816626067,3429.441290512278,2498.984866931253,252953.09444844772,0.08719402946799203,0.023158338947194677
-112.17936650200774,663481.4946473133,543364.891531175,55000.00000000025,51348.20182169175,17905.691859543058,22914.231257653417,106715.41884379297,365.8396577365688,5025.595847684032,3360.998188696641,2604.87942257029,311490.8959256917,0.11142907531543324,0.023491314272945023
-82.89239731150286,725258.6227851682,688193.5505351723,55000.000000359876,54525.80931496491,16948.66108395071,24637.207651737077,124709.26841798691,574.7326667143697,1460.6656970550773,3964.739896898889,2180.8663214897365,181425.54696154437,0.07538180349699514,0.022569341833812158
-88.11078943971181,700757.2509211345,638876.55230979,55000.00000000005,51050.197791585255,17325.258896200245,24092.88778282106,114722.96344668556,353.2016685640446,2539.9383729865435,3780.688560899271,2093.304099063756,175276.68122561488,0.07540083440655132,0.022979371016749815
-83.72577406997098,751789.5979712788,666773.373251623,55000.00000000005,55201.723481749556,16546.51712875646,25312.595392461648,146204.13771320833,622.241113381092,3373.2461373136107,3884.4676575827525,2375.817126003146,206363.96785249762,0.07791246126681314,0.022655871697712566
-161.44284662111937,565173.4283989399,498061.47300805873,55000.00000000005,48316.326839421505,19374.295243132736,20053.043829299746,76831.23565816294,180.74337911319304,3064.6700955822353,3111.223353064169,1982.780064354559,183232.17412932802,0.0814731747359745,0.024609978532604777
-83.14566965429248,740370.2797421479,683408.6901691362,55000.00000000005,56352.77129809057,16727.478210244186,24941.749761125906,137909.17480059306,696.239985903554,2230.8526993999144,3949.1543221040806,2329.9532739491906,202815.65459519392,0.08017613710381556,0.022466136442476508
