ll,T_NDH,T_ND,T_AltNI,T_StuOOA,N_Anc,N_AMH,N_Yor,N_Stu,N_ND,N_Den,N_N,T_pHN,p_HN,p_NH
-379.55343185915274,657330.9206161979,581719.0870143923,261661.13703109324,47000.0000000138,18066.70396205889,25030.89901881452,20059.585460743983,2266.020753127833,2886.3587847272497,3604.096281792372,2115.057775314093,261664.5750348813,0.11687655051977601,1.000000032503389e-08
-374.7533477493917,673646.0523006686,598616.8018547737,262076.3514496736,47000.000000062726,17815.313880807338,25566.553404905364,20353.996304673576,2273.964699351964,2841.256204666375,3679.9947393375487,2165.578629631691,262076.36690194884,0.11337621984254076,1.0000000216228513e-08
-368.01271880735646,729501.369280395,636123.6702747727,110000.00000233258,47000.000000330554,16970.28623542934,27242.052429261068,21040.046831054584,2302.2326656037076,3331.9779770739824,3838.0159983141857,2466.8593365724223,309018.73241329903,0.12754549721811506,1.0000000217383323e-08
-369.14715073781025,738973.3049144263,690745.1832690707,110000.00002114446,47000.6975159644,16810.706012677587,27564.243494557668,21069.94650632593,2305.851430137425,1696.086725057715,4038.910914310907,2303.2144306807663,267319.1866114093,0.11067804998408731,1.0000000335097272e-08
