ll,T_NDH,T_ND,T_ChaNI,T_StuOOA,N_Anc,N_AMH,N_Yor,N_Stu,N_ND,N_Den,N_N,T_pHN,p_HN,p_NH
-348.47619372025355,707449.5206014812,615978.7029500231,349999.9798986084,48876.3270017531,17459.816653269023,26235.385622588336,18116.619204184328,2315.2194773117853,3234.743106616545,3717.4779125902187,2377.1344239093764,349999.99576566,0.15603513234037766,1.000000017265185e-08
-336.005793959283,752010.4247831774,623043.9772123189,348921.59277946554,57860.61732856574,16758.39125892557,27202.023147959375,23384.160573679525,2899.9559521829465,4738.017719280761,3745.2102541982613,2553.4964333822545,349998.6081971492,0.12590559486260297,1.000000019924299e-08
-351.3071376326177,737272.0303948381,529783.6899513293,231906.07780029377,47000.00000000061,16989.717540922382,27346.074406178883,18584.94829207653,2242.3493208526647,8462.945574722253,3276.684666803238,1903.4675339055677,231906.08170485098,0.09810548787907368,1.0000000086107886e-08
-350.7671193393856,842007.0862181281,778675.1308270745,349999.9999998888,47000.05054637496,15351.357687533009,30191.708811976456,19178.47129426092,2267.036064781207,2022.4739422996147,4263.273987370511,2655.1851191311544,349999.9999998907,0.12432928306270634,1.0000000216249652e-08
-355.8509054524941,645176.397941722,588557.8398353858,256180.07488317354,51887.33161422042,18389.22916259844,24243.949181031734,19049.364016167467,2493.1199030345665,2130.3249024219117,3616.8177678928987,2460.9308742783232,349999.99999999884,0.14227264423604574,1.0000000183083897e-08
-337.22844455152614,755136.2437020957,690067.4227256147,259344.03264071653,66499.46896764108,16693.371968610256,26914.787270415727,27513.250040698527,3419.1173670316125,2383.9320777829184,3997.2262311119107,2252.455980700053,259344.03267800366,0.09567094034955478,1.000000021454275e-08
