ll,T_NDH,T_ND,T_AltNI,T_StuOOA,N_Anc,N_AMH,N_Yor,N_Stu,N_ND,N_Den,N_N,T_pHN,p_HN,p_NH
-334.42587223085883,724402.3644006933,609840.331437312,295474.6048702502,51264.671446410815,17183.302266022278,26709.3849887986,20041.462139625844,2493.196575903991,4032.2973591899135,3711.5421711483127,2600.939620856985,349999.3778419558,0.14342915087091015,1.0000000101189405e-08
-388.54272929987326,633945.1859156671,490782.1421730994,231625.6009871099,47000.00000000203,18551.06990390687,24039.76594756059,16434.013980360447,2214.385582817525,5767.770364189725,3081.4703713354183,1693.7696537161019,231625.60098711032,0.11975677714273665,1.0000000314351662e-08
-349.3687211841603,664408.8105551973,582029.740223001,287281.9852214481,47000.00000005103,18099.37015990904,25063.389139918407,17262.81159446973,2213.8836829599154,2951.9216755768366,3594.242890827028,2446.572919800632,336758.1391296217,0.1514011789819034,1.000000021555659e-08
-339.9523882302456,784097.6829756218,697343.8753189639,231701.81848213094,58346.743610493824,16241.817126200975,28190.963067294393,23901.67923247136,2955.4072904742616,3070.419835818258,4033.981772707597,2136.5755039810083,231701.81910715875,0.09171982628273956,1.000000055291938e-08
-340.98375098974805,722097.4331333486,562593.8389690664,264999.81349611835,47000.0000004618,17221.821057378747,26856.33147647438,17986.7044254295,2243.890553307913,6026.742169004824,3471.4363064605454,2111.212700211258,264999.81538968725,0.11608807500362224,1.0000000105346861e-08
-362.7428456633891,630134.7291161717,580989.5951673333,260282.2515332443,47000.17348261772,18613.973317876844,23980.170898513217,16696.399318501928,2200.3530671357757,1821.9687702969095,3585.7572207709463,2203.01283380417,287114.76657855546,0.1328097195376945,1.000000005658448e-08
-338.81123390817135,821183.0769707349,710878.1803410572,255824.9931036163,47000.01026614508,15689.508230278912,29671.361956596156,18975.61638541386,2275.461744723586,3720.694175588134,4074.41522392783,2220.273619161813,255824.99310365584,0.10755524946635792,1.000000040474382e-08
-349.3813102050056,682270.9437424376,573825.5093567889,251342.60427537514,47000.000000000444,17826.986343709035,25640.23318071851,17363.289548948345,2226.3272541782712,4105.478927578087,3531.7224541184796,2006.0914169328287,251342.61472414882,0.11577972162726885,1.0000000190120757e-08
-335.80058079263233,796729.9394520412,729032.9960523432,223291.35198227284,47005.18184341236,16065.924389343052,29083.207901607853,19294.233157568946,2264.7674493787167,2221.9831332579074,4166.097522791551,2871.212413048385,349999.99999992177,0.12640727891984332,1.0000000204223575e-08
