ll,T_DH,T_Dbot,N_anc,N_D,N_Dbot,N_Y
-30.087373313860677,826165.4311477144,69023.30806433674,15425.422026140426,7969.143338585999,50.550946074584935,28297.96752842581
-17.90791125912603,839834.5772806782,828179.7184462232,15308.27563472727,7251.557798607761,3811.218566556959,28774.46678401808
-21.143194346053924,797845.1823903051,77220.78157532195,15711.201626026555,4791.631581786651,529.0045757764867,28243.10780413882
-19.595103338807927,743697.4427457298,68576.26386420164,16975.263295412173,5489.674687510169,87.44267986772246,27367.723396967456
-22.04030464041737,838479.6036483862,72320.27114629491,15507.20415355577,5882.510828173117,180.4169821390907,28734.00344171975
-20.853621286446497,809765.3804334786,68376.6681282187,15802.088673983217,9361.628154352313,36.93252082275298,29049.96758843307
-23.05521105156648,808682.5163356062,68997.75558226142,16148.518675600431,8716.356816455043,44.7670140829604,28410.429472025604
-19.85183523291927,779363.7302164282,68470.11301288047,16227.673289065631,7882.879670938407,47.17079896845201,26839.56786673377
-22.73204426888409,798114.8117498334,67478.42698309082,16201.053845524397,5221.291805209495,56.581408647327805,28630.251123696595
-30.411321213892627,810705.0520699704,67510.09177577373,15596.071328933553,8261.80658824208,29.77480591910981,27083.05648369674
-32.35396502330961,820178.3343572654,68020.24301987042,15565.76409569298,7417.577148762381,45.07536838012893,27611.434124526528
-25.550717634240907,831968.2187349198,68077.98807781424,15430.84132972112,6869.592207082464,48.4892798116859,28201.703255259803
-21.295163593959185,786735.030791537,67951.0793722399,15779.262603851024,8982.822971307214,34.159427057824324,27675.097984538155
-14.964814434013068,821839.5245573663,67434.07110454208,15590.1499264119,8923.265706249791,27.64741448821773,27464.698451946035
-31.70965720426266,829565.1463372307,829534.9910634133,15489.170144012813,107.2100370661058,4055.913837162621,28908.715264688355
-18.49456567717753,779824.3891088762,68137.34606210988,16217.699882130002,8303.033845448557,38.081373833850215,27249.036086962114
-18.972990617855032,827816.4230285946,68507.16750512314,15576.9740053973,6703.619648495539,63.54950328970748,29289.139819223463
