model,T_NDH,T_ND,T_AltNI,T_LosOOA,N_Anc,N_AMH,N_Yor,N_Los,N_ND,N_Den,N_N,T_pHN,p_HN,p_NH,T_StuOOA,N_Stu,T_UstOOA,N_Ust,T_ChaNI,T_VinNI
alt_los_Bherer,7335.202718356836,4351.8112545985705,290392.37494643277,13121.499720741525,236.5486273990095,587.7527609417527,217281.36091574834,374.57976212504593,417.1987310544915,127.37257381532436,177.60622475630387,49734.3863251165,0.023433434831463363,0.007789028052804659,,,,,,
alt_stu_Bherer,12331.379461705135,2395.878654417086,33881.396031009215,,283.2776795753064,581.6778169692913,7061.063089505221,,334.61651752437484,128.37655429558512,84.80927873591479,44045.65987037175,0.03569649563012045,7.695215783227886e-06,13310.16288452021,799.5050425152815,,,,
alt_ust_Bherer,9145.890139677265,5714.578311736537,282076.01699475024,,252.0427223105996,522.705292068233,27009.09116626706,,481.76469963009845,127.10849965962333,173.5331295597538,47408.15088534288,0.022744474546228865,0.006556672062059616,,,2195.114895835416,157.57613627554258,,
cha_los_Bherer,19124.36541728168,15295.624477570273,,14586.501968867802,359.47405421560137,1213.5147607741803,269478.4811845043,410.2934154570958,581.3912484755538,135.02965313580185,192.83739583596912,44981.24676317746,0.01959444931492283,0.01129943984407361,,,,,507137.5550299906,
cha_stu_Bherer,8058.246041522852,5181.45950909058,,,240.86974128325593,1812.594017555282,14115.244497436612,,394.2834038989415,120.04724306718079,499.259366770333,87171.63013059592,0.025838209899205673,3.456016884850678e-06,30105.28227275959,1810.8264216596467,,,131830.11494947277,
cha_ust_Bherer,28143.582162223847,26195.49280078402,,,488.52984131906135,1034.3682597568845,32191.36407158656,,626.6194478185822,153.5746359501257,192.62956156957424,44584.39293599221,0.01944037931110671,0.010470574052624488,,,1703.6775784050824,120.62119142853193,562752.4796843637,
vin_los_Bherer,3479.146865824875,3858.1745259124837,,13343.085325264787,210.29300581398437,601.6004916044013,177405.95425214164,375.6335501211293,304.08101765792713,119.38534923083343,206.85508283029415,49691.20035729368,0.01973081746258974,0.006385757412001359,,,,,,166027.49514410028
vin_stu_Bherer,30089.646062904343,49504.77900293606,,,482.4571361984788,1706.408486501234,5260.647336152681,,863.4660876854679,286.9673883145073,190.65060985048603,49899.53582841446,0.02583448507924159,3.356149860511026e-06,13309.6352945489,749.4030028281232,,,,34136.64295496335
vin_ust_Bherer,8680.89726249391,10561.083599946724,,,252.22509129218062,472.51363611955435,29674.367644831516,,594.0485530356439,127.6695784317844,97.37184534004166,25083.839776683766,0.014646335658947015,0.005638011898170893,,,1743.8366023688727,118.34700177958693,,212819.76779734367
