trial,ll0,ll1,score
hn_null_model_rep_0,-16.68554574215792,-14.891469182428596,3.5881531194586493
hn_null_model_rep_1,-16.429874312496203,-15.970587433669554,0.9185737576532986
hn_null_model_rep_2,-12.556904099701423,-12.57567447484492,0.0
hn_null_model_rep_3,-12.704777531708007,-12.689006100721851,0.03154286197231215
hn_null_model_rep_4,-14.389864121359246,-14.193315701174544,0.3930968403694024
hn_null_model_rep_5,-20.31805854325839,-20.26123962709873,0.1136378323193199
hn_null_model_rep_6,-33.43469371202779,-32.170918526061506,2.5275503719325627
hn_null_model_rep_7,-28.18467937625458,-28.154926791628267,0.05950516925262406
hn_null_model_rep_8,-16.393503780579785,-16.35224415807769,0.0825192450041925
hn_null_model_rep_9,-20.40969555708165,-20.21216257279389,0.3950659685755227
hn_model_1_rep_0,-20.705025336557192,-20.6769046193631,0.056241434388184075
hn_model_1_rep_1,-25.169943043853184,-25.175974909047124,0.0
hn_model_1_rep_2,-18.704867901482963,-17.802608578560715,1.804518645844496
hn_model_1_rep_3,-36.520468045558246,-36.579050365619054,0.0
hn_model_1_rep_4,-23.697796283538917,-13.943662780604775,19.508267005868284
hn_model_1_rep_5,-30.198796386132024,-22.28781889567223,15.821954980919585
hn_model_1_rep_6,-25.499992200814763,-19.172803836211944,12.654376729205637
hn_model_1_rep_7,-18.456960754389662,-16.543134557580757,3.827652393617811
hn_model_1_rep_8,-23.72485561769392,-18.735112299920655,9.979486635546529
hn_model_1_rep_9,-21.34755535041765,-12.357380187981072,17.980350324873157
hn_model_5_rep_0,-127.91967588519692,-18.066991325792703,219.70536911880845
hn_model_5_rep_1,-108.75441875055562,-24.539701598521333,168.42943430406856
hn_model_5_rep_2,-78.65722844953835,-20.358154776315928,116.59814734644485
hn_model_5_rep_3,-178.2347647858458,-16.324963672364408,323.8196022269628
hn_model_5_rep_4,-110.8594671683578,-14.332578732187171,193.05377687234125
hn_model_5_rep_5,-41.013458953422976,-33.221487470304154,15.583942966237643
hn_model_5_rep_6,-200.334408741172,-20.252967513329235,360.1628824556856
hn_model_5_rep_7,-144.58495556059907,-20.359308645122876,248.45129383095238
hn_model_5_rep_8,-89.30017895310053,-22.43659281282804,133.72717228054498
hn_model_5_rep_9,-80.39271528627354,-14.767139873117472,131.25115082631214
sd_null_model_rep_0,-22.068538948047596,-16.685594952786246,10.7658879905227
sd_null_model_rep_1,-17.401382271451716,-11.88307541188417,11.036613719135094
sd_null_model_rep_2,-29.730752969904596,-22.8968632512672,13.667779437274795
sd_null_model_rep_3,-9.793527879874546,-9.116992986510578,1.3530697867279358
sd_null_model_rep_4,-15.05931563117693,-15.059298343028432,3.457629699354925e-05
sd_null_model_rep_5,-14.315621205331418,-14.121336824272175,0.388568762118485
sd_null_model_rep_6,-10.709749574762256,-10.709775431912751,0.0
sd_null_model_rep_7,-13.54855890313279,-12.445762252358122,2.205593301549335
sd_null_model_rep_8,-18.065400810621256,-17.85403769686103,0.4227262275204495
sd_null_model_rep_9,-14.14225602380482,-12.630249230612474,3.02401358638469
sd_model_1_rep_0,-27.552198707063585,-12.981528095510065,29.14134122310704
sd_model_1_rep_1,-24.1645173356822,-15.072427077813591,18.184180515737214
sd_model_1_rep_2,-21.78307477705992,-18.507067570913613,6.552014412292614
sd_model_1_rep_3,-13.858489318551996,-13.858516759112373,0.0
sd_model_1_rep_4,-95.1424471353186,-20.047108564639792,150.19067714135764
sd_model_1_rep_5,-21.39554969901256,-13.661124473030313,15.468850451964492
sd_model_1_rep_6,-29.66009925127852,-13.320434784151033,32.679328934254976
sd_model_1_rep_7,-18.588973082379532,-15.003753580835482,7.170439003088099
sd_model_1_rep_8,-19.424731507985705,-16.99166692074938,4.866129174472647
sd_model_1_rep_9,-12.111263339450892,-8.691999604231727,6.838527470438329
sd_model_5_rep_0,-87.12788805477237,-12.676229573765896,148.90331696201295
sd_model_5_rep_1,-101.14481269092968,-17.127627968434126,168.0343694449911
sd_model_5_rep_2,-220.3925997882032,-10.905741413949166,418.9737167485081
sd_model_5_rep_3,-110.45458987195356,-19.90118798393775,181.10680377603163
sd_model_5_rep_4,-157.72896319518483,-13.563660684798752,288.33060502077217
sd_model_5_rep_5,-102.3282556658306,-21.319948728293767,162.01661387507366
sd_model_5_rep_6,-137.92713916555084,-18.46907679141824,238.9161247482652
sd_model_5_rep_7,-80.81669142027573,-18.75240914241316,124.12856455572515
sd_model_5_rep_8,-117.79110577652632,-15.543426652554928,204.4953582479428
sd_model_5_rep_9,-141.65078282031575,-15.47934273216426,252.342880176303
