sample,ll0,ll1,score
0,-23.890910830854946,-23.884821550681952,0.012178560345986966
1,-32.83745098404364,-32.825584929374465,0.023732109338354235
2,-34.5893111802154,-33.74292860502281,1.6927651503851706
3,-17.49928562799125,-17.448138898513157,0.1022934589561828
4,-26.787294952767148,-25.320080187063603,2.9344295314070905
5,-22.748361114324123,-20.43809856144964,4.620525105748968
6,-29.99578331451976,-30.004868659289976,0.0
7,-23.293337526314083,-23.309180883169557,0.0
8,-23.743119781139903,-23.599780359635183,0.28667884300944024
9,-26.876772838034316,-26.84263676415296,0.06827214776271262
10,-18.41800319776508,-17.18175440826181,2.472497579006543
11,-21.47600616188088,-21.49715426001449,0.0
12,-16.905296497980846,-16.878277836213158,0.05403732353537549
13,-21.21552099647609,-21.17377960343041,0.08348278609135917
14,-25.106636466437745,-20.920130078557317,8.373012775760856
15,-17.57855267199361,-16.70282233590322,1.7514606721807766
16,-30.493327407057503,-30.530743992345,0.0
17,-50.58133388291486,-50.59111680594653,0.0
18,-26.884394798150343,-26.87820332945361,0.012382937393468296
19,-16.808475411332623,-16.573338027806653,0.47027476705194005
20,-16.864229389827592,-16.545593156305447,0.6372724670442906
21,-29.02550502087075,-28.866949710022404,0.3171106216966919
22,-21.78102188469025,-21.758143952943445,0.045755863493610605
23,-13.758916180472797,-13.75421255051404,0.009407259917512789
24,-22.169010560738403,-17.592559398208273,9.15290232506026
25,-27.50233515897425,-20.314200134784212,14.376270048380078
26,-31.001309959084374,-29.45439462135567,3.0938306754574043
27,-25.986742551653226,-25.786482243081316,0.4005206171438189
28,-23.035137314432767,-23.053955637144643,0.0
29,-20.561205000912334,-20.595220411278078,0.0
30,-14.21490861292783,-14.162295306357336,0.10522661314098869
31,-23.570108264334188,-23.628230634276058,0.0
32,-21.44646855330112,-21.41990458402336,0.05312793855551945
33,-24.078688802038748,-22.753491192117277,2.6503952198429417
34,-16.919018095365544,-16.95782623448352,0.0
35,-36.71403881837519,-33.612690292820126,6.202697051110121
36,-23.96150872876059,-23.902317798105575,0.11838186131003425
37,-15.986972633734718,-15.763971797124658,0.4460016732201204
38,-11.52977179334802,-10.7931007718914,1.4733420429132416
39,-18.588659777386106,-18.61882992662944,0.0
40,-17.766502097483595,-17.709714990708164,0.11357421355086217
41,-26.54460512366454,-25.106512538971455,2.8761851693861686
42,-10.708510713364223,-10.660058573771067,0.09690427918631173
43,-22.660531538690552,-22.643132329156693,0.03479841906771952
44,-15.463150332395816,-15.418442306655946,0.0894160514797413
45,-12.877358273941836,-12.814597683881292,0.12552118012108693
46,-20.02560508809071,-20.032555673827076,0.0
47,-24.8186012594494,-22.802173179554,4.0328561597908035
48,-40.0663165085986,-40.07169469196737,0.0
49,-13.932306941689983,-13.861240061842178,0.1421337596956107
50,-16.911663947357575,-16.686841990507517,0.4496439137001147
51,-15.551665241393604,-15.569065874574116,0.0
52,-21.13358837073052,-16.014547800206508,10.238081141048028
53,-26.98035736698492,-27.00163594754814,0.0
54,-21.42183386667353,-21.44300822383059,0.0
55,-15.342695802664956,-13.250478031260654,4.184435542808604
56,-44.31345343361482,-44.27274181837561,0.08142323047842126
57,-24.88911555385586,-20.6056029105681,8.567025286575522
58,-14.62741704193398,-14.37000425228959,0.5148255792887788
59,-14.974142458194972,-14.910215139541895,0.12785463730615376
60,-35.94287129403834,-35.89215304210789,0.10143650386089575
61,-15.366426712472451,-15.388127500521302,0.0
62,-20.982255012762774,-20.980177974587896,0.004154076349756508
63,-18.361690115528567,-18.312956622859534,0.09746698533806608
64,-13.763420202376167,-11.002330623247447,5.52217915825744
65,-14.925864750958098,-14.904482713299384,0.04276407531742876
66,-20.086430457297595,-20.02097430350892,0.13091230757735417
67,-22.70587901637849,-19.108709348497577,7.194339335761825
68,-21.653448281274223,-21.519241591598973,0.26841337935049836
69,-22.572900698904625,-22.12947626328338,0.886848871242492
70,-23.54158995736198,-23.530294589397727,0.022590735928503136
71,-37.450478227528784,-37.5414284429626,0.0
72,-18.96857857745462,-18.9552168025158,0.026723549877637254
73,-26.06624951582276,-26.05031276413965,0.031873503366220746
74,-23.62706600710556,-23.625061747986617,0.004008518237888836
75,-19.699492474033462,-19.67138283657087,0.05621927492518353
76,-12.854017908151397,-12.86119088278702,0.0
77,-23.89002351142295,-23.42874577706477,0.9225554687163608
78,-44.67710614762091,-44.68276413593278,0.0
79,-22.103523495589528,-22.16329707739249,0.0
80,-15.318018425742238,-15.286039984647534,0.06395688218940876
81,-31.296359916017423,-31.331821678024312,0.0
82,-16.907411463265095,-16.85872284383778,0.09737723885463367
83,-15.33960911761755,-15.270525479557794,0.13816727611951407
84,-22.10145447961994,-22.095286789081293,0.012335381077292595
85,-28.80699962787768,-28.82379876018289,0.0
86,-34.95446780141161,-34.9571634770257,0.0
87,-39.78865798196804,-25.070255199136064,29.43680556566396
88,-31.81691885806093,-31.27466085375016,1.0845160086215415
89,-13.183052240292003,-12.705812451783595,0.9544795770168157
90,-17.350724874766442,-15.13050892469738,4.4404319001381225
91,-17.096111086019427,-17.036640695324834,0.11894078138918474
92,-17.04901201286482,-17.045715589152643,0.006592847424357728
93,-22.14427691907248,-22.121491081655765,0.045571674833432496
94,-45.888162679896965,-45.87047364682184,0.03537806615024408
95,-34.054242874205514,-34.07943992421549,0.0
96,-11.773462683040576,-11.682657174837134,0.18161101640688315
97,-19.71447111598563,-19.61882022799725,0.19130177597676123
98,-75.25198316197333,-69.17996585474313,12.144034614460395
99,-21.80713602969619,-21.795658575795706,0.02295490780096543
