sample,ll0,ll1,score
0,-23.589964418449696,-23.589971221053045,0.0
1,-12.85012708596022,-12.833072102761612,0.034109966397217306
2,-20.622760239338252,-20.62277169096042,0.0
3,-14.330719803866684,-14.330940687071603,0.0
4,-26.903340067349475,-21.274032777540217,11.258614579618516
5,-19.547455139654183,-15.809736637306912,7.475437004694541
6,-15.58706133282617,-15.587101001663452,0.0
7,-13.526219512440454,-13.52623372283534,0.0
8,-32.455106958101375,-20.18325492360549,24.543704068991772
9,-23.15262091491377,-23.15269915727496,0.0
10,-8.732109949689447,-8.552944480204975,0.35833093896894397
11,-23.59144814586404,-23.591453422558374,0.0
12,-14.831198196219772,-14.51938715673637,0.6236220789668039
13,-17.882804687972328,-17.811663414861542,0.14228254622157266
14,-13.587128212150528,-13.501882728481338,0.17049096733838098
15,-20.162125699764506,-20.180682754524515,0.0
16,-22.61069126427893,-22.61069040747084,1.7136161787334458e-06
17,-21.276936259013308,-16.934113785379296,8.685644947268024
18,-15.7931845408241,-15.461742624357482,0.662883832933236
19,-21.45135815593145,-21.451381708801552,0.0
20,-13.307238167597768,-13.454708701891844,0.0
21,-21.706075710034614,-18.854261947566048,5.703627524937133
22,-17.119485985711577,-16.252728526724837,1.73351491797348
23,-21.29861589307055,-15.04371467146504,12.509802443211022
24,-14.48473203455189,-14.484732030223729,8.656321881517215e-09
25,-19.18153775740369,-14.313852247393612,9.735371020020153
26,-15.74129770901702,-15.766592956277904,0.0
27,-16.433530709247762,-16.43353096753853,0.0
28,-20.023131838470007,-12.366296139519138,15.31367139790174
29,-17.12027518062966,-16.59782421601553,1.04490192922826
30,-36.05729985202899,-25.707867194820857,20.698865314416267
31,-28.633046617456184,-28.634415471036725,0.0
32,-26.48699689705022,-19.395177221617462,14.183639350865512
33,-18.054981188738783,-18.05516524420453,0.0
34,-17.865500735877703,-15.95073400869179,3.829533454371827
35,-17.64215243575331,-17.64217824527522,0.0
36,-19.3935265505482,-19.393558558559352,0.0
37,-25.8544420904339,-12.789040378170643,26.130803424526512
38,-15.116283515995468,-15.11628793895762,0.0
39,-18.107607363775053,-17.774056640054496,0.6671014474411123
40,-12.93911977270573,-12.939120220596756,0.0
41,-24.50910267651432,-24.509102667408385,1.8211871122275625e-08
42,-18.183822400197645,-18.18382261028547,0.0
43,-11.70782408136165,-10.341023505752348,2.733601151218604
44,-11.8920213759007,-11.892021016158925,7.194835518475884e-07
45,-19.829600954831733,-19.82960084918357,2.1129632443717128e-07
46,-21.29518271172303,-20.389357699718616,1.8116500240088271
47,-17.617681308472484,-14.835221495426463,5.564919626092042
48,-23.151937954491217,-23.152030221324253,0.0
49,-21.046767611996145,-12.14674123457924,17.80005275483381
50,-16.851588391941903,-11.080170562542152,11.5428356587995
51,-20.21732262712409,-20.21968131597569,0.0
52,-12.985780088104397,-12.965150876465176,0.041258423278442535
53,-20.94327924627641,-20.69428836999461,0.49798175256360366
54,-18.62306516214569,-18.542037998401064,0.1620543274892512
55,-21.291378947693453,-17.395646053888576,7.791465787609752
56,-16.22530074022678,-16.21549003357188,0.019621413309799607
57,-18.65914535185528,-18.659153887317864,0.0
58,-20.73803180142013,-20.73807494551779,0.0
59,-26.654172290502704,-26.65424301435532,0.0
60,-13.330463949892293,-11.81026715378236,3.040393592219864
61,-15.055773891956695,-12.1310036238082,5.849540536296992
62,-22.66501118974604,-22.36544068978484,0.5991409999223976
63,-20.12794018500976,-20.127974980287156,0.0
64,-15.479926367210616,-15.479943603709124,0.0
65,-18.855732101794494,-18.63245128195601,0.4465616396769718
66,-22.159161764325887,-18.40930560666545,7.499712315320878
67,-17.22027512367589,-15.892090052298784,2.656370142754213
68,-19.27788526999354,-18.05194248702894,2.451885565929203
69,-10.769662606346367,-10.095061436879138,1.3492023389344574
70,-17.826437374517692,-17.826443257478996,0.0
71,-24.40302743343992,-22.89299020202655,3.0200744628267415
72,-29.198465309423145,-29.198465381741865,0.0
73,-14.9342734969879,-14.934291301290552,0.0
74,-14.015944267757478,-14.015919517685049,4.950014485771703e-05
75,-17.831349713809136,-17.99948124904042,0.0
76,-43.64131501422438,-43.64131667703708,0.0
77,-16.906456968119635,-16.560842407315324,0.6912291216086217
78,-14.11637486773895,-13.947289950335596,0.33816983480670615
79,-21.022890235118524,-20.551749289736847,0.9422818907633541
80,-17.639097581277433,-9.542469434750071,16.193256293054723
81,-21.357930275767558,-21.358223792832508,0.0
82,-17.802888100812773,-16.92611223664015,1.7535517283452435
83,-18.413470113568188,-18.414431007888677,0.0
84,-17.58034934155384,-17.581051610876543,0.0
85,-16.88165378432434,-16.881712141625528,0.0
86,-17.42878620183863,-16.767107785619338,1.3233568324385843
87,-16.269832634231896,-14.84914715707282,2.841370954318151
88,-20.34465770070034,-19.61170839421581,1.465898612969056
89,-28.678427909316035,-13.703049906129348,29.950756006373375
90,-22.57468795859932,-19.95544135643225,5.238493204334141
91,-22.70649071644096,-22.7065332708493,0.0
92,-18.480558185836315,-16.463538692548134,4.034038986576363
93,-21.69014648220644,-21.338235636650865,0.7038216911111519
94,-18.332731424952144,-16.508313326523755,3.6488361968567773
95,-16.42723067737086,-15.28365584381439,2.287149667112942
96,-42.02684112855955,-25.47145958396561,33.110763089187884
97,-19.450006695379685,-15.300188375396328,8.299636639966714
98,-17.82554939399302,-17.825550190802247,0.0
99,-12.725564891633896,-12.473525173275762,0.5040794367162675
