sample,ll0,ll1,score
0,-116.12101918098878,-115.75454079531424,0.7329567713490803
1,-107.6552161630898,-106.89106938569326,1.5282935547930947
2,-109.83129735300258,-109.49278060166093,0.6770335026833152
3,-90.97260815661804,-89.55175482929862,2.841706654638841
4,-79.45058946810902,-79.30112547225208,0.2989279917138674
5,-83.44830963676336,-79.66110272444018,7.574413824646342
6,-90.70189800036378,-90.37378966698124,0.6562166667650899
7,-98.40909090729276,-97.73755765864914,1.3430664972872535
8,-87.08787099722463,-86.94752889236801,0.28068420971322894
9,-119.71219191745747,-118.92817608134882,1.5680316722173018
10,-69.95613936653015,-69.9810208455284,0.0
11,-103.45395079795196,-103.61114763689952,0.0
12,-97.248437950303,-97.26673106601392,0.0
13,-148.70241763074714,-148.78309420038505,0.0
14,-101.60061697345122,-99.31633945051829,4.568555045865878
15,-107.2626325010156,-107.24111618386756,0.043032634296082506
16,-108.69887193394592,-106.55205265553296,4.293638556825925
17,-83.28724383464932,-82.17013066522068,2.234226338857269
18,-153.2305159492441,-148.6622881931923,9.136455512103623
19,-161.55514925490183,-161.16174618406183,0.7868061416800174
20,-92.25382979274242,-91.04604060247786,2.4155783805291264
21,-172.2923933660425,-171.71156581166014,1.1616551087647053
22,-84.87448340475657,-85.06524419565282,0.0
23,-103.54394285810652,-103.53598360372747,0.015918508758090866
24,-121.66574756721435,-121.44527789789784,0.44093933863302937
25,-129.49932653441343,-128.81465322702263,1.3693466147815911
26,-118.35854068709804,-115.6497832970121,5.417514780171871
27,-82.93816613220835,-82.82389085760632,0.2285505492040727
28,-103.20026734433074,-103.03590195910424,0.32873077045300647
29,-98.63519346465436,-98.74881872217566,0.0
30,-148.8847291100983,-148.65327337485064,0.4629114704953281
31,-130.8456590684275,-130.37078553328135,0.9497470702922897
32,-150.82753417227943,-149.2487982037535,3.1574719370518665
33,-113.82632297826903,-112.05207641743976,3.548493121658538
34,-183.3068760036308,-182.58362594083317,1.4465001255952643
35,-116.68006278828484,-116.56996730196444,0.22019097264080756
36,-141.56053836917317,-141.33969332669767,0.4416900849510057
37,-91.60069852471344,-91.26768184370412,0.6660333620186236
38,-120.36879904794488,-119.54554150429252,1.6465150873047207
39,-80.87369827901568,-80.94734432209515,0.0
40,-104.1645210228002,-103.7126052397278,0.9038315661448166
41,-133.37122617149333,-131.97712872379958,2.7881948953875053
42,-166.7171347506885,-165.99173360738257,1.4508022866118608
43,-107.95695681657524,-106.17148824794285,3.5709371372647922
44,-163.9479467566947,-156.34754326004077,15.200806993307879
45,-72.55869476523947,-72.5057497460231,0.10589003843273304
46,-104.22257808489226,-102.88754591650624,2.670064336772043
47,-128.2056339023677,-126.68180899519064,3.047649814354145
48,-119.3087148160017,-118.2289309621589,2.1595677076855964
49,-106.39685309492498,-106.29632006232274,0.20106606520448622
50,-87.60715668581452,-87.66438509601723,0.0
51,-101.46027998544773,-98.23979384859804,6.440972273699373
52,-123.85260547706083,-122.037712332162,3.6297862897976643
53,-140.781635606848,-140.43099215648542,0.7012869007251652
54,-130.50768096720435,-130.50474498609816,0.005871962212381732
55,-105.95944569594133,-105.38217861621835,1.1545341594459444
56,-93.40588599982404,-93.29505129782684,0.22166940399438317
57,-115.321172369301,-113.62942162175634,3.3835014950893196
58,-90.88804475175095,-90.82352533609588,0.12903883131014027
59,-151.5192814092121,-147.29469150982783,8.449179798768569
60,-105.90293465584396,-105.81137492972424,0.18311945223945258
61,-105.31939581495732,-105.49415592503676,0.0
62,-131.17814003346717,-124.66647338991694,13.023333287100456
63,-146.0204595419898,-145.86024644679264,0.32042619039430065
64,-135.03368745236722,-134.70075705825505,0.6658607882243359
65,-114.98912275629642,-115.05250045635869,0.0
66,-132.36133461544324,-131.9985591341636,0.7255509625592822
67,-108.1299712542146,-107.94627774962274,0.3673870091837159
