ll,T_NH,T_OOA,T_LosStu,N_Anc,N_Vin,N_AMH,N_Yor,N_OOA,N_Los,N_Stu,m_LosYor,m_StuYor,m_LosStu
-1191.33867207645,849259.7581760144,48038.155326927554,37924.79227509395,14895.790181107426,2264.9529303279196,30464.120224969814,12418.20753747182,132.82861704081867,1518.6978914678803,33856.7633465057,2.1056358908883905e-05,8.425869174283468e-05,1.1961012179004819e-05
-1149.933449272256,873125.3840936453,49093.85350325108,44999.99999997065,14489.708239051623,2255.064769327396,35300.43766724197,7454.585379650675,157.35795148823277,851.7912722320385,5391.493822455916,5.079977546168907e-05,0.00015594716349617862,0.0003726586258558654
-1187.478010133505,831460.0012891373,48324.11728768266,37800.09206398553,15185.813933608912,2257.2443643011957,30275.6586171698,11915.411913674223,147.3939766312076,1501.5508103919362,32057.381019870696,2.4254001099177886e-05,8.996357398726408e-05,1.2738612798579669e-05
-1234.5642522607607,879262.1275136648,99999.99999967281,37466.131541556475,14555.16231354983,2252.039336501106,29015.96196854218,25917.07807471759,3349.7297736807,1478.3502101610736,55717.79267494967,2.6989667593406814e-05,9.3679872974011e-05,2.6987106846291635e-05
-1147.4347422282303,850676.1647760046,48824.358746159654,44999.99412999429,14891.19963651116,2260.846513152608,32746.152324245246,9018.327179523678,157.37075269094044,962.5990634934614,5802.710475318587,3.376691227161193e-05,0.00012772447136495747,0.00033886719562112175
