ll,T_NDH,T_ND,T_pHN,N_Anc,N_Kho0,N_KhoBot,N_ND,N_Den,N_Cha,p_HN
-167.92005179230154,496012.51825696713,485660.5658817734,264266.9929670191,20301.604266219667,33081.66252331349,15.913078993481573,419.0335116621262,3107.573700860632,1780.6209213199113,0.18793756846032098
-49.28652913707281,757633.3359073842,649719.9754456669,221346.58265983706,16349.012923047829,29690.58451107555,44.14969445391436,4390.657844385231,3836.2896991459215,2084.464570345919,0.08830263063900143
-49.20453345180141,757419.321483184,657188.573561589,221985.2448223866,16351.5515274303,29508.258738894427,45.362489729918074,4057.2497551175798,3865.686082684286,2095.4918977823104,0.08815040883446387
