ll,T_NDH,T_ND,T_pHN,N_Anc,N_Mbu,N_ND,N_Den,N_Cha,p_HN
-60.8039429422644,769522.9993521934,727640.5392704378,218268.95446114024,16285.454266034236,27108.694412499754,1573.554873011829,4109.913493721833,2117.7433865545704,0.08411574075216749
-70.95698698357688,700807.0529823467,668071.6361260131,204911.52148818763,17323.735593752437,25178.776618537744,1304.8177684867392,3904.2409056579495,1975.1444013248613,0.08323403961600964
-60.813787607974675,768222.4018120262,726437.4413939903,216999.88533379338,16305.015146360778,27073.843085865195,1572.645754457417,4105.993617696821,2108.4413005817405,0.08383879854675862
