ll,T_NDH,T_ND,T_pHN,N_Anc,N_Kho0,N_KhoBot,N_ND,N_Den,N_Vin,p_HN
-44.99278025870057,756171.5938326905,675038.3760544632,192500.39017053778,16370.908305563697,30118.518653170562,41.2101131186344,3233.5402015880836,3927.446584323537,2153.3882229163773,0.08703539405769697
-45.37201470991907,742104.0277122891,671177.5680146805,185514.68060300034,16586.818845851012,29332.45519171277,43.167650870456,2851.2484874960587,3911.6698301248725,2102.3408277681388,0.08520920801508688
-45.89360421833955,755386.5215210736,658507.8002518954,209562.63241330782,16392.258604173156,32327.581769628916,31.88242282521343,3848.452450880204,3872.3004629731768,2205.6180594865295,0.096793330823256
-45.431627517504026,736849.9996454129,669159.6330012319,195321.92827152318,16672.5895520831,30149.263355635692,37.709663302691666,2709.1431104448566,3907.963892812894,2146.386610053263,0.08993041509123799
