ll,T_NDH,T_ND,T_pHN,N_Anc,N_Yor,N_ND,N_Den,N_Cha,p_HN
-49.18766268842458,767689.3780028202,697953.4492236759,228984.25259937905,16413.682358613205,27195.50231043052,2659.839276543278,3977.9365309774466,2177.3375721254583,0.08073687155457712
-50.13184891392689,789498.9415512625,726368.6169036468,229376.4313965828,16073.886938061782,27792.0800598928,2348.9141289798667,4070.645587514154,2205.5231879541698,0.07957531173879229
-49.79540218248174,754381.5219788473,675193.4734887148,227028.02747111287,16622.021727556883,26828.022268859328,3077.391798563386,3897.24121892779,2143.6261365833006,0.08128102993445376
-49.005042136049056,756867.78817484,718255.576059585,229903.97605202167,16578.505532379546,26887.770012710756,1453.5715500573956,4048.842812510403,2190.860660048894,0.08096778566245841
