ll0,ll1,adj0_0,adj0_1,adj0_2,adj1
-2.513837840658342,-1.6132761690414426,204.0184248478973,0.2120115576693693,0.0658169249191597,0.0735343560556292
-1.8032085389133048,-1.8017282785788309,-73.68542042665918,0.2202172290992543,0.072286488514681,0.1087041066324327
-1.0255503206135572,-0.9699200044345044,97.51761422845044,0.2142087019105878,0.0694672940711976,-0.005089914529902
-1.582866797917925,-1.5818918444212504,65.42757790975786,0.2919079747316327,0.0748228177775791,0.2280150135991797
-1.373310260125872,-1.031885528494756,140.7519443709629,0.2092584538477445,0.071128346182625,0.0558046363460636
-0.9478928500036496,-0.9097944469465497,94.988036894032,0.2222926922706888,0.070995208663962,0.0213355738050901
-1.4486205075477652,-1.3969272574284624,87.80421939849418,0.2086882129653059,0.0655997097984538,0.037987952216265
-1.4897135053394517,-1.0298264719714425,168.02311430341777,0.2236493834933141,0.0716283100307174,0.0626384321234843
-2.6828409056961964,-2.514832292175141,86.99203092165928,0.208652833505526,0.0713311633963425,0.0240080974751281
-1.588227206137146,-1.5890024571130388,42.55055007805489,4.663398821571576,0.0545317792671927,2375.5463589044957
-2.1893802175661623,-2.188850130249552,-1728.3055184818031,0.236102852409158,0.07350743770037,0.1234497335012202
-1.138873477534467,-1.1366467356086492,-68.520858072602,0.2228885237334035,0.0691949711631812,0.0718072709300104
-1.468511314925411,-1.3357913597348734,95.82169048484016,0.2101381803249914,0.0685346805404059,0.0311395077517709
-0.6928665102549106,-0.6944418149389431,-30.990066344169136,-0.7578132758608763,0.0451711649563569,9789.29263838842
-1.6272921936493216,-1.599899585689735,42.35455828675413,0.2112001579903959,0.0694319916034314,0.0224605296973286
-1.7118147481637518,-1.020618286118697,147.22477302417394,0.1928397640581958,0.0753608769997444,0.0435015890132414
-0.4544947418969529,-0.4325462821840617,79.24870695367377,0.2063598502634007,0.0659769489890615,0.0310131578932743
-0.6261038517419946,-0.6260315950856652,64.22821837156253,0.3185601278004417,0.0683265088096582,0.2440676231349112
-1.2233632475351048,-1.0246037910260044,154.4228906451952,0.2100144705380585,0.0671025342448312,0.0725002666083968
-0.9364425050077264,-0.8975960780141643,56.62638949635423,0.2101738761399259,0.0698494344099986,0.059197874552767
-0.6975334706406714,-0.6879482666838657,79.32232442730154,0.2130246107668044,0.0709771979350715,0.1877971614435087
-1.127149671061305,-1.1133286501366886,80.9791924795225,0.21543972312732,0.0713181027701559,0.2072521910051261
-1.3951609685939634,-1.4004232101801322,23.90808840598837,0.5100942733455266,0.0655370113809103,31226181.10970234
-1.405916641576473,-1.3110923644165098,93.91166650110088,0.2642242873781363,0.0727075194330238,0.0881459114097632
-0.933818030503607,-0.9344386737952504,0.0839958826423131,0.2023740581912496,0.0678023624980994,0.0905472240004203
-1.8005232864561922,-1.3604998647192588,152.68528737654051,0.2174476418104624,0.0760253865873626,0.044325872837754
-0.9931878686787936,-0.9789556384492166,81.5169058361651,0.2177164914332491,0.0697723801579329,-0.0469366461319341
-1.53552443014845,-1.5320974997311143,64.22571482166474,0.2233810671727507,0.068432125621129,0.0308824279611001
-1.6636796206155466,-1.637321155092223,71.80084898441426,0.2308472024715332,0.0721934516595722,0.1170792076772679
-1.4631871190914183,-1.293734410057805,127.60815973610434,0.2139711494246769,0.070635667528754,0.0571028839419227
