ll0,ll1,adj0_0,adj0_1,adj0_2,adj1
-11.351636030682814,-0.0421534446273792,8.108335677690809e+20,-768995062.7709054,0.0474206131256177,0.1321796490432982
-11.739407347890111,-0.1550312800842607,-5.359449443235345e+20,-6918548.27490018,0.0500100548238645,0.1351171691305924
-11.311098449350547,-0.0473589656552829,1.321381755663073e+21,-5392723.066318071,0.0559203690190144,0.1329848466952642
-9.96049921700519,-0.0342823174564516,1.7762426864854455e+21,67879027.55261405,0.054950228648105,0.1339283006661359
-19.480618626914765,-0.1375171399184437,1.3708393779729426e+19,36211706.69797248,0.0431676744585783,0.1328855891479207
-9.053269990367202,-0.0940537239387736,8.555977121652672e+19,-10652103.91115108,0.0504669481010849,0.132475109601492
-9.102052295934843,-0.0135955223697175,2.733743010708619e+21,13055623.10295284,0.0511483776265619,0.1337896541890159
-19.015997174757157,-0.2306303209956957,1.5716916017164095e+20,10491266.51600938,0.0460897716035689,0.1349512735906705
-12.026305464596437,-0.036544578181893,-7.684303506196329e+20,91225585.77194802,0.0498864898676414,0.1334568136820923
-17.396707020009437,-0.0263367408264008,7.679924431775479e+20,6929185.196598571,0.0453939982321777,0.1322332932554687
-12.83397752107228,-0.0371403510435181,-4.852581264713343e+21,-26285139.73647225,0.0456730436466533,0.131733116497836
-9.36428131596385,-0.0423733275741578,1.0999241348576206e+21,12067491.647599123,0.0439669654660574,0.1271472530103941
-13.32278230239291,-0.0982992730212331,1.0351354379796944e+21,47702613.242499374,0.0504702009482142,0.1334717217414868
-15.68657755694912,-0.0481398260547828,1.5994853517451e+21,-32713251.349611904,0.0562385066182884,0.1317241830491781
-14.53834876068768,-0.041945670434674,7.611827268305709e+20,-55205862.56716978,0.0517333645952042,0.1345063706322726
-17.13910557171783,-0.0845023341015427,-1.047030730431153e+22,16635536.714837013,0.0450416190952207,0.1335622414863902
-11.313549875578536,-0.0657281999685,-8.138839678383376e+20,-13832462.019245597,0.0539545307802812,0.1361624587621899
-11.497596163566111,-0.0158854118574817,1.829495777023468e+21,-11800785.640507735,0.0491749507527002,0.1342956930701859
-13.853052766518188,-0.0504767726689106,5.029529092529964e+20,-22181319.78713783,0.0546374460226009,0.1335328096304667
-16.964473369811625,-0.0516266110212774,-3.699531470575963e+21,74889027.22754864,0.0512403351882748,0.1361652136322139
-9.441635601513577,-0.1007894320543424,1.9394498953654803e+21,-30922151.36808822,0.0536994281516145,0.1342436325266223
-15.928631223058602,-0.0310356257961323,1.0804792505636264e+21,9145006.50845901,0.0489393374982297,0.1340620060341791
-10.274197680907404,-0.0411122361984094,1.8431025488205909e+21,-15335233.860579273,0.0556841118889304,0.1334875949455275
-9.665640972306884,-0.0987672825805877,5.696034462308769e+20,-11063657.60035845,0.052431809988286,0.1353286508622725
-14.744929286916356,-0.0779467746581356,1.0898655898282404e+22,-64294098.63718818,0.0536261887005986,0.1344692545535289
-13.283353526462315,-0.0602385116583946,2.4905802816618332e+20,-15416225.467395317,0.0473299748901649,0.1343467038260064
