ll0,ll1,D_naive,p_naive,adj0,D_adj0,p_adj0,adj1,D_adj1,p_adj1
-774.5107391827063,-1.1813410463520089,1546.6587962727083,0.0,0.000326867190878,0.5055520159844327,0.4770707199495666,0.0722661687128039,111.77110551258582,0.0
-545.1192624447423,-1.7412228750390808,1086.7560791394064,0.0,0.0006605037129375,0.7178064253290606,0.3968643853468212,0.0704668087301381,76.58023276503148,0.0
-921.3797363837756,-1.2533736657025845,1840.2527254361455,0.0,-0.0001740205944729,-0.3202418732609435,1.0,0.0702473841849941,129.2729402011954,0.0
-374.1230344233807,-1.078719441414175,746.088629963933,0.0,0.0012813680355862,0.9560141221501262,0.3281931640966393,0.0694438192272273,51.81124394670511,6.109557304512236e-13
-646.2088301270354,-0.949140563600721,1290.5193791268694,0.0,0.000344012824157,0.4439552162427929,0.50521959278537,0.0716796990591941,92.504040725872,0.0
-711.2178730868172,-1.6711652799897052,1419.093415613655,0.0,7.911005994661639e-05,0.1122645651790448,0.7375805445495562,0.0692281051644435,98.24114821427152,0.0
-383.1718424491761,-2.112773291486665,762.1181383153788,0.0,0.0016378207502348,1.24821290106325,0.2638940781644386,0.0720797717440867,54.93330145180087,1.2467804566540508e-13
-659.4587392827291,-0.8200713680978435,1317.2773358292625,0.0,0.0008397947956185,1.1062426510156986,0.2929001736209184,0.0702088640925725,92.48454544346278,0.0
-383.689215764044,-2.141484526662785,763.0954624747624,0.0,0.0006979317051975,0.5325885173535468,0.4655206215392943,0.0683019744750338,52.12092679996538,5.218048215738236e-13
-497.472067857068,-1.0495856427317034,992.8449644286724,0.0,0.0007498723558892,0.7445069925088752,0.3882209416919556,0.0698886790306357,69.38862304613849,1.1102230246251563e-16
-525.6766129405303,-0.9090823976770618,1049.5350610857065,0.0,0.0002246467372578,0.2357746271106671,0.6272746981872817,0.0711738187233607,74.6994181815254,0.0
-709.2169905128196,-0.8655992526732743,1416.7027825202929,0.0,0.0002881660421041,0.4082456336767638,0.5228612981070156,0.0705286142948396,99.91808411879978,0.0
-578.4358197610952,-1.6867111736016849,1153.498217174987,0.0,0.000266265813565,0.307137141241958,0.5794422862511771,0.0692992736158607,79.93658856741698,0.0
-302.6543265494053,-1.898825430942712,601.5110022369252,0.0,0.0028060315059504,1.6878588234526404,0.1938834639982122,0.0708211001347433,42.59967092157111,6.717071343587122e-11
-468.96114189483353,-1.603808489728745,934.7146668102096,0.0,0.0007490885795097,0.7001840820077527,0.4027218469408307,0.0694588178832278,64.92417581475232,7.771561172376097e-16
-446.9730087785289,-0.8463637611071232,892.2532900348435,0.0,0.0005530168122529,0.4934310701772698,0.4824007617313944,0.068116383935616,60.77706767182999,6.439293542825908e-15
-550.7350429047455,-1.3907155462988676,1098.688654716893,0.0,0.0003679911575703,0.4043077098586555,0.5248729195908345,0.0705478814759128,77.51015699189752,0.0
-545.2761364181458,-1.284394283699588,1087.9834842688924,0.0,0.0004498856716385,0.4894681805519701,0.4841646328556042,0.0681544812322194,74.1509499595689,0.0
-507.2527512774884,-1.5303257616697437,1011.4448510316372,0.0,0.0012110477040053,1.2249079645698489,0.2683996081274364,0.0723134498874474,73.1410665489931,0.0
-468.0305134953395,-1.726237196865442,932.608552596948,0.0,0.0002400987334461,0.2239181322795307,0.6360705789706431,0.0683245013844815,63.72001434308947,1.4432899320127037e-15
-719.2733693491451,-1.949541511905767,1434.6476556744788,0.0,0.000395621599997,0.567577600969913,0.4512231220471514,0.0698726320611351,100.24260778231302,0.0
-403.8297911925454,-2.7775719045621496,802.1044385759665,0.0,0.0016345650773422,1.311091903677519,0.2521970553993178,0.0656516077378949,52.65944596621381,3.9668268669856843e-13
-536.3212220109367,-2.32269497771401,1067.9970540664451,0.0,0.0012899948009903,1.3777106472187306,0.2404914925875372,0.0724975789357588,77.42720073034002,0.0
-548.7889946657443,-2.7550801664472724,1092.067828998594,0.0,0.0003019521854173,0.3297522675900656,0.565804998310961,0.0697510563049988,76.17288462935872,0.0
-577.5367383742009,-1.5622967689741856,1151.9488832104537,0.0,0.0007241006811565,0.8341269709902532,0.3610818805406269,0.0696234253649195,80.20262709440547,0.0
-808.5116564758364,-0.703576408193249,1615.6161601352862,0.0,2.7209360585519725e-05,0.0439598826689137,0.8339282686059998,0.0692950858313424,111.9542604870786,0.0
-715.1939814589891,-1.5797204881851423,1427.228521941608,0.0,0.0002798079773473,0.399349925936946,0.5274251732325792,0.0712583529543408,101.7019537630173,0.0
-456.3604676688289,-0.955017683416411,910.8108999708248,0.0,0.0001007437746225,0.0917585280304068,0.7619533430421627,0.0676925660819759,61.65512703445905,4.107825191113079e-15
-687.3830833298277,-2.236419303636016,1370.2933280523837,0.0,0.0002862156227041,0.3921993581758252,0.5311455855102354,0.0688045722530318,94.28244629782763,0.0
-574.6148354252982,-1.677409438758455,1145.8748519730796,0.0,-7.251694097021648e-05,-0.0830953389997873,1.0,0.0706428970824882,80.94791923734576,0.0
-189.7341509948309,-1.8207714724359043,375.8267590447901,0.0,0.0019928295956355,0.7489586882562518,0.3868061166083937,0.0697586142397163,26.217153905168352,3.051002509524281e-07
-452.52787918086335,-0.8233420567187784,903.4090742482892,0.0,0.0005398341807037,0.4876910974371601,0.4849590647210039,0.0692838393032007,62.59164912527182,2.55351295663786e-15
-425.4589839185969,-1.888261388027541,847.1414450611387,0.0,0.0022842327909188,1.9350682673550168,0.16420501594859,0.0661301491852934,56.0215901429382,7.172040739078511e-14
-584.0000553841847,-2.1916740085075426,1163.6167627513544,0.0,0.0004428658397351,0.5153261147658112,0.4728422669798972,0.0686536523239454,79.88654066824635,0.0
-350.9026465421625,-0.6122996227158323,700.5806938388932,0.0,0.00132143957755,0.9257750561062132,0.3359631859360356,0.0681205758322211,47.7239602812424,4.906630657330879e-12
-288.7505491292809,-2.630868842567956,572.2393605734259,0.0,0.0035144249983473,2.0110923138375307,0.1561528534586477,0.0754324872899896,43.165438293286776,5.030142968820428e-11
-451.77208347726,-2.104475686980761,899.3352155805584,0.0,0.001617920738845,1.4550530964614772,0.2277188679331551,0.0704153814899519,63.32703229245316,1.7763568394002505e-15
-538.5786500798598,-1.546953381797871,1074.063393396124,0.0,5.1940201892842e-05,0.0557870694987056,0.8132830157821844,0.0682235240382292,73.27638973794251,0.0
-476.05755424564313,-1.5213529497130764,949.07240259186,0.0,0.0014499002819856,1.3760603441426953,0.2407733555587657,0.0718483025314861,68.1892411057044,1.1102230246251563e-16
