rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9,rep10,rep11,rep12,rep13,rep14,rep15,rep16,rep17,rep18,rep19,rep20,rep21,rep22,rep23,rep24,rep25,rep26,rep27,rep28,rep29,rep30,rep31,rep32,rep33,rep34,rep35,rep36,rep37,rep38,rep39,rep40,rep41,rep42,rep43,rep44,rep45,rep46,rep47,rep48,rep49,rep50,rep51,rep52,rep53,rep54,rep55,rep56,rep57,rep58,rep59,rep60,rep61,rep62,rep63,rep64,rep65,rep66,rep67,rep68,rep69,rep70,rep71,rep72,rep73,rep74,rep75,rep76,rep77,rep78,rep79,rep80,rep81,rep82,rep83,rep84,rep85,rep86,rep87,rep88,rep89,rep90,rep91,rep92
21.781631996760936,28.076339355629447,25.570722911869918,16.683209123120307,40.00135332675399,16.639551452811848,16.796603051756232,38.75063885710075,28.149993264617105,29.348048546574006,27.374008701883177,20.867333985532554,23.65478796981416,39.43344618533246,26.685098745991322,27.11657794188608,22.61657826600706,22.48834230922704,32.30047461916863,33.01477217151518,21.24762610916479,38.031846173338025,20.94520238820789,24.061928645152467,37.102392006423194,32.91004664044352,16.295598404790194,15.56504147675229,31.74830428174774,23.95802489840331,30.85463133065034,18.325042532469833,27.155048083601493,21.323181415484175,22.897351099000343,30.820793345891165,24.903748267005806,35.58190125715029,34.463062888885794,27.67729148638187,17.73467564367054,20.87360853803139,23.178948551552768,27.41377209143612,28.79086255074839,24.32537699845686,18.91933871869981,17.87679739158851,22.89091837270042,34.25799547628985,34.72704962820057,35.74861321860636,22.874302404633625,19.425773024894664,19.56532281522083,33.81059859663122,19.34120842301891,28.874450821661103,28.30066466099089,20.693033708584295,28.005015635718916,20.945493657392174,34.49030460715832,20.150859660611182,40.41630319503236,30.923456731385233,28.825903468018897,25.680423854887003,20.236365142558203,20.648508524299096,23.179518773083537,28.496234810023886,35.56251864002218,19.67209318261389,30.961384269933845,17.306145624683595,38.57754291529031,16.274280613076616,28.477169765720355,26.560272200003777,22.230210523040185,20.713181638772515,25.10527489354906,28.21460429720479,20.195326438037153,29.068523166243015,10.20487973728046,20.93787491904182,18.590073629379646,29.207413512887292,35.893629352407366,26.7387938600337,21.07812159015594
25.336316423641293,25.457655336398734,21.693424030011297,18.604935532767318,35.23798021924579,19.369511570213472,19.747126585610722,35.357751232921494,18.812574804225076,57.770306584387626,26.451778912673458,19.839381193049913,37.483406155573284,34.597030622281466,32.607178374751925,31.150050398852574,20.760904015935147,18.471839515502445,28.60852248810258,39.68684672571945,20.790167206088665,27.134231185465644,19.144794576332483,22.209470249176714,25.9679026736917,29.66211762799919,15.528034674460892,16.536895448833253,20.054940941886702,27.834289796436504,30.46341135342524,27.030500510899877,24.89372375894596,19.38307016623982,25.947912956550375,28.429937652399467,20.671060836812227,25.84574004138434,28.03452414669045,20.071131522952225,17.912382461651646,19.76054341009547,26.574569797496846,25.90268233671228,34.40901484580845,32.66824328685555,30.097082335541913,18.344275519916927,22.19518047542569,22.264981153395578,27.510663778856514,43.97459718611028,20.460223203939982,14.728650940882432,23.85028572797058,38.252860840724146,17.927536598713694,21.860907169549026,30.08530917284121,13.742571666337113,39.20430465346945,22.72050626757976,36.88330685992845,31.507759247634116,28.199418343909056,28.25787780743783,30.917004512728656,21.009547480005835,21.177285944608457,23.104868186130247,26.834532468336842,22.006975161636174,39.18026954073688,16.842330469709548,32.92231318370167,16.408819275427792,40.551358792527644,21.134691700789695,26.054383505712973,25.617266257631975,25.222369481621683,17.771602870110947,24.105380577322382,32.83910996033702,26.70488299537964,28.633944681200962,9.922131775315513,23.979651676391352,25.926815809495682,22.71381760452788,23.34078615125217,29.36835546324166,18.549836150627726
23.125742881956732,14.567793697932004,22.687276517391503,17.076558081671585,39.721616085869115,14.42216549759086,15.00433777995655,33.45096542693117,21.028322747227435,45.60311561208944,26.923427210120096,22.622518977566443,25.364558845827492,41.367695334357634,25.797689086402723,30.7829448921052,24.595165415480068,25.623334896057326,23.795954739446344,30.620188938837916,14.808719171521048,32.65953923969538,16.48958497837861,15.251877876382444,26.420034274181415,30.94999858201828,15.5659477398411,21.423474889696482,23.771521262771962,24.990639447599133,27.16208615479866,19.33867330208598,23.054643772277895,18.223388258303086,21.95597171681795,24.665824172729646,30.62525200422979,34.95910967988284,26.340370347806882,25.731714730464283,28.259003130863103,15.00039594454465,30.238715054367745,27.779669151913165,30.023756707557084,26.793033394092298,16.517343799761825,18.317574228280748,25.377207704808608,29.842804633579757,21.537243364533797,26.54939903979844,38.328652808743655,26.227072503588744,16.377980003908778,28.711550941407246,15.387374436869,28.198333084761064,25.785533308493218,20.31316133259399,27.807169991241157,14.523142948104477,33.42454583155026,23.695251473111384,38.44567996721704,26.07355868862827,23.6700848004685,19.150330585198667,18.200916583508803,29.920655017024334,22.941418442815362,21.64629009159478,47.18231862708852,17.834036040181232,33.28686867672722,23.059169243175077,41.771710104499206,12.022917782251955,34.001097975897245,32.16051844822538,25.760329172991607,18.732418778415276,19.70202769080025,23.98302017825814,25.287551134577214,27.138993235162438,10.450600188083913,21.481001341644276,23.482858091736862,21.39999298740075,27.155954201120164,33.18531230179938,22.2151961189196
20.387719195764006,25.261263511098623,17.038367008672687,17.431284262753465,46.54249603552604,17.368598654704428,16.953721502953556,40.150868322643404,20.35402719302207,33.22713008457835,24.07627540435283,17.43170790044803,25.00044287101845,37.44951967483467,34.038734203196306,40.5334208333755,19.882594678973835,23.153622018689088,23.073203597149632,30.773812671505876,15.295263491786267,29.08462101209779,30.55188528342497,19.206973336333164,39.072556948163836,20.628438041977418,17.671887274467988,27.516825865779108,23.275484531479506,29.369220728199902,25.321099095780976,17.7715980670459,22.32852814800507,14.69586475167814,25.935989136693387,28.5747851577917,29.274759047985565,39.599231908764594,23.189032324935194,20.224553934011176,16.013879240758367,23.237076147996305,26.66488521550648,27.945446746234374,31.553349685322086,36.28346206076903,23.12723352544725,15.924016495154829,21.413951299899658,33.93960505286755,30.775551915538607,26.665892289943468,28.386276991044515,18.242366785078772,15.467093150602087,43.183045988641965,19.19887053109198,24.63443754133511,30.167548184937367,19.013939604262355,32.46454814491977,16.47355584597874,36.35330767177344,32.41471205902074,26.291719994908906,42.010142857705915,22.162383384473767,20.888955133678916,19.96230367690936,25.261234668809678,12.907067430980064,26.511033415125,37.615845624528774,18.174849422561778,24.266554063077486,15.704339451853166,42.30879948535709,15.482480018806019,33.659598843719955,48.28420312737684,26.73090651458488,22.18073056265517,22.601156658502816,31.84368382821403,22.21204996663498,36.484327409905696,10.29047722680907,20.175192684485683,26.21737805561089,17.528921643970953,34.010991394833894,22.687775442160984,19.830008984057656
21.100210580084287,22.869984706731476,19.245014618976327,16.75813849196915,46.62771945872495,20.73784179565936,16.18830989054618,32.75683770736133,24.07349044576514,28.66896135210042,24.261242670486645,17.86713728001167,27.99761556421444,39.848464248344015,26.351553408983882,33.669656749427155,22.642356753206876,26.355919037069977,27.716850055564855,30.293896716143543,17.873316117347976,27.715736477529216,17.502026475697143,20.98942988333185,27.144871443404323,29.415573082099737,13.96946319602684,16.03167202149661,18.481116199283207,25.927659611843175,28.722937712518675,16.30926950310774,21.82163906522577,23.763242655581415,29.98689641693939,23.25480185763524,21.877454698983083,38.7827538614622,34.659468021249076,28.07109443098322,18.943138816023122,16.52192175690241,25.002825568581898,31.243634041468265,44.2316557539822,22.69428340930131,19.302740959230196,27.85138301983557,26.116813582875203,24.6836232300538,32.56861606144583,46.54093875597844,30.122985147336532,17.57984547432208,17.40874200517561,43.47134157601304,17.735602606053625,26.78506781902752,24.772274672172415,18.25018963035334,25.287491797828288,22.616211094154824,27.41265762397933,33.24914162992944,40.336899128365566,41.936646505006706,28.158602325076522,28.34936591948868,14.365987961404919,23.028107729413048,33.892270660330716,20.237910360623957,41.75020997299771,23.99941759302069,34.29108299853654,18.072088802090725,28.117912764104968,15.618863275151282,34.791161991259315,26.134363723669185,17.65800539625807,25.392972184950366,25.210427565961407,24.520150370049656,22.64096124866106,27.72885484122535,13.656682536411447,15.872629797158499,24.619262807160712,21.194585381995424,30.982489694124833,33.30149041783339,18.204434901113586
22.098770214525576,26.326894553963974,24.989859897661653,20.59793100467855,39.55524108795379,15.886091754468492,22.056159561415,52.40641778888378,19.89386376288978,38.85194203186863,25.813738925287762,18.46602436346763,16.618997698687895,31.859421454911462,26.8833128449304,37.03953608167608,23.548643459558466,23.871500551757805,28.59112940138965,35.41182245598724,18.590406455686683,33.81122747536108,19.059020502492345,14.757346310620296,32.649231409167996,24.212786167688545,14.926388184632042,17.78971317540538,23.67295632733624,28.98369909406724,32.28810176357988,15.2015530128264,24.710213659688126,17.763664520985557,26.58424990395631,22.984313872156324,23.97198704715512,41.62342777267771,19.72402368679972,23.407347893081937,14.31594424676884,21.675364870404962,30.0224813006112,22.754960824109567,23.42050745279058,30.303003080925368,21.909625009457056,22.401956473029312,18.09946660971603,33.832508297973284,26.682313487837167,49.86513935247856,25.93146567932564,19.359626692577784,19.128222805606853,38.995508760573294,18.30190192872273,22.118370879455846,39.014845943603945,17.77483129643652,29.855744484366944,19.35566869244204,32.730126392749554,35.845223054847374,31.003975013709038,26.80211144020228,26.521964989933767,29.122008556327735,23.984362657641658,22.679428175704356,21.766648868259917,20.933544489088764,42.72250552700798,17.170448544357793,35.978702596912825,16.5274430119885,35.96549349522763,16.788790817966465,22.620489607293468,37.823199497823815,12.973482895383949,18.172418571264913,21.103219071336916,28.409718538073427,27.127827222638523,29.93119982810677,11.30427000607698,23.418456358757737,23.275605416794768,20.279320826461596,25.937699245075784,26.91835303103087,20.30302386264619
19.6452363982733,19.46826625407183,18.335094474551283,22.494402791314425,36.29253026286935,23.03452091953322,15.345199260820998,33.16721719905626,20.296359147115485,31.187640190829367,26.932985541785975,16.459258483957406,25.822375018165555,28.301611648650635,19.206744687553137,29.789293172022187,26.46451222267926,28.34583342068485,37.40716506078664,31.955899276663608,20.460532524323124,26.811512817894307,16.597451425645055,19.50145546705569,23.492296618218205,19.796656126655645,17.926357093862265,19.477953751373143,25.43133574100098,31.55728718401561,26.987532761802253,25.49362561975796,28.703618973798925,18.956439720290074,22.611319451664286,33.174724431794054,24.74827141341687,29.51861775547479,25.29279679906921,33.17433882531512,16.921434505471424,16.884772657182143,24.04050938056522,28.626117201980293,28.649348727304485,31.0486034387958,21.9333506805274,18.694339233665453,24.92888371197835,31.571829534762937,22.105384189726852,39.589976967898586,26.50601023413674,17.878633237705817,19.30038667247692,55.51701606083906,16.845413636196046,25.293674080923232,24.720933195979214,15.404058936898206,37.49868050666714,19.128312051458156,30.8773727998327,32.07901763942448,38.17864746744316,31.26045496593298,29.816682553923087,19.836609171945007,22.745931793405845,20.08233810308056,19.929151862849384,20.012857878707567,51.79334591559794,17.3784488928287,28.302022400533957,18.41526074639527,28.19316436523285,13.121054634085878,20.63153014185764,23.698759318330403,19.296186212045125,14.51082440848792,18.459079979204553,35.45595057286586,27.641376069996237,26.686690222305693,9.703670799646341,18.782126836197403,32.16387466218845,20.46845298246017,21.07878631956349,33.252450286252014,24.634449322360375
24.890625980407055,24.311923887386346,23.962673547580028,18.600141670081236,47.02602305272747,22.398640430095217,14.877986693113304,24.91766156114402,17.395624255935687,32.343860147475816,22.76248391275169,17.13695830274441,27.619894941140085,41.71397456864554,34.68592346387741,32.37070440856941,22.23367921412299,17.83216664410117,28.545398931189283,29.167654490350127,19.5270019568354,39.15810334833899,16.5816555382188,22.19558767322086,34.01884422079066,25.371344926604664,16.52789822983765,22.92376800087426,23.246271627463983,23.86385555774922,25.853351944809283,23.65721606310507,26.531409778371422,17.79727217793288,31.230377887311782,25.49771401851798,25.651818104968033,32.008359334393944,19.289534127107196,22.214575221110305,20.321115319611376,19.581380010689227,23.640979058518326,24.878514656377757,29.54565567805534,26.753535411122495,21.58379431418188,23.573179389482455,20.777795613241576,32.31137242341222,30.208609930561593,43.30812650885063,30.53265630544689,19.603186582090096,18.682579134790164,31.576671438786747,26.637751147564362,18.725853149111654,22.19277122406502,19.813167948050545,24.21298076442456,18.166217539019616,31.72803071640553,31.968022488451947,30.10501771383684,35.0590167311507,23.86461515498994,25.791803615744833,16.888450910581643,23.77935229465369,28.467284680079526,19.605914866949124,41.149022562288565,16.338058974969705,31.378666942115395,22.07766316563229,50.98640105933594,13.356367432474793,27.50878852529775,40.896663455403825,22.764367998029496,16.91795239795054,21.701839853370846,39.07044415215574,26.110894531126437,28.319689052556896,10.144583808242814,20.829075320135974,35.81212316521507,13.859240677455352,25.753568540032003,30.69760375630176,14.468535913716131
29.007519358735713,19.929921275408724,20.184326124727942,23.994862606775715,38.529746882829734,23.796314925739143,17.329462099228152,43.341539686493526,28.095818953698437,30.319018360359212,25.22403690993157,23.467310376824763,22.158085615443902,32.84594499311472,28.054461195612042,31.099822584162304,23.194416100546338,30.195350788074172,28.49505024735425,40.932095215866184,22.02804754634498,29.98952193085778,22.190924162564727,15.934478968118409,30.956114606634085,35.23907116427591,13.14594714446223,20.242073751355647,27.114960664649974,29.78248040923905,25.154871257913445,25.013073892710597,33.82666347033908,17.2603977815419,27.4830927727985,24.786133033389827,26.803444111312935,37.42952243254581,44.52243011581694,32.95625536310366,14.657716542564211,21.03856608254625,23.655686854375084,31.87520999729466,34.166883438892164,26.30321880295538,26.67081330406551,20.525818960297663,25.44021112577296,33.032410333215864,25.57823572357471,34.53524600608353,33.01043672230841,20.46272260367654,22.561053763789378,45.39018404668109,19.21129834325563,25.346717259582555,26.738128542322798,17.895310838818503,31.38634930734026,23.38484333447075,38.0504935133695,29.40991255651301,30.85080498672043,29.908993453769988,20.7697642681063,27.569370833361226,16.08380738210778,25.475695745519197,23.981854079448503,23.236836111992083,41.29601599143098,22.61852323706252,23.277561824839502,20.090089995636507,37.520813093207714,15.198623555605295,29.898363133565514,31.784624610297914,23.938061200376698,16.074972887232356,18.627050024157427,28.90723084958756,28.422333639925498,35.51056624843037,12.6047397488052,20.634167115733202,25.063159299055062,24.924505646495753,27.2083073761126,29.71172205818778,22.706657906787136
24.80162329229672,25.406867437156595,20.09785285266804,19.555933749727398,40.839206093715575,20.540639818455283,17.629745052973014,35.487062362301224,24.89201907254462,32.089218125979166,27.304467461913603,17.761220744436656,24.493620084183668,21.596142967285243,30.52460098406344,28.944487767322876,17.50031144882658,20.06403723471547,30.81763975845139,36.410135243982836,20.311551652820413,30.63119016395993,19.398404010185676,16.872508290019212,27.52063333280329,24.327219691142957,14.087543151730253,28.510046500045913,18.323331719095425,29.964707261156676,27.850265682966572,20.92798020196343,26.484679644638955,13.416591566889002,25.993593977655355,23.483428500598784,20.388161455300775,35.68222281618005,24.86318035519365,28.83892692633955,19.00363482614535,16.927748299871414,26.057408449248403,34.00404320453515,29.71664919000383,33.899901837786885,14.572403148069244,16.657500361499707,24.670465920495722,27.572220225861102,30.47903586321222,39.47863518838482,29.508897635088488,16.226951024858145,17.30594597503661,49.53259668663228,24.745634456479376,18.799099803345474,39.881744958262395,20.8750309130174,33.06056295113386,26.271385776632833,27.005471301993353,23.7731238163924,21.02681813649345,27.72279900411563,27.207815069395934,33.08332718973551,25.279860624095512,14.526239210929154,27.681253710040764,24.949645018759696,36.767197909737426,19.94386288330832,41.24322197002869,16.310234790669096,34.29808262882196,19.225244764056107,28.551188372111685,28.50538170490751,30.788626800541962,19.998482306495138,24.255125657032213,35.09065639547313,24.558243663153554,21.917407236893045,10.90103884203001,23.283104541259554,29.792027585383984,17.393434331382146,31.400210482426086,24.822319529326304,19.85842094827119
