rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9,rep10,rep11,rep12,rep13,rep14,rep15,rep16,rep17,rep18,rep19,rep20,rep21,rep22,rep23,rep24,rep25,rep26,rep27,rep28,rep29,rep30,rep31,rep32,rep33,rep34,rep35,rep36,rep37,rep38,rep39,rep40,rep41,rep42,rep43,rep44,rep45,rep46,rep47,rep48,rep49,rep50,rep51,rep52,rep53,rep54,rep55,rep56,rep57,rep58,rep59,rep60,rep61,rep62,rep63,rep64,rep65,rep66,rep67,rep68,rep69,rep70,rep71,rep72,rep73,rep74,rep75,rep76,rep77,rep78,rep79,rep80,rep81,rep82,rep83,rep84,rep85,rep86,rep87,rep88,rep89,rep90,rep91,rep92,rep93,rep94,rep95,rep96,rep97,rep98,rep99
31.118707212323955,29.09934502393633,44.835423723588335,27.26801150366344,14.664852208636795,15.515853906424706,37.89007979785329,34.49433596939071,15.640821269944539,31.807224470222167,36.45281984900774,19.031281930461184,24.478373091252962,42.58703560017678,25.32266590502324,20.68505252087941,59.24258699417389,38.30672637535965,20.905364178894196,35.494725496610265,24.251549803715896,27.304580666300524,37.77315086787527,43.25758885298678,11.836043263963537,38.763808567756655,23.059687276292813,28.45890460968922,37.40134033100401,20.527527549625898,30.60637742228014,26.03656850085622,19.36435448412283,32.264910948989424,58.30452616257078,39.62334159833533,16.41572265452151,37.99091520913927,24.94852889982324,31.96665589325456,39.510984908139264,20.195873764093562,18.588558682823177,33.88667550388794,41.170663436221844,25.464070918595716,48.350244327920876,17.14527834325747,49.46946802677565,25.826025480374085,24.613030788952674,38.84841274523559,39.447146935959125,21.26038228049749,15.97198342726517,38.086213666324,39.21108645363161,24.413131270737267,43.50378730311022,44.192519696682254,22.222062473291036,38.77713624843908,37.00355327862342,33.56121628247367,56.61689161944551,42.72619639976657,20.633687241372897,18.710997634634314,22.749897369351064,27.895331414046694,41.430532823940624,12.570763498246592,21.75185679914501,31.576630849805465,20.34242022047914,22.582974237788648,47.0228372724465,33.84558504906792,27.92392760826319,16.839911454906165,30.806499852476957,53.32033885820385,38.525122480910014,23.69287152095849,32.42838667228081,34.80959193744857,27.533302155930134,25.853686314508245,29.804531234559814,37.06572714601233,29.1036891412949,40.53564859081474,43.63352042690188,28.50198570515306,51.69187169926053,78.21771639185646,37.327654452241276,30.040160595734562,33.91330136872521,39.27005999167553
22.917702970818496,13.33563554868726,51.44156210491089,33.57795176427497,35.762684597597165,29.421736033091257,53.559450624814076,41.07440137024374,28.592771331331388,19.76136584748694,26.787137967091937,16.805383829586766,33.584152052975135,45.20676021291753,17.62133148122915,22.36569760790949,39.79683863991952,34.38398570057991,29.297375348727808,70.5717375593141,32.79954085165749,21.847445221473667,40.11868061323464,54.469440192636284,20.51085441598609,31.757441248532828,25.793304500434232,32.92911716167866,36.210001103853855,23.560889879678626,22.312212122879735,38.789192113052,16.93827702354936,45.32278377842445,32.81924860974588,38.91807585088449,21.5140931258481,23.551247718925026,36.09985680184421,40.49753652907561,44.21267834291058,29.196721539038528,37.83999823633555,56.91594711396836,23.600096313981123,27.074295584897236,30.338247751286715,25.589242645097926,38.24512513152358,21.52019380010982,32.15002059686348,27.98937131158791,51.916450196049354,28.149034912832995,16.096438228381082,36.59617166465635,22.716903951093908,29.686013742760768,45.602310802814685,37.28427266438146,27.74573384608108,50.25347039502721,61.91358693566615,37.43207528351106,57.98632993111012,21.338811720473913,26.64943994652951,22.2236872684238,40.81664379186398,24.488519151052028,35.61637569134604,15.733928624694672,32.77525258368041,17.489136113138933,22.447169623631662,32.28189379852882,53.46888497981172,22.05369902216281,27.999216983135742,26.749439088109924,31.883888922168055,39.02487585626537,58.33434780442434,31.583691759611355,30.60686482691864,26.211479187669198,35.53640614472596,39.693049397468315,28.028437170799638,29.866882837449303,20.606807140058134,37.03825187960916,22.786421430230668,44.558667543474584,59.059027185843135,47.3575678279428,45.99781247315895,37.28837480773905,56.06756953231612,41.027948776652394
37.795672840752964,19.786919974752788,60.690264343830904,20.704081558865713,26.601390200929938,23.37471131828434,59.490253243134916,36.054420576102615,18.156073761340277,47.95240088259033,33.16439417635238,27.241188622435093,25.793207224244057,30.93710241001786,16.11680323070256,16.005948947685678,38.810425311500936,34.4607453788781,26.650456995721026,42.30951673139019,32.34805520493945,26.08851968853958,41.949283110545366,46.33589473247666,15.508741183617005,35.19744767041869,16.179160450640296,29.999141646485658,30.519630226772787,20.583549568056895,33.59616783898062,37.528245707250505,23.123382060127547,38.84678853940471,40.24684520255531,69.12002968701498,16.131628834548255,22.314095167216088,22.582040641725296,38.11206377387184,55.04721345148559,29.22501860742657,25.72123437366737,74.61642668245244,18.79201483690502,28.1659189206554,75.50302757242206,26.054042222215756,41.84586870609173,18.36664530428586,25.80377220048025,28.853265613800595,42.14296955637877,15.668411392377186,24.924954168920337,44.66212669525534,54.55084530833838,18.957899522149365,46.1316521786987,32.37203925068021,34.57756417494329,46.856067607368864,35.57982328617759,33.21063102826359,44.012871469880295,33.59392453563189,28.196306200015314,25.32440461101466,39.40618339050594,44.05546274613024,46.82594541184785,20.36783316978003,30.194283244995635,38.102899453594326,19.87184719695134,27.177550838948022,50.59105352161144,35.0805897761536,13.493325623388408,27.270327871204096,35.90535270332338,38.97169255968633,38.08828343580753,38.387239928771855,25.995472695145644,34.197560428113455,34.171738901899346,26.1118828063107,22.586722146646895,26.24143145086832,11.369061121318497,25.572816541215246,38.016025653512536,29.73942752694411,57.377065507717,59.06654532625183,27.085156843958664,35.42167311295118,50.895105838432286,34.692552711425456
27.745916820707563,17.981877799126003,54.673545992758385,19.717114462683746,25.680623074915488,24.231571551994584,64.86169130600794,40.01557828682599,18.459436324966685,45.616208957292734,30.311176021547368,17.99600026446515,30.088219064059885,39.380961927745226,30.37338090191925,13.536729077600771,53.06138278564018,37.42635234393653,42.037331117567106,49.34233501989572,25.08111099871173,31.51512885053849,31.596233501069186,28.184881899465445,17.850522130970592,38.20303477100814,11.88180272186974,37.22120183819263,24.525306186229113,19.3890742612176,20.390826034014864,31.581267430099295,26.51064840684202,55.34390395179235,50.989722633227444,51.91552264363039,23.08416196253866,36.59053838521115,26.032007237839792,40.921597426462434,42.36209435710012,15.30168287776,28.66871441715343,57.78321159309047,19.92239195834692,22.975713958312983,51.737175933484544,17.346878877119742,30.85162822568304,34.07810425129095,32.54674258979822,42.17436043793248,39.04145878429198,31.938533244303937,16.167935093275254,33.672164813118556,36.57248078653169,15.201668213765556,37.560666475344945,30.080614709906797,46.99250505217538,50.00174861614268,28.872368320999648,43.869667737103,47.66735709674286,19.692251183684196,29.251919020016956,12.46503688972156,39.98866882687916,34.24729095210158,36.4665808237835,18.088367956720404,38.96510217044767,27.854128891858842,26.1465220954653,20.69488271623613,48.48770494598345,26.643262835412102,22.03884504009814,27.099202207714633,34.42046021916354,35.49675833204276,50.70478099403888,33.26093821317542,27.44423090866329,39.910463871619754,30.283078889518507,28.87801753299399,18.911015630601973,40.05782197891413,18.600319207383542,32.1737165270992,25.75403829847416,21.150242882286562,50.148599962800766,50.125796562021065,38.39858198503498,40.397308993502705,48.479927251617724,48.00397212314581
32.14714123214341,25.510428343227474,63.78652662457857,17.108941340332805,30.996836533722387,18.606243833802065,46.28679397334352,47.689451402329574,25.601787129587205,41.05454374689147,30.708110620006387,15.912904286593612,23.699858714792796,42.680465557829834,19.768298917778818,28.111180704309575,42.07167541657923,29.4050293988826,15.715037078173232,45.7996596878253,12.029825320703692,20.81928344515538,22.940174993233008,47.086882283305016,15.171377425399037,48.05256637804481,13.436082136645929,25.461206334706063,33.558554611820746,22.05093908942859,33.23048063641776,37.93948719755253,28.64156930599805,45.0769251515444,39.77207868295693,44.442383596901216,23.448754725703868,37.60461240064121,29.15619808069107,32.10429257036428,36.88927107427606,20.02864347196162,30.323528623559717,60.32694597826855,34.388306433262244,27.472875077024604,45.232786761580904,14.283242081492482,25.124423843926206,26.5296336298385,41.57511335432862,23.037576539448935,46.766387957580044,18.438557563120277,15.052695205493743,52.64461468472599,37.10693165418157,18.785032051420977,26.534616328861965,24.19724940009884,29.098182024243833,35.700853518208994,39.52326701521951,51.78904235044574,41.982674666763984,25.37372343934393,25.975528735621964,23.316449680756513,37.95557510683321,35.427495822600335,29.792938470865785,23.507828946988045,33.038884256367155,40.515290740171665,21.536429146654356,35.98367626304969,46.18164206772292,12.980939212130627,21.482669600927927,31.65945839246867,27.54343111813737,34.6337889199186,51.648753445844534,33.33804323777661,19.39023836167248,26.53695809018707,36.065032598769974,23.71575948504141,30.1941286533107,31.414749359944704,22.786131143160677,34.879800251165136,32.68160173239363,20.78407914535038,40.79391564421497,59.521347257830286,53.69366078720455,40.83558828242759,27.00519704165573,42.09129563851544
31.553409169362773,15.926494823756283,62.23702940765947,43.010872690808824,28.126719220692642,31.58385152144089,62.10404681038226,46.666403262037704,18.057436796111183,34.90762964373111,31.292708575588172,18.489192557904968,32.25533518943184,43.90645554517418,21.404366997526665,20.20833640970743,57.180375775626345,30.811410768292234,21.512648598928635,47.60052626583501,27.71443832881604,27.93209703440073,25.46674602704048,43.21902642738258,20.94913468613317,38.48323754371997,17.294232170248314,33.343834980918864,30.358084070195186,24.622031036649418,39.5633580210219,41.666737086468686,22.916387696696738,46.90205477910699,58.65289747003922,41.40814447763198,22.560169748782847,39.481247950109335,27.130541330662243,24.530857926492892,46.2864495179162,17.811402880742882,29.588963138200015,71.14329970736006,26.821015295163587,28.911429599033582,45.32814533872314,13.095034366893177,38.313544434783985,14.523032902586502,20.150085808568818,39.67787450737982,34.62684967891398,26.304052872420794,14.96302979951644,31.78857891647164,34.42464511613541,19.531830825241375,41.955764514272204,38.11070313294997,34.47938702417915,33.96768155720714,38.52561835545985,45.39935285330102,53.52670612470365,20.82059241825263,17.53870573833788,22.04709966728987,27.01455151264358,36.46274431245907,39.23404830938405,27.653640410611775,37.808926840639785,37.92068483258277,21.657578134534326,21.144402643093066,48.128180618790275,21.692454503174428,22.407969617708,22.71092039374048,32.73158962651987,52.94580027989646,42.77801408785634,19.957171801576433,32.547220062837305,37.72369217024462,19.753665563413097,31.84208946246331,35.150853473390626,27.816956549435524,21.28439014780946,39.187029333264775,30.445099488993293,28.16005088023444,55.26682064624438,46.16536297411042,37.66749692439087,42.25360827200626,52.91981711201534,44.84578336142202
30.506235696183893,21.315880088667857,42.95293699133053,25.16850990831172,24.946128493861426,20.378776008516628,38.95101089862455,47.73857232553646,24.97303494303427,32.71780168874438,29.72028980183838,22.21180425187051,20.050852526384237,32.505994867657385,20.06563814338138,18.355612769487657,43.42658809604385,37.8712245192208,30.928777372251197,39.00636742819412,21.191777057318646,35.00558548364144,26.414788263504104,44.7411658798798,11.134742077046113,32.480628249203086,25.51026346868137,38.932095620844756,30.54986680656685,29.32314276928844,22.817912963602684,47.05948325031913,22.392026995274048,37.21278777426722,56.765789793571415,62.739555653878966,12.987566308706954,26.72022623083942,29.427907151122035,35.27767791037407,41.5187383587659,22.406995585115997,19.377880052131157,72.83889254884093,23.486680416757707,30.001246812097417,47.92148834187311,29.18786038476466,39.13179385109577,41.14644478960743,26.37899764269068,29.701688266638534,55.55702387875932,20.847441698970435,21.51721422188389,21.58285969713146,40.840213183487975,22.2239341646812,24.803044682779934,38.707413069901285,30.184712298736542,45.34914234144064,69.17260618346087,40.23667710972217,49.3394157750326,24.65888680906716,20.912741017348477,28.974276188043746,34.99814495372218,20.158739558295025,27.916457578429927,24.809931467931847,26.633868849268822,35.841826671923485,27.847220540111834,23.541115261602528,50.092766875391305,27.968286809614142,21.24018440344396,21.976874015351463,34.697527205599336,36.51459179937698,55.92135284478311,26.412937184834224,20.13847128621715,30.883983531731825,33.80501217151549,27.21532772756015,46.56764940520908,40.483494992482946,17.673182750366806,38.94246104391725,40.00255060749601,24.579026002448074,50.10941837416816,49.96521487346572,41.73811032484665,40.65694891570894,40.941781418990516,54.453643465849645
36.89282150564197,31.369694950554454,69.6595462664952,26.034555210659384,29.738499547768512,19.824940254449757,36.39762936053861,45.90183434464181,17.869850947152464,29.810781318657316,23.728169372883073,17.669492845891433,30.413197679517012,38.01612393881346,20.81698334115231,32.118725269274734,57.39371776162394,24.14179492442578,19.706252482343654,35.4781007266165,15.885084984051751,24.08006869766696,33.715987074932755,29.58738122888324,18.094633525623657,26.47728402080576,17.78608559013784,28.629299673243676,17.78002563934531,23.94357367046843,28.910195980851697,51.657403155369664,23.5157348286873,45.111617861812896,41.13027525099848,28.640852151760377,14.196640493909657,39.89583739795906,21.218025650827666,26.575329865197784,47.341569550064335,14.78413266686942,26.079661592321916,57.17933016585243,29.3464218142339,45.95341007660858,57.89843076826941,21.80221245300852,53.172960483692904,32.59024743793865,27.152415000084776,28.035872598650325,39.757909399526646,18.57644451702882,23.311795020957383,35.364732453159476,36.30199551911985,18.793842583283478,36.09297819153857,31.723942642318374,25.89684789995378,43.27706065327705,59.7007086479125,44.53058852625143,52.86863451726958,22.681751112609334,27.79816364379152,33.73953788294635,24.79739743957891,22.828774055363308,29.9340299821581,20.80122511298226,28.64918108253945,37.15443998865143,11.705494002001343,25.796241244534382,61.865399570218116,39.855430780149476,30.416938443786666,24.014088559779445,21.322706388308543,45.57628227908165,49.90888540598582,25.139688840847274,21.88011784915919,28.50524415291652,23.799349297083687,31.741888258267203,50.26089130697151,46.5212050086791,27.81421386120639,34.87019215077519,25.867634839558356,25.310058415301583,37.05667965753683,52.57529977211149,38.14356308760607,32.33015112160769,57.97479255585811,55.31585159826952
31.69003923921863,19.00688546120635,45.14602103705848,25.417320624808866,38.572794196453785,24.334563613908706,70.72087223953781,36.451122986203806,20.625402979603187,32.72767150512529,28.54716757488483,20.020070412900914,25.74727063949401,25.633958828482324,21.125206601709287,18.00029926072151,42.929046400695256,37.73852315605163,16.114117262179526,58.780381289200086,31.0171671887725,24.293226521624476,35.10942016912742,40.83998453272959,11.221737027507839,29.111346593009756,28.86211881842428,37.731773192288635,28.429648168022712,26.11695096510601,29.316217426847714,27.582124554230166,21.09506001523831,27.849839599401747,44.9939041418305,51.71666473788698,16.529520633224575,38.806481321955175,21.92647890629498,32.40259277419204,48.061288003968976,25.211702717394658,19.08533531166344,54.61291885164215,31.496814023541063,30.28624090182837,49.961627382602586,29.811090393142024,49.721488189869405,23.877444318201512,31.596685496862577,32.14323336756312,24.11158530247215,20.37762914864571,17.126475242900455,36.13683287263719,55.85132137854511,24.73563273829795,24.46113261591167,39.15987005603895,21.73995186618012,44.69319619408532,40.06538999545178,35.1825296382453,43.290937427066865,21.187596346545206,17.13963081379998,18.801399012738973,29.254513623154107,27.986763007689024,38.68415253754182,19.319521098263372,51.18078553945849,32.57579890542144,26.78934078915641,22.209079403522267,59.50777837810365,35.2693092979204,34.4252414355554,29.173302523319556,29.221143578175468,46.49913724532092,44.87745015797198,49.20529673243083,29.68837248849311,39.20662325883216,32.76823795391841,30.647021341062803,33.79625387495719,16.992964258552334,28.024395522903543,36.50178020380528,21.549610847718437,26.02504535472731,60.874246729404966,42.564638820927264,47.52237948965025,34.642797683544075,44.20316564596448,53.92759074155356
25.558945552061314,22.940646560210862,60.352026046292984,27.77223890198637,33.65041601772566,41.36256798550363,57.39793304186241,45.18753719663398,26.314039476354743,45.137036880292975,24.865737545197568,19.686736697573096,28.514961153317937,34.264460008232035,26.198474738168066,17.081230985546043,46.33887890202488,33.456330856898084,24.659138918371514,43.74762918869936,33.56489662972758,21.985005222761565,31.23989292566445,68.24436214562188,21.029349228990068,39.35771834582512,22.58706067887755,19.56988057730604,38.7942960597596,17.80360658504161,39.769315736487265,44.97317147802571,17.044854781483693,44.268890554820224,48.35658161919161,26.132736399812064,16.69407238068433,32.83804209236217,17.35826053867306,29.764776081369376,42.72757153271834,29.49326099375381,24.34956983954573,70.32961512592868,37.827613772958856,35.26402949894809,39.597393508023146,19.12158451522096,34.68093694164783,29.00358589782273,24.1659280867219,42.1936242567173,55.15423322517016,26.762139816979754,19.60076944205792,36.268918327783524,48.97679955554345,19.400614812065694,58.56471323850794,33.05093581640991,30.028656442464996,33.79689762872731,25.61368571741104,38.24486615027032,45.04631555380622,21.879747546983936,21.925434245663048,26.55791177788766,35.41146554338338,33.80762188656478,40.82374026239863,13.821711504937266,30.646616230160117,47.74765833092247,24.591346114493472,19.552614408019476,42.66388421789534,27.982094049392195,33.64913026568035,25.468184283983422,34.42607064858779,43.844756648467964,37.88170755157024,47.46995804866944,27.825304928004932,33.71379859277127,28.23134706150422,38.780169271931776,24.346310366565763,39.27615938560275,21.605427734372995,23.30229238936726,27.30369213276759,32.01631551492811,35.05489460161088,53.95726088692678,41.18611468090982,35.31308299586294,66.73802377807539,43.36142849691288
