,model,T_NDH,T_ND,T_AltWN,T_ChaVin,N_Anc,N_Yor,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,m_AD,T_pHN,p_HN
0,0_Bherer,26425.637504668903,20259.41118199009,4236.980060634769,1739.2537939321764,450.7424333682164,840.7599056805172,1760.1718181117533,143.32051490464823,97.8967228543414,218.88433132853913,104.60371902217783,158.6460106052257,6.37291319522138e-06,,
0,1_Bherer,22649.71837468895,22143.96035624718,6257.362143607276,5461.366553180965,377.50210022418605,852.53530463873,483.5886804792837,163.7287730454822,127.89438691349291,272.4262663389019,302.86900153368737,307.0096043828527,1.0183142193048281e-05,33465.66751031218,0.017982675821230358
0,0_ZhouFHS,20281.002971205413,23236.085189201014,3572.147573949807,1823.1942213323098,324.4121508037343,736.4292149880741,1682.1439283099437,128.48235338014754,122.24195901620672,189.9515574399951,98.6958704814083,143.65555117231412,5.165851515132766e-06,,
0,1_ZhouFHS,32763.82734843093,33111.36647385712,3789.7411409485067,3138.269842633745,533.1713989890982,1084.0189381300547,89.63650016202041,141.24329412482166,109.03389210232784,187.76753943766482,151.71481527421233,195.8453273867788,8.356835954736807e-06,22005.650822687156,0.013979604523670459
0,0_ZhouJHS,20107.230621249204,21152.24297375985,4050.687592423311,1875.0037267231246,336.53361342982475,744.4083823965327,1564.5696934738862,130.35333208837,113.51513915688527,178.53837840991045,118.66494639307507,150.85724878368444,6.071003047390213e-06,,
0,1_ZhouJHS,24338.987763186953,24432.139521285997,3311.0218954671072,2699.1186772827973,409.29657967420525,757.1788322918878,414.9919033648321,141.28857803722224,115.98309759170684,127.75122367268531,172.71696005763368,182.59035874738038,1.071428954197699e-05,29178.590354547567,0.021697969260499127
