,model,T_NDH,T_ND,T_AltWN,T_ChaVin,N_Anc,N_Yor,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,m_AD,T_pHN,p_HN
0,0_Bherer,23221.436690443745,37498.65224785963,4531.743462921281,780.5751473219098,402.7436202795833,790.065046997182,2440.1790226312514,200.91778141247877,187.26265027894277,238.27311744217968,41.651787455724325,143.50880745354178,4.533758625357231e-06,,
0,1_Bherer,7113.270416625579,3425.970078241646,4532.12460147341,1351.0610924815237,228.7908383067295,636.4435359478435,391.71604488521353,159.48223797846853,88.95527705846513,210.01107140746763,78.5904369586919,150.5460267221648,8.130697641708209e-06,31819.28259339098,0.018261500522733818
0,0_ZhouFHS,25099.937829655573,41336.1316526291,3691.2793570767803,1046.9425177533446,432.10922534200165,889.8358487669208,3228.6565395213397,212.59467458149896,227.80237532519982,193.51441163203117,63.977815638811414,140.45088925264503,4.280859014087601e-06,,
0,1_ZhouFHS,1690.2670355064624,1548.5618799757885,2624.615259442611,1383.257745717627,190.0107813921,552.9083607816492,110.47875143233928,149.3092684435107,107.01564360293956,132.04217401784356,74.43543917797528,151.60817839414088,6.274955193647474e-06,24062.646291173016,0.0155855859068481
0,0_ZhouJHS,19940.601963471057,27458.521883508354,4290.397323826504,705.3820531116008,320.13540761610057,735.7459129954332,2011.047158872901,162.8967004300546,145.39052393965514,199.9455951517693,59.325788009822446,142.03641203039498,5.212177668983622e-06,,
0,1_ZhouJHS,2483.3961210507146,2108.6040963037726,2596.659535038941,700.829538949366,189.17702161295105,639.9655520186968,162.56756228350147,156.93374491073672,93.01759590298138,103.31439574731158,43.972196471461416,138.07987239920428,9.284426436232862e-06,25694.09378321737,0.017867230927928333
