sample,ll,T_NDH,T_ND,T_AN,T_CV,T_LY,T_H_N,N_A,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,N_MH,N_Yor,N_Los,m_AD,m_YL,p_H_N,p_H_WN,p_V_L
10,-613.5182435869135,829947.8918232416,802786.2408507807,119834.55191392527,57440.37765939437,48000.00000020956,394848.71452857094,16575.001069947277,1637.808039841698,3049.6443600472107,2606.7914016762033,279.1006082025437,87.51762073354114,616.732157659442,28553.334516814604,23488.765183207768,1019.6017341329613,6.488887033532433e-06,6.790248380651257e-05,0.15767483815291,0.014039710335363033,0.01936096088369736
11,-471.2838964176361,784680.5123208923,726066.3591676195,119752.93404837647,57642.54716007111,56874.44525657318,300284.62122026057,16903.67857941131,2760.882663195397,3322.4155038791564,2649.560538789188,294.78489592877753,107.89433675255674,637.4985367734552,29831.421852872612,13312.550631689,1057.9371064336713,4.748970963897333e-06,0.00010356708548405273,0.10942678910135678,0.010885884768648251,0.023103881842681633
12,-531.172747241721,784679.8822177297,761961.9255328085,118643.98094705488,57847.81486390938,53790.70537726224,325685.0802418232,17487.550317662728,1069.9388454374682,3310.919197955695,2640.7725192826815,170.9508282658698,107.51890495868076,692.0761898056348,29942.392588213883,13196.06500072929,924.7348267062578,5.442327924293235e-06,0.00012898224206927696,0.129722643182891,0.010265315677034061,0.03302738615659853
13,-549.1182831975999,806192.676496022,736574.3461189269,119803.51344729975,60828.10152648304,48000.000001976594,491239.53982401046,16953.926282404063,3213.9799576175224,3183.2731989816557,2766.383946686515,272.6192267290811,299.29561797467437,917.7587844876997,29547.656945969517,20638.540180184737,926.6005607651142,7.735828035441046e-06,0.00010284942936838297,0.2704313935582641,0.011698090752446289,0.02840246582510901
14,-447.26655091518717,806351.4198425473,713431.3180295313,120778.85619893885,57064.80084153726,48000.00000014834,316269.74473134876,16683.075367118196,4258.7981165058945,3355.521159495106,2709.064115988745,246.93834480751661,74.89732479967851,577.6147580019282,28771.30121975206,18866.632382830765,929.0380495796037,4.662348628995076e-06,6.997696671668592e-05,0.11336250623073402,0.008250588679634947,0.023221553816704533
15,-423.3936320634672,821750.0232991545,707944.5835271007,118849.14366950502,58046.79074207356,55282.39956676898,554457.0698849865,16543.82525607178,4706.5702938974,2859.8374190017166,2909.2142372385874,199.26187285355,91.75621892552269,647.5771666288131,30665.997052570176,18081.780089358665,976.9843947629702,6.690932158846226e-06,0.00012297728454204915,0.3526245761906092,0.011040989606709857,0.012507481585026996
16,-584.9100622423649,765766.5891964496,718271.6356008014,117538.26086654927,59308.987461230856,48000.00000264576,613780.6629475483,17826.487472721692,1715.6863804184327,2801.945717458692,2851.779898254714,96.31084696343738,185.76244790860844,725.396523059285,26029.641467703845,34009.28309982342,1127.403948586429,8.017032208959632e-06,1.9208219734656753e-05,0.4901987582660426,0.011559708709046499,0.019449317369382806
17,-451.81559548330705,811572.622793879,792269.1821649057,122889.01784650699,60869.961274854555,48000.000000862434,549911.0409457204,16682.629138959273,1035.2668715112784,2768.1492205751997,2919.84704922749,361.30976175406846,247.10790240392424,745.6194232329412,28403.07600801877,23045.24385789452,982.7344122936255,6.859034133860162e-06,6.000984779800114e-05,0.2444418486258197,0.012413870881151567,0.022432805693401826
18,-377.4519690792105,805255.8644207021,638614.203013255,122958.806482698,60738.54740541208,74732.67379174933,595123.7379659275,16711.534492579853,6048.039035559124,2768.3956149094925,2893.0640463631926,470.16205986618144,240.24033046802742,830.498901000029,31598.181013889098,14744.034889355393,1197.1567041479204,7.394048203567108e-06,0.00011949676852835246,0.44000074944455575,0.011086287504174492,0.022386028861971274
19,-516.0183102220777,787619.615688087,756281.971233829,118131.65230516224,59031.673393930316,56997.78185226165,356249.28303683124,17083.4661536992,3208.5699760405732,2797.5060129797225,2400.5551209071964,140.36606941132322,150.7750618851089,857.7195134519175,30454.359221154573,18353.830557027934,1000.7364726880155,8.828411414566185e-06,0.00011493893631004668,0.13133510949027916,0.01453571963032805,0.025384272664297172
20,-438.4575268803609,801549.766525236,770895.3909924565,127170.90243990965,63762.84895442042,49714.728205140265,330120.67232824396,16991.32510330038,1603.4907171444545,3155.021947569242,2514.4047340060924,580.6998722727001,526.1727653765645,1018.9734805298317,30692.051606166817,12323.135171760276,895.059738307241,5.4832460784736286e-06,0.00013143916756251113,0.11980361115205193,0.015153283018545564,0.029744253526937978
21,-414.83889155362664,808861.1078266046,771797.5212466514,119118.1016431139,58988.32196620016,48269.12090261921,338671.74191954976,16642.374139769156,2438.364727394765,2968.45983853294,2592.7980232335594,177.9342531757678,165.3602150803778,705.7655400037862,30994.44506470899,12173.695006858336,845.3026090982104,6.861049196758734e-06,0.00012806938201392965,0.13064570956109864,0.009191999786999985,0.022631439558665947
22,-513.1701373768926,796724.8077127426,768812.2418874636,117511.31107620288,59333.707076730825,48000.00000663096,372550.1334437905,16866.826337953582,1703.3516250199832,3036.1064923099834,2621.0591778550797,102.02492239045073,163.91886268290094,702.9151674601494,32620.457342654478,8759.127830513844,778.6596315790081,7.000728553253441e-06,0.00018420983188936673,0.16469995406235285,0.010009332650663016,0.03479302049419399
