sample,ll,T_NDH,T_ND,T_AWN,T_CV,N_Anc,N_H,N_ND,N_Den,N_N,N_Alt,N_Chag,N_Vin,m_ND
30,-671.5910250858531,790519.5957560908,665120.3392977145,125328.9108480598,61552.75268801651,16237.799701698223,29591.711063625098,9780.407526614157,2933.4160526676037,3178.9115661816136,476.06770145641184,340.4038290325723,988.5910969797076,7.388020896432309e-06
31,-772.4219027671297,831205.301612408,658544.7729040963,119994.45622903996,60571.30724884329,15713.296136408242,30937.163912844877,13579.433018634949,2845.78077775649,3102.3387224597036,187.2764514697427,298.50642308911586,748.3062008956167,7.578686547010143e-06
32,-585.8459399483219,819313.0453211889,691484.9572775137,121016.74303264091,60958.4182290152,16011.505432496859,28187.713172000025,11617.654702743901,2825.7652462880965,3197.442212184633,323.90882234554556,267.36486238684375,859.3230082240822,6.9445759923279675e-06
33,-526.989293543075,806168.7909238979,690239.3545869808,125365.68363089194,66699.19969228237,16393.350157318586,30040.783819371813,11104.925410562846,2916.066651470107,3199.9300172195567,464.6581938571475,644.1707635095985,1149.4155396131193,7.73131039927157e-06
34,-715.2818910669588,829777.0680302772,650869.4208469571,120016.61351568923,61449.712076999574,15759.709118183438,30322.84888605273,15074.13450970381,2799.1713913470066,3225.490703725911,166.31947221956065,257.65357867084026,912.5153966785927,7.362746473001681e-06
35,-664.7738879172875,794930.670881287,628061.5155794537,119386.00084936476,63234.1035950181,16567.373276976938,29206.80957256566,16046.942672656578,2434.6130225849233,3134.957280657117,142.03788298201036,314.2099021465595,958.3906145495001,7.96036467481435e-06
36,-697.4784245782567,787911.9580180742,722035.9464689121,119931.71341739898,63076.59325038277,16521.130693164694,28936.148379434155,8005.56891143451,2720.5772485202197,3143.439013366793,188.7832714526305,448.9174683035231,1116.3087553733997,8.06601206919543e-06
37,-647.431688886566,788788.7081572614,669377.8362699845,119611.60716072851,64817.47423438714,16901.358501409744,31229.23437143856,11832.210914035993,2819.1809048071827,3140.385831587236,197.88789465210255,512.3876591113085,1120.4548121051864,8.28884760244207e-06
38,-645.5038523490562,828587.3389655792,641776.6257716592,130289.91576969337,66100.12195849449,16052.481215919512,29504.059911039483,15643.69681988865,2714.8206567377433,3120.7342502979254,590.4819835211107,541.3790468911291,1415.73641594871,7.403223873173598e-06
39,-648.3241072131304,774150.9749440583,619290.0251757808,123800.34919069511,64916.05748843248,16827.46304198209,30155.699545568445,12729.952981548056,2883.6654375912067,3081.152666390233,430.524820367994,561.7496243154995,1125.6860646305174,7.423491626219663e-06
40,-556.8576218303837,832442.8379485892,634633.0145064497,120598.91766306413,64401.284800877125,16032.972248080872,29537.860088932233,22772.665501355918,2637.4256500822767,2951.9681890950233,208.8499886044092,633.3715895982601,1099.3835814317947,8.993217123678525e-06
41,-779.509093779004,794573.3839162191,599253.2648407884,127249.4085136548,66348.30412766333,16762.724132878397,28614.194623962336,15676.756421593163,2496.2330426137164,3040.6418393618205,555.9994980715094,537.3813057532797,1117.2544055424876,7.406723293252339e-06
42,-766.3505891453719,788754.0999787194,674017.0810026088,121991.48748047899,63191.834772722075,16583.01833487165,30333.640380645153,16047.455381612697,2806.7811587931587,2987.3514620629385,290.8801578378929,378.46154347710876,1057.5152085415466,9.072737299455717e-06
43,-766.7828604321712,811437.8045285421,729429.1966985146,124234.48292199623,63740.33968835315,16534.12551035837,30043.705664390745,9400.347258007825,2835.203177338894,3307.42983447603,378.2349153353174,380.9112291236582,1047.9358821822052,8.01945135106463e-06
44,-749.7172520671818,785341.8806020264,690232.9463535898,123743.18665093908,65820.36008124964,16622.766083010723,29809.35192981763,10764.760503449745,2637.856200288714,3111.2396460166788,322.10103476119707,552.432974776223,1146.484566976515,8.335063723306489e-06
45,-815.1129636158287,770904.5874095053,636386.2617470258,121677.97174478785,64129.152421542225,16889.162627991416,28099.057994898165,12351.102665937568,2806.321682138545,3086.534472433134,289.0850896381882,521.773183440998,1152.740534807884,7.807907557794368e-06
