sample,ll,T_NDH,T_ND,T_AWN,T_CV,N_Anc,N_H,N_ND,N_Den,N_N,N_Alt,N_Chag,N_Vin,p_S_D,m_ND
97,-348.7310140339879,705168.6631313843,675189.5750512339,122761.32155008145,72193.08582665386,17130.685947007958,28300.440802406894,5801.259779069875,2292.2131315750134,2852.486305380849,226.3604171453035,883.2232099073218,1407.3575649597724,0.03533317448847268,1.1172368929782097e-05
98,-377.0973614603254,719323.0409235008,626531.9874369819,122765.05766029702,71801.8641826487,17130.90236857614,28413.455990481307,10926.885207134894,2561.1098704301376,2885.1859081925636,270.5833274781265,951.6110849640672,1434.5177796691978,0.029172830519746,1.0775985908668823e-05
99,-450.9145859283157,716594.0426806868,602361.4514523395,119806.28232515632,68805.4225440805,17615.402707130488,29729.517196183264,12070.878629613197,2601.3288810935587,2952.994775718369,159.79214964160457,842.2312556908615,1303.1239035713902,0.035232252138412655,1.0575339499567103e-05
100,-531.1275925296086,736487.1507331948,712734.1523497334,120107.5912940232,63239.33680364024,17239.95179963807,29441.747291002208,3519.3027097394647,2516.1725882055866,3019.553096642158,208.81387035364372,372.82784245343527,1030.159224136963,0.029083616717281102,1.0350047525701134e-05
101,-519.6397230958707,718769.8143344704,594778.898877189,121122.65619593121,69640.38666731968,17532.987565708176,28497.873943900184,11056.660784917203,2578.0618367061184,2920.2083426099834,261.2502300204985,705.1111639021291,1457.7150816632513,0.03133760847971175,9.122918733357956e-06
102,-473.45106190120555,710031.3811521136,680129.2371328111,123942.81265297886,78190.05486157231,17247.842745814156,28023.626294122136,10547.078383617956,2362.2004770506624,2682.2909282507962,323.11640241041994,1204.508803832242,2056.1184235194296,0.026997440978090474,1.2379195317216139e-05
103,-375.7482958223997,727952.8305738369,647429.6896041455,121353.09593579095,68530.80095480692,17229.418918558495,28332.299198455934,15429.875526537897,2433.699837780906,2857.647936333101,259.71931517716376,693.2390526888985,1350.097335131795,0.032375264749570774,1.1028961191975654e-05
104,-291.16887554778214,685523.931916161,658992.3834189365,123286.61340863035,68577.4819299116,17774.800147355574,27287.96760129039,2743.379526521246,2743.891017629388,3036.8600151285295,311.3812551997887,851.9865889385426,1355.0396980096132,0.028930478307919047,8.96752453621599e-06
105,-417.74160087878266,718230.9041675148,698038.5376717824,120910.13467403424,70645.88526696843,17064.08537933487,28770.567662748137,3570.833557839589,2576.0771700026603,2856.270596516726,261.57945479181143,808.0804148100366,1302.730892392822,0.03024684186566497,1.0879789207532127e-05
106,-465.81027908828713,745882.8934068158,687101.5729931011,120709.29615101065,68620.74950785334,16852.352020816874,30182.271669199694,5774.421037766637,2495.520298668731,3082.9858447284223,240.56705132887797,687.4150080138696,1376.567750835014,0.039646803722802965,9.015000463339834e-06
107,-348.5035234965098,716828.6464655309,649212.7978944035,119735.04801422059,68490.76840196871,17373.050427755843,28906.291196450995,8434.098802186247,2618.8322622809465,2938.008186377922,196.72695265988116,597.4667206245732,1321.8969083849056,0.03304712196458414,1.0549978546971052e-05
108,-406.607488330549,702075.5208301765,648679.2846714016,122507.06088690109,65991.5454203251,17534.559027397947,28852.782737623573,5349.197474918728,2731.207659521819,2994.404990780408,307.02709049619443,731.6574523952191,1101.1106146185632,0.033849260823013136,9.755014283653515e-06
109,-530.8394256704452,712670.2655476454,656941.9473235217,130406.02253187347,81698.22365962349,17425.855712329743,28840.585867514765,9851.436839298955,2477.501681027675,2704.73777720843,657.5635236064275,2006.2349283876586,2073.478948877773,0.03733832559950048,1.1445747733244572e-05
110,-493.1286130087068,698731.295633382,615644.1717752062,119222.21132581677,67758.50135869741,17686.386759782672,28593.837342759896,8510.099434103331,2805.18385210476,2969.380182996036,179.91053728300471,732.6505266907892,1471.8299625656364,0.03155560863725133,9.849003526696684e-06
