sample,ll,T_NDH,T_ND,T_AN,T_CV,T_LY,N_A,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,N_MH,N_Yor,N_Los,m_AD,m_YL,p_H_N,p_H_WN,p_V_L
61,-379.06156961945146,808896.2705096761,781242.4824297354,116735.13800216053,62899.01279997484,57245.52125422676,16664.311505921432,1132.1846946333637,3730.8489602014365,2503.02428593455,78.88471745929765,351.67100558928445,848.7236741714582,29160.121852611635,25167.025977889673,1163.1032293272428,2.4229875459422432e-06,8.943528101876369e-05,0.10600532641775255,0.011059666317319243,0.016081811950324706
62,-457.513263091862,799009.9727955343,768288.410201329,121593.16853742044,61116.90367391698,53845.528193927385,16837.557696139982,1275.1595924451212,3664.6626721066823,2475.362902645423,480.06499975749307,242.2243751467873,895.6566160243063,31588.76854042496,13009.120374231105,886.599026011845,2.568382303273447e-06,0.00015381100820067588,0.08312322013798817,0.013260635015523622,0.026272745384150937
63,-495.8587687044402,756862.8750925227,715658.1986800204,121590.16204144417,58666.99941038556,48000.00000062821,17386.632937179467,1687.0151655274406,3507.374830678005,2570.2512874293907,476.5063502356438,154.558136871464,810.1593739717202,31027.379338136652,12403.420431585979,825.7290732995193,2.475404656480138e-06,0.00013937093329622824,0.07798775581457616,0.014644909335699278,0.03059455337593822
64,-340.160944194071,800458.0790182493,758897.4119595491,118598.05193210706,61981.884612327,48000.00000007399,16859.33505057334,1663.383583855302,3895.785760951644,2732.5453798098924,170.63323819179195,284.66255075450596,988.873795365589,31314.62261883388,11607.036022625187,833.785452432706,2.4514759611893242e-06,0.00012970310688850686,0.09088275676435119,0.005185995258895425,0.035856969235451765
65,-596.0807377002375,771833.302043123,740592.0636822545,117345.68514583645,59503.89026511587,49383.64993626009,17299.66370988848,1520.507528211543,3210.534085401957,2551.768716148733,132.2363275166803,181.80255432799953,722.5882008758363,27132.223106261426,59308.97389391191,1125.5163476542152,4.130623573325962e-06,4.7291195416548264e-05,0.081262410829449,0.014140665439639082,0.02234894054289573
66,-542.7864011673228,775213.5791387542,714350.2620458687,118885.23939997569,59633.96990439758,50462.91982660134,17173.1987598761,2472.282038721355,3664.6665001216247,2655.1388966829654,196.74362180212725,188.22126414208395,803.8775963261573,29016.359924389646,14729.1196537857,965.1230403095353,1.9952412110357893e-06,9.87623540340318e-05,0.08493229787546307,0.008555602940471566,0.02803672491023676
67,-461.04101942973097,793267.5167932354,773935.3549998777,116597.1471964486,58894.91383953636,49887.76309532152,16985.29754574154,929.7428530673761,3433.454551956715,2599.2024650742114,86.46927765401136,145.9773388657572,768.2436675309084,32704.999575680533,8945.891830271628,828.191791748131,4.133993100334404e-06,0.00015575303399092714,0.08155036531212141,0.01063171877314904,0.038958908479658064
68,-502.47132250726565,801643.8631952613,739331.2364150244,119273.71924256468,58591.348588661334,48000.00000002078,16776.48024696966,2303.950529898437,3708.9418452505565,2758.1907352943745,288.6729973335698,127.59607848387243,829.6245031474466,27848.720640585052,28488.085987689366,1064.1422941435894,1.407120737135563e-06,5.8940867689484175e-05,0.07706632420386864,0.015583300749795652,0.025834418244432916
69,-440.18264852246966,774444.4399965045,725065.1961585209,118594.36632594466,64632.23906317676,49156.47364548149,17033.84635913907,2078.467103562074,3657.7329402836895,2388.8655318337105,199.36340874332208,426.6564077802082,953.1770548644922,28478.719117639015,17684.54793854253,1020.6135263650784,2.706253533724543e-06,0.00011413936897493088,0.10386264325895632,0.013348381006931044,0.017973890372675657
70,-526.7807008459309,748672.8142485424,677553.8192493281,119147.2383978821,61713.25409470859,48000.000000583874,17582.91367192951,3027.834965860186,3404.546481515915,2499.6828234054624,271.5830098575338,304.69063899509763,748.1030362171499,27808.191952954672,26565.535135518716,990.5122851391761,2.5130678871240846e-06,6.283582401950437e-05,0.08113629683159357,0.016524049667690922,0.01410675691145518
71,-477.1719325546592,793205.3458001608,758705.4665979886,120034.94270686731,59188.68589231117,51983.39671411364,16874.698711721205,2311.5790904532023,3179.717702366391,2524.1657986943196,237.52409324834997,186.38651411110536,761.4737140037162,30273.2095562066,11116.290521540455,947.7123587681474,5.945100231234748e-06,0.00012932990274988046,0.07522168141915536,0.009405092661291227,0.04341501636998284
72,-529.3870908988431,764963.3136457936,728300.7625524604,121094.19267393932,58733.55841139476,52758.80555425351,17785.674512569713,1546.4112639574614,3612.354839420417,2838.187143187328,289.88851887233744,136.78770403447285,706.2392225876387,30062.174208695935,11500.685947649303,855.9743530502668,2.6876578415012974e-06,0.00014417550088914371,0.07246398264423622,0.009581119117965775,0.033143957218808265
