sample,ll,T_NDH,T_ND,T_AN,T_CV,T_LY,N_A,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,N_MH,N_Yor,N_Los,m_AD,m_YL,p_V_L
41,-547.3611755935971,794408.1566499348,730682.5172016894,119757.2825316764,65794.30711815115,48000.00000038768,16690.490710236027,12839.393194547425,2698.7216776872724,2953.8228572154953,152.15127097579955,671.09499624298,1323.9837055363557,44871.61783828458,4462.830883762053,513.6343300809763,1.0133084367156452e-05,0.0003945408419658162,0.07449933570400834
42,-695.5657770696955,786534.7216039674,702174.5641833361,121125.17803432189,68695.0998332243,48000.000001090266,17224.297954372792,16429.011112762564,2658.4684318273858,2954.30040099772,265.57055305303044,932.5676227922236,1660.535060573016,45480.65541368634,3764.324673399111,494.31133991855563,1.0619415178153988e-05,0.00039975977867042373,0.09161337514513458
43,-719.9727891096215,784819.540656174,683753.6228609922,121342.28573864634,72292.00955609823,48000.00000010801,17077.000790993916,13175.2829648367,2585.3670486497776,3025.4485258128507,228.8116986701547,972.7755273547915,1477.2788118474373,54040.15831506842,3387.3220395505696,423.67368360352486,9.435143469664716e-06,0.0004033306159659293,0.07572376699203068
44,-683.5084822975176,781915.8055233752,671698.0789643798,122676.08534692126,73022.13788225205,48000.00000027172,17424.291865941457,36814.3878453162,2455.7361429239613,2740.6266374153156,356.96980606758194,1055.802658127776,1465.4089713778576,55420.512464346364,3247.3291405339546,434.15990703937933,1.2519177670961607e-05,0.0004377622736003059,0.09588527195954853
45,-611.8274390012346,764714.1370982135,665759.9919294878,121370.17732126008,61489.8679249274,48000.00000027751,17530.461059821144,7265.151532110902,2901.208675835983,3371.3143253500293,254.12311768188644,408.02334058773215,867.1011308863317,56010.44179645397,3172.8913385805245,412.22960445220974,6.762913207986049e-06,0.0004698728680045528,0.08582009914104825
46,-725.9674701335734,786992.0186239159,665078.4857761211,119325.57644924778,63897.73139491639,48000.0000000016,17237.56988893058,12347.206985621484,2699.818639648761,3159.041451835698,160.24260053406792,465.9412562984207,1120.6137652877392,47494.00222726926,3718.9741218910444,469.83066075373534,8.791416151418856e-06,0.00039758952752129683,0.09089407188002556
47,-694.0239153144686,779902.5193389886,674098.10965218,121859.54431134445,63620.77237237919,48000.000000000065,17326.710001168005,9716.457411832296,2715.011565254172,3131.371665367859,283.3075129181527,536.5793469890766,1140.118723955907,59148.54301516062,3081.98091736427,413.8220682499908,8.31029206225777e-06,0.00044326863678276164,0.11060537193563422
48,-608.5549032267973,792834.5746856725,633648.8294085297,118465.04546495958,63402.25653002461,48000.00000026737,16763.39225767497,14503.968339576899,2691.9392828233954,3092.4605619324693,139.63923734503499,405.9133705407491,1084.0477310147405,52676.60747253271,3498.332655067571,469.25993775562534,8.91571416849559e-06,0.00040223268305017874,0.08648988355950062
49,-673.1139879634859,773500.7883397148,682145.5251030796,122403.57024588287,70968.38558132989,48000.000000345986,17009.65052071004,11283.466582542309,2653.0479878424053,2978.8770318462607,256.6056442926849,1182.8043724760696,1480.2190822513815,46601.447942053965,3794.089530677346,448.8960076490633,9.588421330414516e-06,0.0003903749852858181,0.08977694137525352
50,-564.9087118579718,781938.9969808862,758810.1668597035,118833.54140648109,59512.10951142045,48000.000000022235,17232.359974233837,7475.666892012661,2828.5555756176673,2991.4707950999355,137.46602671041646,226.18368789882183,1004.7505588028193,53767.120920477464,3178.3003553719873,430.25162254366813,1.0627964180925293e-05,0.0004533773745405548,0.11219983114047409
