sample,ll,T_NDH,T_OOA,T_LS,T_L_S,N_Anc,N_Vin,N_MH,N_Yor,N_OOA,N_Stu,N_Ust,N_Los,m_SY,m_LY,p_H_N,p_N_OOA,p_L_S
34,-192.88727200794975,779210.1408339477,54101.68293554284,52957.656236042574,23499.871509091514,17296.84692291684,2656.565520762508,28591.92362354976,25235.304151559998,86.45358025662742,4441.013955937147,2041.1387868501463,1665.0733887342626,1.0000000011016024e-08,5.2787067009615794e-05,0.10741591477998438,0.013885754443171307,0.44694403900862983
35,-150.91855507502868,805972.2562421947,58323.84268146959,56018.52466957222,23598.346759119115,16847.866661210523,2309.7085359219172,29884.850590879192,13673.265270935492,161.4441888673036,6640.202368628618,19999.999999854677,1299.0676668326516,1.0000000247947567e-08,9.6040983183175e-05,0.1446180765718789,0.02467627272240383,0.534401406914492
36,-200.68850256207938,814724.8454328862,57899.28194063891,55804.013622751285,22336.24801466358,16695.67592211721,2384.0027075306803,29962.663289284275,23259.90877427724,149.57827031309643,4195.609062394496,19999.999999962503,1410.3404423296947,1.0000000048252372e-08,8.391261273963866e-05,0.12660569404429142,0.02503309792427422,0.46652492554359387
37,-148.50833225371554,851312.938484407,52142.962992537105,50551.93232481981,12082.635261421712,16409.436763738027,2218.841355273228,30285.794061667522,19871.347667682057,98.91506625034306,3460.8459607819277,19999.99999980938,1542.0358461111377,3.3655741509078927e-05,5.8087284438893826e-05,0.1885857848912851,0.027234024017668803,0.33192630389186983
38,-183.86881231549762,811441.2589694754,56608.26161666356,55007.60574136526,25177.427649494202,16930.26605878181,2371.1096184984635,30173.427390767127,22818.04596373973,122.08033842151288,5386.790675621234,19999.99999990065,1443.6775455106333,1.0000000003927187e-08,7.041541864314837e-05,0.12257419982762478,0.02067841667188139,0.513022023988315
39,-91.49382036143778,840405.0794369533,54132.385591092,51722.253060035204,30023.760462844362,15895.672768483953,2302.707582477132,30589.411508742596,13266.973509619282,146.6627658593262,6113.983407659437,19999.99334906191,1555.0796216964131,4.746125775192083e-05,5.41371424215255e-05,0.14114060664311226,0.0264251815915277,0.5639093210632109
40,-257.7167881948168,815006.3865211925,54801.81773879225,53857.39929652396,20434.798090921908,16992.069273645433,2366.8916550731647,29006.190171150603,22396.219169824966,70.59901705783999,5835.055198156872,19999.999999972555,1397.1308182015937,1.0000000001140333e-08,7.894694447090674e-05,0.1417312407152968,0.023240042572036337,0.4077652924431926
41,-143.67002641341185,831135.9577088701,58548.44256728663,57403.469492799355,26908.02149149063,16274.426049540745,2419.892744845199,29320.016646240536,29587.643803066392,104.09743956949465,5061.0892960189985,19999.999999882177,1567.247295347392,1.0000000271492362e-08,7.350748613810316e-05,0.12403985139998949,0.020050864519658106,0.5957772478003679
42,-140.23025069496106,811482.5624229608,53488.134471249345,50842.40280511548,12501.69273186587,16969.47266543575,2505.0952683166724,29435.061612993144,16671.026223518493,181.24626610493013,3681.984698896514,1091.5652093517756,1477.2869088068742,2.362088797369183e-05,7.236181838609821e-05,0.12576496106945212,0.021425751274765585,0.36098121615648826
43,-135.40791652647403,812068.0870711784,51464.620076989435,48756.4341105999,23679.474963104076,16713.139867468526,2347.9202281455587,30097.505601125213,17608.74124889722,166.39165114055095,3349.146498112782,19999.99999996563,1461.2262916912814,5.17070527257544e-05,3.531606551896635e-05,0.13002398131451728,0.01587328597082318,0.3892629635457954
44,-185.58244779971795,847210.6080323937,52778.61041254796,51702.88274064824,34307.79858843475,16443.143207211717,2269.684215351281,29693.273583697162,26674.471966043566,85.73669622984502,8746.057704870136,1081.1226149291156,1523.4717432830432,1.0000000234674239e-08,4.319536604801341e-05,0.14640085464363903,0.02229675477380457,0.6523947751298189
45,-113.48667090938622,792291.3167385797,54427.32729213426,53024.803286159615,13518.503248240493,16868.37299832354,2443.1615412550696,29171.165166646115,21252.015967953375,113.70916122540402,3440.207395838259,1258.266534721283,1417.1834190495026,1.0000000061084703e-08,7.813574032298168e-05,0.10557410212862481,0.009193414301098844,0.40754115730998797
46,-142.69959452968396,804903.5557537058,52658.86787991742,51618.892824581155,30590.150026418276,16885.43594387858,2556.8931018983767,29526.913229018992,19738.014744500448,64.33540972856014,5805.874826506339,2091.9009225693403,1694.297951326207,4.999501511539939e-05,3.724531720371189e-05,0.10784989621183065,0.021819974609927677,0.5518687136300177
47,-132.59892654531365,832539.3849042044,53279.328857205786,51573.46618627571,26936.562332470596,16373.318519817305,2332.0106662828207,30010.56641621514,30396.543520704552,128.38144326710517,4969.270908836033,2926.703371777436,1519.9620147640258,1.0000000027410377e-08,4.2765160590193177e-05,0.1337994398761932,0.02079020728576099,0.499099424327101
48,-125.72013252678454,845772.166340166,56586.04883035288,54644.04261844247,26408.482700593468,16078.160341112525,2269.650003079458,30923.346708711008,19291.967383959898,145.9532320052235,4269.349880956931,5973.972891825034,1553.547200597505,2.2336422906732096e-05,5.298340514795776e-05,0.1446296340729635,0.026151102773040755,0.5251730189961827
49,-112.72691883426833,827738.4886553477,54778.53392330229,53328.10069873345,30935.98677873172,16239.569346945835,2410.0012484540066,29735.048465788434,21999.97455393261,102.10409626471409,5698.273924083365,2088.1955775724937,1381.3279195305497,1.9073980568385114e-05,6.196993608375821e-05,0.12080698551752309,0.025517484435610166,0.6509474519148923
50,-107.29767226959518,791464.0231039148,55314.57852991612,53366.90524436841,20972.682337401766,16907.940407766506,2397.4973814932164,32888.974877200526,10310.275378913166,107.60015854474702,3915.78642519891,19999.99999999998,1396.8730405511596,7.337553649869608e-05,9.023334552297448e-05,0.13220545828932553,0.02937123903103413,0.5101055732575934
51,-199.9872223605061,820889.2944108489,58321.65968388605,55584.327542363884,21418.03208399524,16726.39167880962,2354.800948067509,29908.02936667094,23607.652067327464,191.6568396532354,5503.653903718713,2918.6669171904214,1365.7471298196006,1.0000000307146366e-08,7.970948124859666e-05,0.15118673729044824,0.032513997310482365,0.47743409788833835
52,-176.80339691201186,771021.7292400976,56331.336367318356,54954.83036800928,34887.58849788583,17480.45092823129,2535.991280689069,27233.473814549754,34629.0064737464,125.44692481398977,8352.675638564253,995.4769537001993,1773.86094702146,7.40260652073287e-06,2.754352928201924e-05,0.10859367252452207,0.020953798055563872,0.7776331388749547
53,-130.31210184257,785546.0656409981,55955.415464353086,54354.00686460646,16571.793248594284,17026.765738927785,2437.41516134283,28946.051108848773,20193.123478409452,126.38224441669138,5346.952967031997,19999.99999998993,1535.4480493301426,1.0000000303800776e-08,6.586565086410359e-05,0.11351631326235156,0.013096256380019879,0.4132273525325252
54,-105.85114125985118,820875.0351832972,55407.02260376969,53138.90461426902,22955.570213422612,16294.914775172987,2483.777289622237,34228.340045944584,9707.737076431124,129.9920060449002,4354.170510572501,19999.99999826871,1346.3748268844388,7.156051688852043e-05,9.379799489222665e-05,0.11501140480977186,0.02479867880022095,0.5130875749542886
55,-153.43696071492906,772703.3734285462,54908.40808998827,53201.33493736519,21829.119301718325,17361.422398499264,2449.610952999477,29688.701893328605,18011.74189737804,116.52467034371581,5728.28193326812,4529.882166831057,1394.8419410932393,1.2584034471338551e-05,8.705941018545438e-05,0.13273556312650267,0.025359888895727743,0.4899970729279867
56,-195.40597244780923,788881.3058518621,53651.1416527143,53364.7348093979,27762.315607812518,17214.370996253037,2298.5139287062343,27329.804987129024,32397.77736784224,21.665934654634004,9999.99999991208,7407.298629837403,1424.5526287289579,1.0000000253900709e-08,5.424146051130687e-05,0.1435692508485958,0.02428641619834712,0.5317372517571992
57,-117.80854606242154,850893.5754482729,55059.46707548523,53685.05956389987,28149.12194901465,15956.35479928165,2280.1237210660356,31244.57300210935,19290.558195043526,96.38136522763212,7074.292534094232,4109.222914024111,1369.5267253639047,2.3913656233709737e-05,6.793388317623209e-05,0.13314432794912642,0.02606452908503782,0.5951906372669634
58,-153.93287405575427,800984.1877699302,56582.06933701103,54566.83321596619,22003.55015232251,16946.363792187214,2420.3165601939304,28631.610249044305,29550.2691556357,151.77338544983814,4947.087330675099,19999.99999983631,1365.7848863122815,1.0000000071998497e-08,6.621562094155314e-05,0.12521323209061097,0.028560884535238303,0.4790059687072719
59,-199.23116836630464,791394.5091777727,53119.65666226771,52366.47519826885,24524.179333971617,17148.019386828677,2513.912561168639,29151.429172704047,24110.78404322708,53.641534388741164,6092.018675108273,19999.999999899763,1410.1039250969209,1.0000000112287513e-08,6.510558140812133e-05,0.10890005416350755,0.025927415531016268,0.43554394218557113
60,-201.89650232254013,798587.0350857414,55495.68121350856,54318.14754057264,28185.05036633243,16269.787666124621,2543.1184575988345,30891.54728098547,21893.872621785988,82.42263741805176,8060.822253090128,6490.085267390722,1344.3141114300408,1.0000000237837682e-08,6.969188915632345e-05,0.09108334494926017,0.021873459833690823,0.4934747849285017
61,-186.76989016072338,794854.6454270503,54009.0342820611,53458.929911358384,26686.84473069227,17546.57909321853,2264.8161100870866,27422.617843543656,31178.979042845145,41.64961354487602,5852.789884454312,949.2550849530479,1796.1851288611715,1.0000000113446658e-08,5.076096641318495e-05,0.16449002609181504,0.024152116823078697,0.49365586310926723
62,-112.85595741106036,804233.6278765934,54306.04738199539,53049.898096306184,30219.538647334757,16815.556525265212,2384.5847179923317,30878.999271378234,14229.589751997153,78.64657835245401,4857.159196862266,19999.999999855423,1413.0488941928556,6.253581482996755e-05,5.958299719738117e-05,0.12833112115873538,0.02376233215978806,0.6655909724230464
