sample,ll,T_NDH,T_ND,T_AN,T_CV,T_LY,N_A,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,N_MH,N_Yor,N_Los,m_AD,m_YL,p_V_L
10,-837.174367565166,868218.5241780236,701568.3456850955,124370.64245619289,60604.00479213373,48000.00000000049,16050.973898253109,13673.392733741148,2851.161888558562,3227.247266760024,403.5154015284027,244.58336550280566,911.4968146737987,56287.72217640726,3031.845281398623,434.6365115787855,7.351642537568534e-06,0.0004485314062433499,0.09649483263661934
11,-611.9527941578917,798268.378644393,579325.5408499787,122732.37740703998,58364.915319362924,48000.00000010144,16764.80604589243,13507.267882238919,2819.9005384480997,3188.887848210843,378.0417797403848,154.92694483223846,737.2895388772047,51417.99034514903,3171.7121686123915,460.98456973314705,6.468233321627977e-06,0.00040463124368682806,0.08436718305540496
12,-665.3978944158971,813017.7849278576,758774.153087737,121393.34974529885,59383.60216214302,48000.000000000065,17173.165472747416,6710.438302514393,2752.873099714542,3148.416611408311,244.52564735134337,190.03371848443126,860.4458654941137,52477.69177475358,3179.988564734348,433.9994613758947,9.647182060000808e-06,0.0004308053585511737,0.1075691034258267
13,-749.557594481459,812914.9403119226,604971.9182649606,121597.56511983204,62378.88962226957,48000.00000034044,16928.03516191434,12362.494229600386,3045.220376093209,3232.4917568500186,297.35412678904413,446.7120334840597,1156.8698033367743,55319.43274543897,3191.020614953532,431.0627996624298,6.893517139608753e-06,0.0004524339493404631,0.11486514537132503
14,-587.2962741822034,838503.2545557845,610303.3433575344,123431.67157183516,59374.96764981153,48000.00000007595,16236.309929395626,16242.765460323362,2791.5939736722594,3077.303569169238,308.6092449273804,181.2520484323107,751.7344163002467,51370.173684352296,3332.8861981305336,451.0573411968754,7.688247300464698e-06,0.00038099985850941365,0.08271508721854733
15,-684.2327577522101,843876.5546601006,687172.9091010801,120034.39495696664,58061.946381598915,48000.00000019592,16202.813525816246,11512.391806268986,2813.7925809353605,3379.142595805743,208.75701435740748,101.43826209865843,736.9373795733165,63022.139881294184,3098.393335628834,393.10894439057813,6.690155630915879e-06,0.0004837470652901252,0.09404850059670672
16,-799.1348802386686,787633.3642122966,753181.5113920135,118911.69404778305,60579.18228167901,48000.000000109205,17488.637290567687,3095.016587847508,2827.760956649199,3331.9982958668306,125.26836555510229,282.30614941749434,897.1496014650396,52566.320394430455,2934.3191005354047,444.4347922669946,7.899146272912326e-06,0.0004277994713199236,0.09728271523190181
17,-648.9751784671223,840755.9145375952,678584.8320018036,126880.82552176634,71493.38854036549,48000.00000003494,16207.957847400228,13067.358477228963,2613.889496404007,3160.386714562162,433.828788999869,852.9557521790342,1405.406896000732,49089.12269080944,3534.9237746852396,473.14164611499467,7.504452470550148e-06,0.00037308077664766184,0.08006594520337583
18,-575.4767537741176,782055.3590604806,657101.581194967,125192.25028101027,65368.173943038506,48000.000000265834,17063.271134720173,9444.455206760396,2763.141916045214,3228.0625727655956,474.66875606016,513.1089372660444,1214.2530041639625,55431.27565589553,3142.673997921004,409.91505365183866,7.3444089482432986e-06,0.00044949048090928465,0.0987585912773261
19,-650.4436880538915,789966.1566175009,611876.6382188895,121869.28855469152,60389.865189683,48000.00000022601,17120.024844706106,15080.581361710267,2718.788311481868,3039.818550697663,249.735498450508,228.9308313152144,1038.6809827137652,54381.244488951525,3421.2693100016363,427.8877117639679,8.176217557478464e-06,0.00042916292833376687,0.09179776350866166
20,-610.1400780849023,804536.1948844977,637851.8845177316,131168.159011855,69567.9731106784,48000.000000059066,17051.613809467188,12234.683822294359,2741.8242590028917,3115.2317616547757,579.1536462011268,1071.0614609447598,1512.573208466434,53575.59489416478,3092.8849623122724,443.52349473514977,7.45839664342097e-06,0.00043446122108127907,0.10010324532395387
21,-565.6890865667248,833740.9785331127,667198.1483633145,122670.82233383047,61163.07290636885,48000.00000047712,16268.612091475288,18776.653971809683,2596.589566702029,3023.5254688086234,285.43688317689424,293.01066483262133,897.0155327785021,52745.16511697773,3374.468267916275,456.20353282249556,9.231535142296047e-06,0.00039772268006701874,0.0779016278919466
