sample,ll,T_SA,T_NDH,T_ND,T_AWN,T_CV,N_Anc,N_H,N_ND,N_Den,N_N,N_Alt,N_Chag,N_Vin,p_S_D,p_H_N,p_H_WN,m_ND
76,-375.0624803281479,2499999.9999943613,685448.7336064719,647504.9959841849,119098.35976699923,65690.53105609947,18240.729084215138,26730.786220246715,1734.3700849970785,3168.364403562083,2547.639981411518,199.82662598805098,520.9077588503435,1180.7653531293104,0.0059655601148350754,0.09143847613125437,0.009082354006422157,3.8529070390426166e-06
77,-267.25223032167423,2499999.999997816,746121.7552153016,725340.672112398,124793.46634291021,59928.04707724129,17311.191773364026,28551.326284615847,1146.817947867014,3209.443777270064,2642.3272557752352,537.2157806758225,241.59867048614916,904.3476660353365,0.005151399086679359,0.056216472663212246,0.0148936161917169,4.605694103857395e-06
78,-299.6689368182514,2186764.527270599,690556.8237674882,665871.2868461605,126242.91491735978,61876.34871845402,18115.057857628253,26342.783516153144,1228.707949897523,3474.5596594003086,2679.459001920052,719.0670571562471,394.37577268066116,932.1377997541101,0.00935361479281352,0.052071729858094835,0.015464657586680718,3.240662150206383e-06
79,-365.3519892066971,2436860.5679212636,675622.4905825017,655330.3449204947,118693.3078050322,60797.54970839765,18399.949618627208,27686.502407076234,1333.0284737717764,3330.5405588606773,2791.254176691407,213.24668659478243,283.1118511883239,826.6868543685148,0.007709975900087592,0.04098966291224221,0.009203841854338306,5.891019596943605e-06
80,-318.0308591897112,1298134.1711575706,739499.9798793568,709947.5706941962,120959.84187737876,61426.550582137024,17392.18812221242,27610.5216849412,1723.8249682355292,2994.7148129658653,2435.7119167574647,330.32213105641716,455.6952119072732,845.5802984517946,0.011783392048947919,0.0714686395016992,0.01675667321417927,5.200533714493141e-06
81,-438.36662860683464,1069800.1866339045,736900.7945668907,718631.8465602847,117432.32345775924,62825.6955901798,17396.56383041496,28695.894965420906,1251.3116775802828,3087.443572796525,2588.8256034980177,118.25082869123791,460.01602244285027,1143.5060947405364,0.036695347243981324,0.05355141305781686,0.013452788087956033,6.736423931678692e-06
82,-294.89035008583016,2483044.4716885425,738311.7312666384,713639.8481240852,118035.2915184938,62263.035743040404,17537.018041796415,28651.644245060368,1359.5874793192606,3102.487955502868,2794.8136371752776,141.21387355397437,320.9425353667741,814.1552696229161,0.005683199859132966,0.05610613505109788,0.011526464775850766,4.638017315503145e-06
83,-265.6284039055723,1106636.6586488783,704466.2161226383,688487.5469864141,131712.7020894792,64977.849163724044,18031.06399413565,27266.634620184253,830.5056869517106,3395.047149575083,2657.5844067605694,872.0928139169811,469.7493521677998,1085.2466918862779,0.01847500309974632,0.057981275430091815,0.014693156912848414,3.752645834085025e-06
84,-377.5384464974193,1000000.0000905689,705997.0602125742,686553.0707450417,127035.4307471832,61412.747235454335,18105.13050153012,26307.542091335137,1008.5553250347784,3253.932195722077,2735.4228343866976,747.345525708031,298.469957131437,863.0146130935976,0.00028138948988096793,0.05630836863761368,0.013131140225245308,3.531706968968054e-06
85,-404.0563668809176,2380718.886648079,711732.0140452838,667826.9252076225,117337.92487755475,59682.59177408568,17694.55234235792,27699.780037100172,2358.56623123137,2956.8284604070327,2548.7908999800693,96.91313293706197,190.07535500510835,708.3078287590812,0.00897380344331948,0.07250358511898573,0.013372525923922999,5.047196085282259e-06
