sample,ll,T_NDH,T_OOA,T_LS,N_Anc,N_Vin,N_MH,N_Yor,N_OOA,N_Stu,N_Ust,N_Los,m_SY,m_LY,m_LS,p_H_N,p_N_OOA
56,-203.02401197612573,803063.3242375788,53788.37700891733,51417.50433448475,16922.86695700847,2320.0266116853436,27336.020813618907,42395.52801179907,181.34724780124802,7118.781683647572,9999.99999992732,915.1893545795544,1.0000000092599333e-08,3.951960958297002e-05,0.0003991494547732045,0.14248428681349742,0.0255398545329454
57,-126.07924933906322,840855.3748005647,52143.93134344033,51060.86661772654,16013.651651176677,2334.1797586877356,30578.94539343607,23117.709274037483,76.07405654370295,4955.936498017835,9999.99999993702,874.7589378554496,2.4118062110305155e-05,5.0057484636087085e-05,0.00041978635901986474,0.1264502516012702,0.027266416270202442
58,-158.9646318350836,777196.4005151917,54240.38613937495,52966.423733270036,17167.978270802654,2513.4802907428907,27503.709544641137,42699.53861646855,103.2363176534825,4547.373855359615,9999.999999964339,876.9385508239526,1.0000000268290905e-08,4.305280233708139e-05,0.00041659345171410936,0.11327206739379787,0.03093347628499268
59,-221.0397767329825,785609.3265472868,51898.20309932351,50871.13825329463,17153.52006726675,2548.0638206693775,28692.373254214403,28081.876825852338,75.43931974713743,5458.37347418445,9999.999999958442,965.6963509176309,1.0000000031960587e-08,5.162049660108518e-05,0.0003347387567248465,0.10519565814376602,0.026517864058228414
60,-231.87689782032712,783742.8619228768,52346.538972312206,51487.55622970022,16410.499826409865,2578.977346571213,30165.242968392922,24994.5008037221,60.153153964498756,6345.368363136882,6664.977875680348,914.5646091203137,1.0000000330791028e-08,5.588290309074004e-05,0.0003223365043863228,0.08673734314103915,0.01976263507947862
61,-225.63618010146797,769419.205188764,53588.57064253707,52046.20561618293,17791.5837859794,2328.3543552226693,26787.515658460707,34481.56903437097,119.11733327225377,5093.797003783838,1153.893969499408,1240.463128323294,1.0000000085031876e-08,4.060123544265229e-05,0.000330353253401944,0.15277503371970136,0.023332129024520434
62,-123.78283908732008,783747.0065066094,51583.40603438527,50265.8839659211,17042.490915151735,2432.8889991742685,29747.66769568181,16677.821727761766,81.39499595894183,3567.966501441659,9999.999999932756,933.6007643438744,5.764720959726254e-05,4.3994548538693986e-05,0.00038496316512369596,0.12294039698729282,0.024549306875230957
63,-162.4041325877177,779341.7097993381,54792.30787522713,48359.62738636882,17134.450311470788,2402.3964415690957,29127.038132597358,28276.433679121048,444.67545978204924,3670.970403767509,1102.5816345024023,981.6564174127673,2.1762649350540233e-05,4.664421812254059e-05,0.0003854092309203919,0.1133605110053182,0.01679685882767674
64,-122.44713369361725,790446.3306874107,51173.691652573165,50466.99191583615,17000.024905067334,2310.930545936502,29610.557638182763,19329.54675559786,47.01896752783689,4973.4640598615715,9999.999999928901,981.0563447460156,3.2271314665430305e-05,5.5073877116977566e-05,0.0003640648390363029,0.13107815661309552,0.022365957487360318
65,-190.2658612239922,800779.8834320512,54795.59789687784,53852.078718973375,17094.456171387028,2660.6656191400775,28187.850492333142,24958.301788648358,81.77665199986025,4574.868484180878,9999.999999912754,957.6330313824664,1.0000000289648009e-08,4.2371654540836114e-05,0.00041840717070014324,0.10042241910147409,0.02524657394225644
