sample,ll,T_NDH,T_ND,T_AWN,T_CV,N_Anc,N_H,N_ND,N_Den,N_N,N_Alt,N_Chag,N_Vin,p_S_D,p_H_N,p_H_WN,m_ND
41,-483.02133937904415,776355.670981138,710400.7978940292,128286.32380831483,63688.64654605763,17247.88104464889,27625.359557058073,2572.3558375171983,3435.5449644002674,2760.376494755516,786.5942685386001,372.7779397745527,951.516086802091,0.006682801513143367,0.07568345918035749,0.009206245637308227,2.078526418166898e-06
42,-353.00351050701755,751808.4699683943,658501.9283497516,118860.1713527349,61489.01721917915,17172.878740310807,29393.413487640853,4478.763905951933,3415.80338661029,2697.7793483199102,181.02769274548908,268.0155718543856,930.1846584010377,0.020619834349292307,0.06940276513341422,0.0070281254904644395,4.208677006116009e-06
43,-428.42277395651865,774379.700099857,657406.5251946697,131783.56290515774,62894.290051668366,17125.712603036398,29142.10174369528,4578.501751334773,3618.1800865474847,3147.1614120877043,942.8781318307289,314.1723290113678,981.500819116828,0.018161831041880183,0.04730296937902852,0.009899209311223026,1.6027063926515532e-06
44,-398.73687142029183,760780.3106181038,672062.963674016,131035.25055463234,65040.21775120142,17048.781703802462,29194.628000647583,3595.9633836603743,3428.2261172410053,2886.2958465102724,815.279562930165,461.98357587512226,1074.9183073387965,0.01698270249107282,0.05299507783014255,0.01150437243670139,2.274133371438063e-06
45,-525.7867091444555,755833.812428904,611697.4433964293,122611.83492646413,61158.01480047226,17159.27017230721,27813.065917843025,6649.538042391816,3279.7330678205235,2858.465071099153,421.1873554165283,303.8194744843438,939.0563923269584,0.01597580981077479,0.04653189393874423,0.009706110716429283,3.422271748914788e-06
46,-388.8923674243314,764873.6532932032,722342.5185594034,121684.65912207212,59806.37604483438,16984.89512068219,28518.261625692874,2345.150886037183,3477.489645010807,2702.088646299332,391.9960404422933,185.96225189155606,698.5379495541216,0.004003016175354185,0.05580625636356251,0.01267134965064889,5.067530765135136e-06
47,-587.9485314519641,720437.6824261628,655436.4326597658,133528.137249423,60560.77116304998,17598.002528331923,27598.354142014072,2225.5428534130997,3653.2556594402745,3004.7035466968746,1011.2294777323941,186.01438242277138,778.8947185188251,0.01745681529175677,0.05796776090006432,0.010717614369755631,1.0000000002921592e-08
48,-248.57236081406148,776751.3365246339,672310.9996295782,117161.79392693087,60087.48638746063,16677.15847332201,28910.7047929468,5110.403422602323,3064.602530032041,2544.1185706263636,104.60014923986692,212.2491404847747,716.6485658279472,0.015376816753810266,0.07032414600027238,0.011158387182124075,4.546727928677884e-06
49,-409.4931153447015,780153.9611136538,646100.6527362509,117026.26180101691,60047.315943907604,16967.341640053724,28529.769093782008,8062.048544668939,2802.214837291838,2650.1681584008115,86.24997536637962,168.4240041329379,681.5061941027136,0.02028808560168896,0.044825767960713366,0.015448749914155745,5.9402458690506235e-06
50,-455.24723264473863,794965.6746473898,710811.0803448891,128015.96246145686,64655.888202826325,16922.048765802298,30176.99221321896,3981.411456110714,3256.461694367238,2889.2430681505602,718.0136517385987,488.66731867167226,1249.3218798646435,0.014691235944664607,0.053987219320718226,0.008529983920091128,4.070147829188324e-06
51,-327.0902913540676,761664.0825717791,720056.1669164407,124326.21723081534,62739.517080432335,17269.043801084943,28971.4654929568,1881.7852674732912,3417.3475235921246,2760.215805562809,475.39349885040343,345.0047140005864,879.8122390976489,0.009697282383266002,0.05892074204380843,0.00970061495622956,3.4728999923848543e-06
52,-457.070205617198,786892.7347403038,726754.4567322116,132451.5429364384,68713.62163861138,16521.44347977956,29890.033250150624,2185.4876453455727,3588.621775287595,2780.538803693012,1250.2694869961658,652.9740678572725,1106.3450826797016,0.008091549041397401,0.07388645303681653,0.010804797771046407,1.2117129212306424e-06
53,-321.1157287696678,764638.7372901468,665324.696483895,127742.5291163476,63823.15436711219,17094.50710916006,29580.131295177303,4297.921822094048,3349.5685879401826,3034.822768977924,808.8104088622573,371.73673529279847,1084.9772646644883,0.02752280756741875,0.04398569581511147,0.009440064281097265,2.8292104462158045e-06
54,-276.2356758675878,738865.9548835088,711068.3655789295,141876.49466706373,72206.44409262795,17670.492390045954,27831.663631087147,955.015268278631,4034.714904078763,2560.4330584173154,1906.6509879005062,959.8896010222445,1494.237251020091,0.008213356463315918,0.07621171552823516,0.012823090226430767,3.2853834205736443e-07
55,-247.96875591697312,741671.5967260834,691404.7408890577,123369.41590665582,60300.13688458363,17375.820663077113,28661.254307418076,2140.275574699704,3611.1153928634653,3074.5928219786774,455.6009109425079,184.59340020420672,641.3525616876607,0.013458461540966733,0.051561099873042894,0.013351519647839422,2.435346159110064e-06
56,-363.3635810181388,771091.4451571751,550218.4863005455,130175.72094311022,63662.02139322433,16827.88678938716,30139.472497508163,8782.846428724528,3160.5066483748756,2776.7123725189085,1083.2104132850563,363.30799339347385,946.8585772598796,0.017255270068399525,0.04252578434755743,0.015843745762812153,1.4048219041320867e-06
57,-309.14943899974503,717904.0212373034,675934.4301743798,125383.40097345857,61285.69559258481,17948.355327130124,28106.354050830723,1713.0646805882332,3536.24899282453,2950.022969148752,556.1438688811841,236.40648766437158,893.2113200624052,0.013849351142685252,0.05579145943348243,0.008896301409883896,1.958839486967754e-06
