ll,T_NH,T_OOA,T_Ust,T_LosStu,p_AMH_Cha,m_StuYor,m_LosYor,N_Anc,N_N,N_AMH,N_Yor,N_OOA,N_WEUA,N_Stu,N_Ust,N_Los
-1116.2891164402886,821756.497106271,72553.25684995612,46664.78607114408,19426.155565093577,0.07816448527654808,0.0001514213401376053,5.613401103265611e-05,15104.013689953284,2413.364255483684,29288.909219639296,20261.150427018547,1710.3888722667105,5114.905814902782,9999.999999974127,380.66178047489046,612.4778886199263
-1128.517927017027,858772.3581901608,63564.76797885227,47276.903938037045,29442.483471203024,0.08313873031438297,0.00011525634969459659,3.3447625957070194e-05,14560.149276275488,2362.6858328127205,31251.645898318344,16206.443826784098,1028.21805861894,3268.3233733931074,9999.99999990023,516.3225493707633,1164.6356375155274
-1121.6515445521286,777310.367202869,59771.141914134554,47417.31036621445,26964.374426237504,0.07351616928913512,0.00011078955800571669,3.612488105240271e-05,15755.728294798828,2441.348608068673,29038.299215711424,15502.878903294451,799.4128276481352,3846.2938814459153,9999.999999930908,490.0784343818007,1009.8817174746214
