ll,T_NH,T_OOA,T_Basal,T_Ust,T_LosStu,T_Bas_Stu,p_AMH_Cha,p_Bas_Stu,m_StuYor,m_LosYor,N_Anc,N_N,N_AMH,N_Yor,N_OOA,N_WEUA,N_BEUA,N_Stu,N_Ust,N_Los
-514.3748076830693,841330.4582872777,74421.17124903284,56206.45253046621,45330.36641976664,28494.05654068126,12268.147226818513,0.09810187024713986,0.7156568976805036,1.0119872654553235e-06,0.00012814073148180956,15101.589304326702,2351.9857101591665,29849.57652846966,17459.983862618385,1589.2424701928855,539.6837740215092,19999.999999646097,2516.3481188689325,238.5833935816093,9430.276968872879
-508.5506405720652,814172.450548034,62555.65102750779,51766.26736032134,45028.57697030397,13597.039179916952,10224.726071318602,0.09708168554681433,0.7155514322479039,2.7074217980928075e-06,0.00040615210413899887,15511.21343708065,2360.099908643614,29726.59355436718,14418.646349726952,960.3515499084348,942.2412637394419,19999.999999471234,1507.9712697884447,14.508952352175601,9999.997918330562
-500.8812689202089,807234.4534909916,60645.977875823824,53246.444928781086,48815.19336832591,13747.62012552819,12766.973308154427,0.10104418146841349,0.7336682451561619,1.0039668907917031e-08,0.00038416791304694256,15637.984239190719,2322.224404699263,29455.448200682316,14074.315363061578,643.308946677089,1051.8356470543595,12337.374262751957,3025.319549609061,2199.385320687359,9999.999999978834
-505.2727326953132,813650.74264871,56136.987576674495,51578.90438535273,48969.999999998734,8042.512831835543,5000.000000232564,0.0958990893855491,0.7362843574260284,4.8225755870292545e-05,0.002265913035463054,15514.680450202119,2369.3110357138517,29890.99408143376,13084.905413156679,392.3952355191737,1211.5192902190763,5864.685887507004,9999.999999720943,1871.7397134627706,9999.99999997958
