ll,T_NH,T_OOA,T_Ust,T_LosStu,p_AMH_Cha,m_StuYor,m_LosYor,N_Anc,N_N,N_AMH,N_Yor,N_OOA,N_WEUA,N_Stu,N_Ust,N_Los
-1123.491022859579,823586.1073302429,58083.69726881492,47087.02882788971,27764.214939469875,0.0839041951686217,0.00011313074408217052,3.591260447901042e-05,15100.75887041675,2344.786161349669,30383.669612985803,15058.53285817109,707.596011729684,3597.750427732933,9999.999999948795,421.7422216006294,1061.4163221472488
-1120.3182548150799,805364.9834516715,53986.442486570224,47494.03354944259,22571.91011948046,0.07769795246612443,0.00013561946561668084,4.778742138582345e-05,15344.657572192566,2412.2375685066977,30058.15585029184,14149.396284439914,423.7319260321404,4659.161454378209,9999.999999954818,474.44090575084465,771.5593087711948
