ll,T_NDH,T_ND,T_AltNI,T_LosOOA,N_Anc,N_AMH,N_Yor,N_Los,N_ND,N_Den,N_N,T_pHN,p_HN,p_NH
-97.92739180991876,747167.7183594438,659322.8062886108,110002.7019711158,47000.00049036715,16584.840009086904,25039.096432531216,999999.9999997597,1103.2002575784584,3308.4548541882245,3853.7121171713065,2386.9786387044137,265604.9458265478,0.09686660163219331,0.020520204295609402
-196.97379792820163,562623.4304003107,478034.32062941237,190235.45412429294,47000.00000000002,19346.298893599993,19556.226456155702,657374.2790334172,1093.4615163978965,3818.6832392171555,2983.9832789177317,1877.0431767598577,233731.14534481126,0.09468509139657164,0.024861029596784767
-217.71697667579252,524953.3011776662,493595.79901646805,204318.89695841292,47000.000000001775,19928.940847523005,18284.45161923023,519719.82665637846,1087.3267762227713,1334.7172125606023,3104.829836961862,1916.888346971582,247761.50264611616,0.11066882630083183,0.026106238563614628
-215.70627787519305,537970.2206668755,475592.64847848384,183124.61817214344,47000.00000000002,19743.32914205899,18725.363120169415,480770.3127603033,1090.7670901308702,2708.1800634210153,2997.1404658948563,1670.42161114567,214645.29656489746,0.10029966277455687,0.024902792606177313
-98.0376102033677,749322.4976525938,682601.5310639251,110003.65342469624,47000.000000152555,16547.46770833813,25077.908350065114,999999.9999972301,1113.9704513523018,2451.981909920551,3948.01043071262,2557.5627166525724,290453.6788291471,0.102810387837369,0.020410282826442923
