ll,T_NDH,T_ND,T_AMH_Alt,p_AMH_Alt,N_Anc,N_Yor,N_ND,N_Den,N_Alt,m_AltDen,model,T_Gho,T_Gho_Den,p_Gho_Den,N_Gho
-31.784298426643403,785609.5671662396,759592.0180828396,346107.6497965708,0.131572110437257,16156.99232162648,27647.186545307883,992.1693980513894,3460.2733437206216,2248.349782100052,7.840958627066079e-06,rep0,,,,
-31.731639186864363,785505.0413117447,763805.2762262595,347105.5889537327,0.1318768463143029,16158.846165889152,27644.880903157693,825.5119683005611,3461.9765215091284,2249.2992298580702,7.91200639487059e-06,rep1,,,,
-32.53039144494043,813481.4434678991,789668.3208081566,350309.63427271217,0.130313300264535,15723.89602188499,28394.276471060944,897.3018935449593,3447.1337451051268,2237.8112732606146,8.496360119309659e-06,rep2,,,,
-31.702638898149427,788677.5103334511,769997.667521919,347382.25339645764,0.1317067437320817,16108.930320784748,27728.17850263097,709.0987225478999,3460.1323890081485,2242.479933166621,8.052751972969997e-06,rep3,,,,
-31.711303445833902,783344.8579563223,767383.2673298178,346538.65435252164,0.1319496291568889,16191.52034828006,27582.622888739672,606.1610593748493,3462.5490300023957,2241.6545800815697,7.97523542603424e-06,rep4,,,,
-31.82701702617653,790745.8639698,759845.2601630301,348812.0820858096,0.1320895453557574,16079.441727675628,27789.60628759457,1179.2021496946757,3450.757238363979,2253.4977526002867,7.94727120293367e-06,rep5,,,,
-31.86844562284051,781220.0781050473,754794.199143829,346152.7061985639,0.1320212807346338,16224.466482176202,27527.323188768765,1009.0221868612624,3462.1559417013327,2252.999094232142,7.727378345078107e-06,rep6,,,,
-32.163597442795016,805490.439483421,766646.8613971064,349144.5078385404,0.130912903628491,15848.766835499364,28185.059681198192,1484.8507478083477,3429.666121514547,2238.653747780389,8.280385259350936e-06,rep7,,,,
-31.9295329645274,773524.0438217428,764943.5190923879,346306.2616472036,0.1330991400312887,16343.603068075889,27309.6396618402,325.8259047325536,3461.836714360365,2237.0057266944814,7.956931280956151e-06,rep8,,,,
-31.756409099691737,785856.9105788016,761688.7541186122,346808.9936152773,0.1317428751284045,16152.977365653234,27654.02349461763,920.6788952986273,3460.3800758857687,2248.851760038868,7.884094278934893e-06,rep9,,,,
-34.859362106915114,789623.8676035575,768334.1086996237,259564.0203183906,0.0805195310725666,15936.804208718524,28231.98348512352,804.7825441603721,3261.0754715399235,1875.083849199208,9.81281315933372e-06,0,921221.6181862524,768332.3197840311,0.0784140878944232,99999.99999368044
-32.583641060497065,786911.5085973452,728217.7116153721,360051.66045708087,0.1323070299719332,16119.232621870276,27751.71750345043,2261.288395054286,3434.655412083063,2338.111672992216,7.398642127311166e-06,1,1812585.3013600872,728217.7116150254,0.0010360810398701,99999.9999930678
-35.99820244248468,805410.204317857,763842.4734115031,287499.12026276294,0.1079317360284965,15807.772022900574,28323.516611194576,1752.4007464708384,3156.4963001927067,1802.5006713235607,1.1181781536132552e-05,2,3999999.999972771,763842.469016283,0.0006541289915972,7916.331748569557
-57.58007540136042,801969.4867978548,707287.4036022683,219429.45350995683,0.1035111645652483,15904.479574570869,28063.724874445317,4641.585839946774,2724.66472298652,1160.1167264612916,1.524581314163116e-05,5,801969.4870333343,190095.36028803745,1.00000000000828e-06,99999.99961670308
-35.773394412423364,814187.7111143249,734413.007762227,379137.70670840767,0.145501006024522,15714.795851526154,28422.93109241917,3266.15636316375,3092.9111406788866,2114.6384833893662,1.1125136026520844e-05,6,903400.0689293063,734411.3500873784,0.001922016623456,99999.99999621532
-41.381738562033206,819578.1378293469,606910.5283862886,346142.0954071839,0.1311128206671156,15637.130754217244,28581.102781486148,9478.362247029152,2895.3854382171044,2015.249727824064,1.0255315955575626e-05,7,819578.1378342271,418366.67469477793,1.0000183001504685e-06,99999.9937942688
-33.51966550892996,787216.068295958,705864.587713901,362858.53075519775,0.1374925341093854,16135.614460176796,27717.6292807417,3228.8417117670024,3321.959476502152,2276.875727214797,8.154670133633775e-06,8,787216.0889402556,348395.1872762338,1.00000000000064e-06,99999.98793234702
-38.03799982762177,833123.1789380593,637769.9522981074,342415.5646099051,0.1240787806462904,15417.250711922208,28957.86177509477,8025.457706424266,3190.741049553781,2226.440496361848,7.419036023440114e-06,9,3999999.999999999,632245.1889641297,0.0001074897430675,100.00000002642912
-34.1243151499551,805837.8331124804,694548.749140781,371275.0991305493,0.1382126804409305,15843.432712118549,28219.758971687137,4321.586318560405,3357.374453416372,2354.2852141220387,7.3670260694562945e-06,10,901619.5380581414,694548.693448229,0.0033087801705456,99999.99999992026
-34.49499857712392,753715.3665644058,698173.4751789937,263989.46076342807,0.0723620124494679,16453.093675343083,27373.15843880052,2069.2774272595925,3610.418460610666,2392.9516926101114,4.038638853451237e-06,11,1037772.9666539824,698173.475124055,0.044334525725517,99999.99999990818
-32.48692976643393,761729.4069588013,729467.9325693643,305911.6855761408,0.0943042263219261,16393.05845404075,27399.092128306896,1223.8768560464491,3487.036593834613,2304.5108469189263,6.596607202691676e-06,12,1006349.2210345402,728920.317715389,0.0350319259569933,99999.99999434002
-48.49735467777322,697108.4549391799,639459.2761142534,357456.52986470173,0.1176024107752867,17402.20223943903,25495.31050270348,2272.001624964968,3451.2514080077603,2551.078730120228,4.165580668424463e-06,13,2342596.8896109723,639459.2761129006,0.0037380755424283,99999.99999879512
-43.53320095900278,802167.798396691,786209.3539050648,337971.7874754249,0.1348588837153313,15904.849075929093,28112.52987876775,639.812548793126,2823.654571576374,1706.4370507431588,1.5217240082110442e-05,14,802168.0679316294,786209.3538978485,0.0822028284512225,663.4938530309307
-33.31629906743833,815349.5810046167,731594.1563776293,348117.5048533675,0.1290939794014839,15696.83701732277,28457.83749610478,3196.2373216557726,3342.20414489716,2302.9647660472583,7.239078203785411e-06,15,815349.5810222315,141609.86051012724,0.0026901526784751,99999.9182605045
-46.6951983462212,748813.2668262615,715541.8827001696,300229.2805785362,0.1278747815593332,16731.310585166346,26627.82168387844,1162.0424865954424,2850.8073714837187,1629.4782232489893,1.3915178969910607e-05,16,748813.2668262696,715541.881989356,0.1984101513406866,286.3084451598377
-33.91383173832983,779585.8391009761,701834.4708941156,365246.1596498599,0.1392773809831935,16251.300080963558,27501.39618694925,2782.127839276592,3418.7790645673776,2392.259244565788,6.432681449473957e-06,17,779585.8391208622,635983.3093914806,0.0492780158372729,99999.99997455176
-32.63477612977106,799399.8206490141,712208.5665132502,318349.85529652535,0.1029008978528323,15848.50152427754,28342.471584209165,3448.414920251945,3444.541888971009,2304.0765171876715,6.708924343885853e-06,18,3999991.6884865393,712205.3666644784,0.0013595363487919,32851.71334929152
-40.2525856945188,793485.7483331439,650803.3337595556,401919.2756023315,0.1590643003757268,16038.4547423746,27851.16500464265,6087.15317382313,2942.498860998241,2122.711154820324,1.098171146182602e-05,19,793485.7487686357,201332.41668969684,1.00000000053203e-06,99999.9997157124
-36.97657787475836,746780.0359406788,700806.448092396,318198.2869405426,0.1192483552348591,16737.47636117643,26588.580404250133,1860.9046320130544,3374.044245361257,2142.163028775252,7.2728912395350304e-06,20,3657263.458609228,319148.80343459354,1.0000000011505985e-06,23530.46852246824
-38.42935153028966,766851.3265931795,692202.4713489249,256581.17810406195,0.0913552402382388,16380.94601237076,27326.74071830246,2686.6886797388283,3486.8549286737466,2293.3614838946005,1.4548970703863277e-06,21,927136.421911254,301269.3192984904,0.0216445257768091,99999.99999999984
-32.73772518138623,776665.4715462528,759745.4770320052,297953.1155509373,0.1108653072790305,16278.158704490012,27403.12998221912,586.8937897413583,3422.770272878148,2406.0436602644427,2.7316012291277376e-06,22,851164.5134826436,94571.60630141504,0.0072913986970542,99998.16087275858
-34.666516795589885,843652.3547592969,800129.1902967766,302854.12127115484,0.0929067161109145,15133.833645500408,29573.416280974565,1648.0007027973131,3519.810532790804,2231.871574478392,7.741237859657664e-06,23,3999999.999575904,800129.1902934266,0.0017434011386391,9491.990465587482
-32.428997502601035,762680.2269455916,734054.3048915835,311218.6706629387,0.102343680225588,16405.348939087457,27335.398743354486,1101.286712462918,3555.71830767327,2328.965488143106,5.959059453309228e-06,24,2680328.9062576317,620561.07765735,0.0026921772739438,99999.99999999913
-31.89078220259779,794504.9887202755,756786.1457780524,335619.39985409525,0.1151721141701537,15956.781609960824,28081.40252267581,1435.359758449861,3428.725331799461,2261.7841054667447,7.932623490837338e-06,25,1017143.1305965916,756783.493888038,0.0179634637795789,99994.20959531891
-34.46826456631922,740671.9396771941,708577.8192236248,291650.3947336589,0.0848352309099347,16685.80063985261,26900.999976630465,1063.478868807267,3559.7822916205646,2410.6502502616995,4.865310574584158e-06,26,828258.4140059896,708577.8192235039,0.1248367630785205,99999.99999805776
-32.871887079923205,803775.9135266149,740845.3433389147,342380.01971978287,0.1296905877639223,15873.702375509902,28149.38929772717,2181.9859015602924,3284.6428700916344,2184.515018504984,8.543651807251403e-06,27,803775.9135267619,672586.0497393373,0.0932710626792137,99999.75647948946
-33.893715882931346,800928.9069480826,690192.3287448969,354636.1750599827,0.1258090235708608,15887.99687474194,28192.214045065077,4395.117486037933,3344.4948463400265,2323.856461428392,7.338102784434692e-06,28,2274749.5769267604,690192.3287447252,0.0013196419171435,19029.439272645017
-32.011520129312096,790925.3399079487,734881.0824185102,325460.31086015573,0.1136321902507365,16022.00303529034,27965.14267343635,1655.6889567491132,3449.6847163257157,2272.730921038402,7.091896905569113e-06,29,809444.47143079,734881.082345808,0.1893230289433481,547.5555508927976
-33.23018805760868,754999.5511853176,737978.2180284032,320058.5175308353,0.114015837605123,16571.421727542493,27002.52585174236,507.54511542974495,3390.454356188785,2167.991554879892,8.170006342930592e-06,30,775998.2843290546,737978.2015292934,0.1999825925532924,133.89122306744153
