row,T_KhoYor,T_X,N_Anc,N_AMH,N_Yor,N_X,N_Kho,N_KhoBot,m_XYor,m_KhoYor,m_KhoX
ust_mle,91218.12642597903,91218.1264253043,14971.483659893582,45616.27996377526,10344.016953291268,965.7299306067138,11287.978978519603,41.09187061356117,0.0005828864023807419,4.695831599626043e-05,7.787838501910511e-05
ust_uncerts,15758.801509270805,16770.82444421294,387.34134810951923,4555.035542338289,1341.7182072607584,283.44991843376283,2167.795022673681,10.942840578355105,0.00015629734868188026,2.826538998951537e-05,2.685129385320677e-05
stu_mle,99999.54669889898,63911.254457369716,15069.571146154683,48657.62122847466,6550.4494528433725,2109.50528809073,10561.561910846169,32.8263642241819,0.00015324243889803605,0.00010759211848040993,4.924330856578644e-06
stu_uncerts,301.097450045577,35860.71391435352,391.6762709248135,3049.0877833462673,1172.743674218267,283.8284925118865,1654.6129342109552,7.4066367940372855,7.951455313227677e-05,3.0472155104873375e-05,1.782381385546839e-05
los_mle,89185.49087972134,58785.946983045666,15038.40981421943,43655.0401530935,8677.338622886935,884.8142379752993,12530.061005099386,37.82624185053116,0.000145917581931015,4.502837820161718e-05,3.674174644662491e-05
los_uncerts,20117.219067629707,12958.93745723375,387.7445884248943,4910.415483223068,1688.3864655176908,122.4040762174805,3324.7754330155126,9.41905399584666,2.5127981694374254e-05,4.225882873388211e-05,1.1762615747329411e-05
