ll,T_NDH,T_ND,T_AltWN,T_ChaVin,N_Anc,N_Yor,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,m_AD,T_pHN,p_HN
-203.5796581736489,661400.3873198541,644569.5589032281,118017.81271423514,80252.59093368032,17969.033696710187,24440.48473877501,704.913162721791,3565.7125435694716,2850.3911500422228,254.8296499809552,10.000033206035127,1231.1221041993945,3.357920871108612e-05,240936.24292233048,0.08784596928419011
-168.03474765375535,740174.2356520458,725967.5983001485,122738.31981913345,85909.5873906263,16675.302662017515,26786.360445170943,557.210793250986,3770.9759904872094,2745.8457550871694,414.5037529199659,264.5085384734533,1499.4105253081264,2.162334455315645e-05,222024.20616159204,0.08315948215308169
-168.1691768171489,742773.3015135379,726980.372122107,125347.41820553933,87140.78090337983,16637.654185662694,26840.14361799627,614.9164115762873,3790.448621070445,2779.8492113308653,516.5338788769521,326.0962116162277,1564.2508282299143,1.7160547548486584e-05,232410.72973297097,0.08612430659577229
