model,rep,ll
model_1,65,-811.7620952804989
model_1,66,-641.5852826032506
model_1,67,-519.6763462839511
model_1,68,-640.5464041193154
model_1,69,-593.5954675195541
model_1,70,-667.200998424219
model_1,71,-770.7637340325451
model_1,72,-510.85903790956763
model_1,73,-624.2578162560536
model_1,74,-651.7949549543995
model_1,75,-753.6140246625542
model_1,76,-737.1306654962741
model_1,77,-591.9935045637064
model_1,78,-654.7675335558985
model_1,79,-585.5776678178585
model_1,80,-600.0051217722037
model_1,81,-635.3291102633083
model_1,82,-777.9273931358182
model_1,83,-641.5111929726861
model_1,84,-612.6150984743681
model_1,85,-679.2163406963041
model_1,86,-559.3811637964784
model_1,87,-602.6813051309898
model_1,88,-644.3637272268772
model_1,89,-642.2176425080349
model_1,90,-785.6745457219108
model_1,91,-714.7628338401245
model_1,92,-468.1727045047139
model_1,93,-848.9795782275887
model_1,94,-663.275351292217
model_1,95,-779.8811664466518
model_1,96,-652.9664376444894
model_1,97,-744.5625600259608
model_1,98,-600.5181479235956
model_1,99,-533.473504587052
model_2,0,-415.6384575166886
model_2,1,-431.91945243207124
model_2,2,-429.2947231774707
model_2,3,-380.9367782277242
model_2,4,-513.6205353268642
model_2,5,-500.94797536031274
model_2,6,-570.5867062098548
model_2,7,-571.7701758289271
model_2,8,-404.5554167099416
model_2,9,-423.3014467572268
model_2,10,-570.7223822339329
model_2,11,-421.0775445804079
model_2,12,-333.3137224916962
model_2,13,-419.1147120070292
model_2,14,-491.7656895184138
model_2,15,-607.4765225443953
model_2,16,-477.2883873250796
model_2,17,-580.440589477396
model_2,18,-478.0984311907648
model_2,19,-534.0357742506391
model_2,20,-504.2593676985994
model_2,21,-386.41524140037336
model_2,22,-614.4859601552996
model_2,23,-573.9920662582695
model_2,24,-473.5682087324832
model_2,25,-418.0840687383458
model_2,26,-680.2191058198375
model_2,27,-428.3099791768676
model_2,28,-474.3378424231788
model_2,29,-499.90180745090277
model_2,30,-383.7300835865933
model_2,31,-544.9947294114822
model_2,32,-677.5458836883131
model_2,33,-691.4053186237762
model_2,34,-558.6298975900346
model_2,35,-464.2279151872207
model_2,36,-533.7956129072203
model_2,37,-420.6994243544924
model_2,38,-498.1461357395106
model_2,39,-623.4091216011844
model_2,40,-533.1173295233141
model_2,41,-481.1250695665767
